iter	Passed	Remaining
402	16161	31962
403	16205	31929
404	16248	31895
405	16291	31861
406	16336	31829
407	16380	31797
408	16422	31760
409	16463	31722
410	16508	31692
411	16553	31660
412	16595	31622
413	16636	31584
414	16681	31554
415	16722	31515
416	16766	31482
417	16807	31443
418	16852	31412
419	16897	31380
420	16944	31354
421	17034	31403
422	17110	31430
423	17159	31404
424	17203	31371
425	17249	31340
426	17297	31313
427	17346	31289
428	17392	31257
429	17454	31256
430	17500	31225
431	17543	31188
432	17589	31156
433	17634	31123
434	17677	31088
435	17723	31056
436	17767	31022
437	17812	30989
438	17859	30958
439	17902	30922
440	17947	30888
441	18058	30969
442	18118	30960
443	18162	30925
444	18207	30892
445	18254	30860
446	18298	30824
447	18344	30791
448	18390	30760
449	18432	30721
450	18478	30687
451	18523	30653
452	18566	30616
453	18611	30581
454	18654	30544
455	18698	30508
456	18744	30475
457	18787	30437
458	18832	30403
459	18878	30370
460	18926	30340
461	18979	30318
462	19027	30287
463	19082	30269
464	19162	30288
465	19220	30274
466	19292	30281
467	19356	30276
468	19412	30256
469	19469	30239
470	19530	30228
471	19597	30227
472	19655	30210
473	19709	30187
474	19758	30157
475	19807	30128
476	19856	30096
477	19906	30067
478	19963	30049
479	20028	30043
480	20081	30017
481	20127	29983
482	20177	29953
483	20227	29923
484	20278	29894
485	20328	29866
486	20390	29853
487	20453	29841
488	20510	29822
489	20558	29788
490	20605	29754
491	20654	29722
492	20702	29689
493	20749	29653
494	20795	29618
495	20844	29585
496	20892	29552
497	20943	29523
498	20998	29499
499	21046	29464
500	21094	29431
501	21141	29396
502	21190	29362
503	21240	29332
504	21287	29297
505	21334	29261
506	21386	29232
507	21439	29204
508	21485	29167
509	21534	29134
510	21578	29095
511	21626	29060
512	21673	29024
513	21720	28988
514	21768	28954
515	21814	28916
516	21859	28878
517	21908	28845
518	21961	28816
519	22014	28787
520	22060	28751
521	22110	28717
522	22156	28680
523	22204	28645
524	22252	28609
525	22299	28574
526	22350	28542
527	22402	28512
