iter	MAE	RMSE
297	0.4319063403	0.5539953149
298	0.4318627092	0.5539317481
299	0.4317476177	0.5538186841
300	0.4316845886	0.5537268051
301	0.4315828456	0.5536209042
302	0.4315010785	0.5534931365
303	0.4314384309	0.5534146014
304	0.4312989613	0.5532493856
305	0.4311872923	0.5530961358
306	0.4311319825	0.5530051653
307	0.4310384749	0.5528862442
308	0.430969485	0.5527876964
309	0.4308637839	0.5526389931
310	0.4308559116	0.5526243669
311	0.4307639506	0.5525009812
312	0.4306718564	0.5524024788
313	0.4305707941	0.5523030599
314	0.4304630668	0.5521437126
315	0.4304022544	0.5520783825
316	0.4303067264	0.5519524513
317	0.4302908777	0.5519361134
318	0.4301678191	0.551802057
319	0.4301595122	0.5517911393
320	0.4300738053	0.5516981095
321	0.4300190194	0.5516020184
322	0.4299342091	0.5515137634
323	0.4298578127	0.5514229713
324	0.4297872885	0.5513417278
325	0.429744831	0.5512821031
326	0.4296859251	0.5512091114
327	0.4296470544	0.5511665742
328	0.4295506823	0.5510687399
329	0.4295015803	0.5510013702
330	0.4294669306	0.5509727249
331	0.4294237041	0.5509210385
332	0.4293270682	0.550843386
333	0.4292626638	0.5507472971
334	0.4291868877	0.5506462095
335	0.4290959814	0.5505164949
336	0.4290826666	0.550504526
337	0.4289743203	0.5503898939
338	0.4289161379	0.5503198982
339	0.4288617879	0.5502361028
340	0.4287172285	0.5500425899
341	0.4286927963	0.5499997057
342	0.4286890154	0.5499956197
343	0.4286262328	0.5499157682
344	0.4285714037	0.5498529962
345	0.4285245674	0.5497764766
346	0.428440788	0.5496850755
347	0.4284193398	0.549653456
348	0.4282737453	0.5494779757
349	0.4281747083	0.5493364111
350	0.4280849109	0.5492421981
351	0.4279797537	0.5490945778
352	0.427932157	0.5490258472
353	0.4279081277	0.5489799513
354	0.4278059989	0.5488738465
355	0.4277374392	0.5487912916
356	0.4276657574	0.5487100116
357	0.4275501782	0.5485725746
358	0.427442132	0.5484733212
359	0.4273518059	0.5483771459
360	0.4273475905	0.5483702096
361	0.4273471988	0.5483627526
362	0.4273108192	0.5483075833
363	0.4272676095	0.5482465408
364	0.4272505163	0.5482208233
365	0.4272023309	0.5481344744
366	0.427106156	0.5480419923
367	0.4269639284	0.5478788871
368	0.426862606	0.54774854
369	0.4268131454	0.5476819806
370	0.4267303649	0.5476066416
371	0.4266785323	0.5475484868
372	0.4266215874	0.5474778878
373	0.4266099732	0.5474628138
374	0.4265297624	0.5473620311
375	0.4264354133	0.5472479786
376	0.4263477011	0.547167399
377	0.426235363	0.5470494874
378	0.4261390102	0.5469238271
379	0.4260943242	0.5468630219
380	0.4260623223	0.5468233392
381	0.4259841638	0.5467033415
382	0.4259032898	0.5466119216
383	0.4258443881	0.5465325415
384	0.4258391059	0.546522775
385	0.4257155364	0.5463664937
386	0.4256541286	0.5462924468
387	0.4255868603	0.5461997259
388	0.4255074965	0.5461346181
389	0.4254422326	0.5460579485
390	0.4253452688	0.5459485699
391	0.4252391337	0.5458157105
392	0.4251200485	0.5456595941
393	0.425056445	0.5455759341
394	0.4249712798	0.5454680969
395	0.4248883851	0.545361369
396	0.4248133007	0.5452855852
397	0.42477396	0.5452343924
398	0.4246568559	0.5450943391
399	0.4246530974	0.545089948
400	0.4245755045	0.5450092131
401	0.4245054504	0.5449234085
402	0.4243954103	0.5448085505
403	0.4242820704	0.544661643
404	0.4242047924	0.5445793657
405	0.4241504754	0.5445330902
406	0.424102898	0.544480883
407	0.424044089	0.5443941993
408	0.4239285846	0.5442504884
409	0.4238743094	0.5441748188
410	0.4238460655	0.5441409703
411	0.4237912313	0.5440729804
412	0.4237420765	0.5440006079
413	0.4236170416	0.5438324583
414	0.4235834431	0.5437768711
415	0.4235200514	0.5436981729
416	0.4234657847	0.5436452307
417	0.4234302968	0.543600825
418	0.4233532585	0.5435323514
419	0.4232931794	0.5434502993
420	0.4232141117	0.5433537077
421	0.4231622878	0.5432932494
422	0.4231077587	0.5432098196
423	0.4230264233	0.5431168475
424	0.4229568254	0.5430575604
425	0.4228777876	0.5429639715
426	0.4228463249	0.5429190066
427	0.4227555217	0.5428304721
428	0.4227135658	0.5427785888
429	0.4226063572	0.5426313166
430	0.4225525104	0.5425589581
431	0.4225044059	0.5424985468
432	0.4224253527	0.5424082267
433	0.4223777996	0.5423671546
434	0.4222945347	0.5422762427
435	0.4222138319	0.5421850945
436	0.4221573498	0.54210795
437	0.4221140625	0.5420546718
438	0.4220512537	0.5419798539
439	0.4219626375	0.5418639214
440	0.4219013727	0.541783856
441	0.4218520342	0.5417339196
442	0.4217845987	0.5416484455
443	0.4217221362	0.5415794995
444	0.4216329431	0.5414655601
445	0.4215232789	0.5413302027
446	0.4214142219	0.5411921397
447	0.4213359131	0.5410938476
448	0.4212723366	0.5410077473
449	0.4211676452	0.5408810977
450	0.421097434	0.5407962042
451	0.4210271382	0.5407196182
452	0.4209554098	0.5406228398
453	0.420861236	0.5405071703
454	0.4207808991	0.540379491
455	0.4207215826	0.5402838322
456	0.4206701779	0.5402146112
457	0.420606878	0.5401359978
458	0.4205414192	0.5400613919
459	0.4204484694	0.5399203941
460	0.4203792803	0.5398148082
461	0.4202884242	0.5397035602
462	0.4202298183	0.5396400655
463	0.4201426519	0.5395268962
464	0.4200953735	0.5394672714
465	0.4200467426	0.5394079573
466	0.4199696619	0.5393102044
467	0.4198759607	0.5391800013
468	0.4197745153	0.5390557481
469	0.4197069622	0.5389645791
470	0.4196378128	0.5388681082
471	0.4195395299	0.5387501296
472	0.4194730799	0.5386734368
473	0.4194035931	0.5385705244
474	0.4193395145	0.5384952247
475	0.4192405464	0.538393648
476	0.4191703741	0.5383151577
477	0.4190987672	0.5382093263
478	0.4189915449	0.5380603745
479	0.4189459934	0.5379894445
480	0.4188936464	0.537917963
481	0.4188677897	0.5378781532
482	0.4188373801	0.5378336491
483	0.418763007	0.5377536293
484	0.4186472636	0.5376042255
485	0.418567043	0.5375182575
486	0.4185057261	0.5374308607
487	0.4184315168	0.5373405521
488	0.4183800718	0.5372665726
489	0.418285097	0.5371559638
490	0.4182085947	0.5370619294
491	0.418116898	0.5369414364
492	0.4180079779	0.5368011409
493	0.4179402537	0.5367225628
494	0.4178518928	0.5366175191
495	0.41776367	0.5365140519
496	0.4177034622	0.5364437146
497	0.4176569384	0.5363818062
498	0.4175867325	0.5363043655
499	0.4175035186	0.5361863445
500	0.4174146226	0.5360856189
501	0.4173415689	0.5359854938
502	0.4172964535	0.5359261828
503	0.4172337718	0.5358474648
504	0.4171750232	0.5357903596
505	0.4171216748	0.5357298082
506	0.4170585826	0.5356489163
507	0.4170048167	0.5355737905
508	0.4168789411	0.5354103318
509	0.4168387195	0.5353599732
510	0.4167672027	0.5352647941
511	0.4166772953	0.5351599049
512	0.4166557554	0.5351341391
513	0.4165655467	0.5350185049
514	0.4164524485	0.5349005422
515	0.416391649	0.5348217026
516	0.4163179565	0.5347195469
517	0.4162206442	0.5346155444
518	0.4161859788	0.5345575576
519	0.4161158294	0.5344637399
520	0.416059869	0.534394591
521	0.4160081062	0.5343318139
522	0.4159633493	0.5342702894
523	0.41589377	0.5342019139
524	0.4158132388	0.5341030218
525	0.4157432258	0.5340292656
526	0.4156636217	0.5339482001
527	0.415615354	0.5338701551
528	0.4155157381	0.5337516762
529	0.4154315743	0.533661033
530	0.4153688655	0.533591221
531	0.4152565544	0.533448122
532	0.4151558899	0.5333282502
533	0.4150828556	0.5332304211
534	0.4150052151	0.5331376915
535	0.4149145266	0.5330187955
536	0.4148871931	0.5329803172
537	0.4148590125	0.5329409987
538	0.4147579268	0.532817625
539	0.4146692726	0.5327030422
540	0.4146092831	0.5326247996
541	0.4145816796	0.5325889757
542	0.4145059518	0.5325061677
543	0.4143978281	0.5323810766
544	0.4143354639	0.5322864924
545	0.4142946431	0.5322369052
546	0.4141997073	0.5321070617
547	0.4140999104	0.5319808966
548	0.4140010138	0.5318452794
549	0.4139496688	0.5317792097
550	0.4138567102	0.5316748033
551	0.4138040766	0.5316186793
552	0.4137181087	0.5315120553
553	0.4136341865	0.5314236193
554	0.4135681473	0.5313476533
555	0.4135592468	0.5313390824
556	0.4134770812	0.5312490028
557	0.4133997749	0.5311606952
558	0.4133510295	0.5310989805
559	0.4133224493	0.5310620377
560	0.4132415381	0.5309606894
561	0.4131753132	0.530878499
562	0.4130945252	0.5307687135
563	0.4130408476	0.5307026527
564	0.4129939641	0.5306303772
565	0.4129036501	0.5305234741
566	0.4128283307	0.5304419103
567	0.4127582507	0.5303470379
568	0.4126441735	0.5301842511
569	0.412574521	0.5300998387
570	0.4124985372	0.5300117274
571	0.4124402422	0.5299276821
572	0.4123784097	0.5298538347
573	0.4123157137	0.5297942976
574	0.4122707598	0.5297391699
575	0.4122355071	0.5296884177
576	0.4121287264	0.5295523096
577	0.412089854	0.5295063057
578	0.4120196387	0.5294228983
579	0.4119487432	0.5293312526
580	0.4118518637	0.5291915339
581	0.4117892641	0.5291166908
582	0.4117433252	0.5290614835
583	0.4116586404	0.5289639953
584	0.4116037417	0.5288952177
585	0.4115259369	0.5288007572
586	0.4114910588	0.5287607109
587	0.4114375144	0.5286997864
588	0.4113896084	0.5286419627
589	0.4113587654	0.5286030271
590	0.4112856959	0.5285116108
591	0.4111979847	0.5284027635
592	0.411135658	0.5283281978
593	0.4110606973	0.5282199188
594	0.4109827108	0.5281101544
595	0.4109067157	0.5280070851
596	0.4108206376	0.5279065254
597	0.4107634757	0.5278351098
598	0.4107118674	0.5277658743
599	0.4106675009	0.5276997279
600	0.4106668237	0.5276986493
601	0.4106022038	0.5276077239
602	0.4106012459	0.5276065573
603	0.4105615946	0.5275498453
604	0.4105026415	0.5274802347
605	0.410432205	0.5274005632
606	0.4103452901	0.5272856056
607	0.4102751753	0.5272144988
608	0.4102092758	0.527123365
609	0.4101931495	0.5270965374
610	0.410108671	0.5269796377
611	0.410054286	0.5269146128
612	0.4100104702	0.5268563634
613	0.4099486817	0.5267643917
614	0.4098703942	0.5266570926
615	0.4098265463	0.5265973356
616	0.4097334152	0.5264923258
617	0.4097204947	0.5264733585
618	0.4096622682	0.5263856031
619	0.4095937175	0.5262800831
620	0.4095343121	0.5261987409
621	0.4094691834	0.5261226065
622	0.4093906865	0.5260265733
623	0.4093293346	0.5259505124
624	0.4092745045	0.5258798735
625	0.4092032291	0.5257807011
626	0.4091412293	0.5256914295
627	0.4090858927	0.525624733
628	0.4090237333	0.5255434717
629	0.4089721207	0.5254681344
630	0.4089237731	0.5254010426
631	0.4088942631	0.5253695873
632	0.4088166561	0.5252762559
633	0.4087816342	0.5252332124
634	0.4087234241	0.5251590527
635	0.4086938869	0.5251245628
636	0.4086397581	0.5250585678
637	0.4086370564	0.5250555166
638	0.4085902446	0.5249983675
639	0.4085320137	0.5249238167
640	0.4084320178	0.5247867201
641	0.4083763269	0.5247118305
642	0.4083351256	0.5246598556
643	0.408295812	0.5246087407
644	0.408229571	0.5245303636
645	0.4082012829	0.5244924584
646	0.4081252674	0.5244090048
647	0.4080436422	0.524302785
648	0.4080153788	0.5242671894
649	0.4079445859	0.5241834518
650	0.4078830746	0.5240986449
651	0.4078284951	0.5240127738
652	0.407779011	0.5239440885
653	0.4077238733	0.5238717211
654	0.4076571292	0.5237798635
655	0.4075711361	0.5236744425
656	0.4075321186	0.5236210626
657	0.4074891459	0.5235675333
658	0.4074498801	0.5235187893
659	0.4073945091	0.5234440097
660	0.407311789	0.5233531058
661	0.4072499044	0.523279493
662	0.4071750717	0.5231903593
663	0.4071248203	0.5231259787
664	0.4070624577	0.5230543705
665	0.4070023182	0.5229834353
666	0.4069520431	0.5229209213
667	0.4068980693	0.5228537477
668	0.406841377	0.5227676545
669	0.4067951654	0.5227098972
670	0.4067111838	0.5226009348
671	0.4066193256	0.5224972111
672	0.406555528	0.5224208719
673	0.4065074687	0.5223572849
674	0.4064654048	0.5223017603
675	0.4063947355	0.5222116509
676	0.4063878512	0.5222024597
677	0.4063415852	0.5221553272
678	0.406288748	0.522083909
679	0.4062208505	0.5219793187
680	0.4061867347	0.5219290762
681	0.4061329944	0.5218613263
682	0.4060991921	0.5218094615
683	0.4060255747	0.5217193808
684	0.405953259	0.5216228144
685	0.4058984211	0.5215542118
686	0.4058098123	0.5214541848
687	0.4057509434	0.5213810207
688	0.4056974698	0.5213093751
689	0.4056541588	0.5212604302
690	0.4056078346	0.5212040934
691	0.4055420169	0.5211247751
692	0.4054604	0.5210246521
693	0.4053529633	0.5208910683
694	0.4052738435	0.5208085341
695	0.4051692093	0.5206777923
696	0.4051233862	0.5206104286
697	0.4050908154	0.5205616665
698	0.4050220992	0.5204805094
699	0.4049547822	0.520395752
700	0.4049107765	0.520355181
701	0.4048289148	0.5202510094
702	0.4047392851	0.5201345181
703	0.4046652707	0.5200417866
704	0.4046372764	0.5200016685
705	0.4045689248	0.519918213
706	0.4045191573	0.5198550137
707	0.4044658298	0.5197842792
708	0.4044138254	0.5197253324
709	0.4043110115	0.5196000177
710	0.4042030198	0.51947874
711	0.4041563307	0.5194207379
712	0.4040766364	0.5193315166
713	0.4040239433	0.5192770723
714	0.4039891127	0.519237914
715	0.4039340839	0.5191672891
716	0.4038669967	0.5190830856
717	0.4038009772	0.5189823805
718	0.4037098726	0.518866737
719	0.4036258	0.5187575142
720	0.4036031743	0.5187286821
721	0.4035291189	0.5186224913
722	0.4034586009	0.5185579244
723	0.4034055342	0.5184945444
724	0.4033321122	0.5183986826
725	0.4032636182	0.5183012035
726	0.4031838135	0.5181982702
727	0.4030877306	0.5180991185
728	0.4030612937	0.5180644804
729	0.4030050552	0.5180066947
730	0.4029675444	0.5179557627
731	0.4029380942	0.5179183258
732	0.4028596312	0.5178198412
733	0.4027870619	0.5177370698
734	0.4026953614	0.5176167913
735	0.4026128118	0.5175009983
736	0.4024861491	0.5173352286
737	0.4024328735	0.5172619499
738	0.4024036335	0.5172330412
739	0.4023490101	0.5171593155
740	0.4022927681	0.5170745201
741	0.402262865	0.5170376472
742	0.4021986757	0.516959456
743	0.4021023508	0.516844001
744	0.40202134	0.5167355225
745	0.4019399737	0.5166455305
746	0.4018668218	0.5165648885
747	0.4018081661	0.5164967012
748	0.4017532131	0.5164265867
749	0.4017267959	0.5163856071
750	0.4016685222	0.5163145527
751	0.4015985677	0.5162417116
752	0.4014689877	0.5160677747
753	0.4013741117	0.5159647955
754	0.4012816297	0.5158744345
755	0.4012484913	0.5158336205
756	0.4011858605	0.5157550644
757	0.4011017231	0.5156388764
758	0.4010229092	0.5155430961
759	0.4009873938	0.5154955569
760	0.4009020339	0.5153799116
761	0.4008488931	0.5153088008
762	0.4007868585	0.5152360186
763	0.4007141381	0.5151584482
764	0.400632469	0.5150632283
765	0.4005989398	0.5150191724
766	0.4005453109	0.5149534168
767	0.4004859983	0.5148658663
768	0.4004236805	0.5147787604
769	0.4003260961	0.5146687327
770	0.4002267096	0.5145427934
771	0.4001622042	0.5144705373
772	0.4001080712	0.5144065426
773	0.4000953631	0.5143941613
774	0.4000594134	0.5143452544
775	0.4000078535	0.5142869735
776	0.3999788247	0.5142456477
777	0.3999209262	0.5141647052
778	0.3998653171	0.5141048834
779	0.3997854444	0.5140078243
780	0.3997275309	0.5139434916
781	0.3996957894	0.5139072693
782	0.3996436161	0.5138365929
783	0.3995913738	0.5137671436
784	0.3995047134	0.5136599933
785	0.3994448713	0.5135880069
786	0.3993994942	0.5135388066
787	0.3993243472	0.5134479785
788	0.3992833682	0.5133986771
789	0.3992227885	0.5133241941
790	0.3991411297	0.5132202659
791	0.3991126315	0.5131797676
792	0.399061826	0.5131218983
793	0.3990380998	0.5130906913
794	0.3989900915	0.5130239678
795	0.3989155565	0.5129356281
796	0.3988667375	0.5128650411
797	0.3988150698	0.5128050651
798	0.3987519013	0.5127260638
799	0.3987163217	0.5126834523
800	0.3986641174	0.5126267398
801	0.3986146303	0.5125479059
802	0.3985844426	0.5125011785
803	0.3985305591	0.512439543
804	0.3984844156	0.5123879503
805	0.3984210227	0.5123016786
806	0.3983963066	0.5122620622
807	0.3983155941	0.5121783642
808	0.3983078385	0.512165864
809	0.3982639736	0.5121168508
810	0.3982168005	0.5120636651
811	0.3981583578	0.5119933891
812	0.3981057566	0.5119257514
813	0.3980615305	0.5118733835
814	0.3980190383	0.5118113946
815	0.3979677702	0.5117403513
816	0.3979282571	0.5116922059
817	0.3978493294	0.5115986416
818	0.3977762079	0.5115041829
819	0.3976965857	0.5114049021
820	0.3976730171	0.5113756153
821	0.3976188061	0.5113120485
822	0.3975287806	0.5112027951
823	0.3974902475	0.5111486369
824	0.3974095572	0.5110510131
825	0.3973472964	0.5109791365
826	0.3972902642	0.5109029535
827	0.3971603434	0.5107391435
828	0.3970861878	0.5106538491
829	0.3970440336	0.5106146332
830	0.3970122331	0.5105789483
831	0.3969058288	0.51044662
832	0.3968542022	0.5103815565
833	0.3968135599	0.5103249821
834	0.3967174941	0.5102223877
835	0.3966667363	0.5101620144
836	0.3965767319	0.5100539995
837	0.3964683444	0.509912703
838	0.3964089562	0.5098482563
839	0.3963603865	0.5097965633
840	0.3963314371	0.5097587484
841	0.3962624983	0.5096744042
842	0.3962244011	0.5096267399
843	0.3961422695	0.5095182544
844	0.3960499223	0.5094110771
845	0.3960115539	0.5093660932
846	0.3959323987	0.5092712344
847	0.3958314811	0.5091541315
848	0.3957579948	0.5090699902
849	0.3956658319	0.5089625093
850	0.3956090747	0.5089012033
851	0.3955663015	0.5088493994
852	0.3954538288	0.508712114
853	0.395370729	0.5086077819
854	0.3952881177	0.5084990374
855	0.3952326014	0.508431258
856	0.3951866609	0.5083764039
857	0.3951271638	0.5082906366
858	0.3950837042	0.508234001
859	0.3950267547	0.5081520989
860	0.3949459618	0.5080543764
861	0.3948597146	0.5079579909
862	0.3948046483	0.5078871203
863	0.3947416433	0.5077998036
864	0.394678712	0.5077279838
865	0.3945979223	0.507614832
866	0.3945025192	0.507474805
867	0.3944395675	0.5073852802
868	0.3943979029	0.5073273133
869	0.3943271167	0.5072394618
870	0.3942396466	0.5071274551
871	0.3941792318	0.5070544808
872	0.394161374	0.5070356921
873	0.3941324709	0.5070008049
874	0.3940749448	0.5069213907
875	0.3940133007	0.5068443638
876	0.3939823467	0.506808608
877	0.3938818655	0.5066873843
878	0.3938193496	0.5066109165
879	0.3937407371	0.5065142471
880	0.3936710564	0.5064316077
881	0.3935944536	0.5063383982
882	0.3935291028	0.5062501211
