Giocatore,Index,Avversario,Campo,Top
kenan yildiz,91.4,sassuolo,casa,🔥
tasos douvikas,90.3,pisa,casa,🔥
rasmus hojlund,89.9,cagliari,trasf.,🔥
donyell malen,88.6,lecce,casa,🔥
gianluca scamacca,88.4,verona,casa,🔥
keinan davis,88.3,genoa,trasf.,🔥
nikola krstovic,88.2,verona,casa,🔥
stefano moreo,82.5,como,trasf.,🔥
vitinha,81.5,udinese,casa,🔥
charles de ketelaere,81.4,verona,casa,🔥
mateo pellegrino,80.8,cremonese,casa,
armand lauriente,80.2,juventus,trasf.,
federico bonazzoli,80.2,parma,trasf.,
christopher nkunku,79.8,torino,casa,
jesus rodriguez,79.7,pisa,casa,
david okereke,78.8,parma,trasf.,
che adams,77.5,milan,trasf.,
domenico berardi,77.4,juventus,trasf.,
moise kean,77.3,inter,casa,
giovanni simeone,76.7,milan,trasf.,
lorenzo colombo,76.3,udinese,casa,
nicolo cambiaghi,76.2,lazio,casa,
roberto piccoli,74.9,inter,casa,
rafael leao,74.5,torino,casa,
santiago castro,73.7,lazio,casa,
pio esposito,73.6,fiorentina,trasf.,
romelu lukaku,73.1,cagliari,trasf.,
andrea pinamonti,73.0,juventus,trasf.,
duvan zapata,72.8,milan,trasf.,
lameck banda,71.7,roma,trasf.,
assane diao,70.8,pisa,casa,
sebastiano esposito,70.0,napoli,casa,
leonardo pavoletti,70.0,napoli,casa,
milan djuric,69.3,cremonese,casa,
kamaldeen sulemana,68.2,verona,casa,
kieron bowie,67.8,atalanta,trasf.,
nikola moro,67.4,lazio,casa,
semih kilicsoy,67.0,napoli,casa,
giacomo raspadori,66.9,verona,casa,
antonio caracciolo,66.8,como,trasf.,
niclas fullkrug,66.3,torino,casa,
thijs dallinga,66.2,lazio,casa,
alvaro morata,66.1,pisa,casa,
jonathan david,65.8,sassuolo,casa,
gift orban,65.7,atalanta,trasf.,
caleb ekuban,65.7,udinese,casa,
nicolas kuhn,65.4,pisa,casa,
henrik meister,65.2,como,trasf.,
luca moro,64.9,juventus,trasf.,
giovane,64.9,atalanta,trasf.,
andrias edmundsson,64.8,atalanta,trasf.,
tijjani noslin,64.5,bologna,trasf.,
alieu njie,64.4,milan,trasf.,
nikola stulic,64.4,roma,trasf.,
antonio sanabria,63.9,parma,trasf.,
walid cheddira,63.8,juventus,trasf.,
robinio vaz,63.2,lecce,casa,
jeff ekhator,63.2,udinese,casa,
ze pedro,63.0,napoli,casa,
angeyoan bonny,62.8,fiorentina,trasf.,
dusan vlahovic,62.7,sassuolo,casa,
daniel mosquera,62.3,atalanta,trasf.,
sulemana,62.2,napoli,casa,
petar ratkov,62.1,bologna,trasf.,
konan ndri,62.0,roma,trasf.,
adrian benedyczak,61.5,cremonese,casa,
benjamin dominguez,61.5,lazio,casa,
patrick cutrone,61.4,cremonese,casa,
mbala nzola,61.3,,trasf.,
yael trepy,61.3,napoli,casa,
pedro,60.8,bologna,trasf.,
christian kouame,60.6,inter,casa,
lois openda,60.6,sassuolo,casa,
amin sarr,60.3,atalanta,trasf.,
matteo cancellieri,60.1,bologna,trasf.,
vakoun bayo,59.7,genoa,trasf.,
isaac,58.4,atalanta,trasf.,
giuseppe ambrosino,58.3,cagliari,trasf.,
idrissa gueye,56.6,genoa,trasf.,
nicholas pierini,55.7,juventus,trasf.,
ali dembele,55.6,milan,trasf.,
iker bravo,55.1,genoa,trasf.,
santiago gimenez,55.1,torino,casa,
