,Giocatore,Index,Avversario,Campo,Top
121,Simon Sohm,58.1,Cremonese,Trasf.,
122,Kristjan Asllani,57.8,Parma,Casa,
123,Stephan El Shaarawy,57.7,Como,Trasf.,
124,Marius Marin,56.2,Cagliari,Casa,
125,Alberto Grassi,56.2,Fiorentina,Casa,
126,Jack Harrison,56.1,Cremonese,Trasf.,
127,Cher Ndour,55.9,Cremonese,Trasf.,
128,Adrien Tameze,55,Parma,Casa,
129,Lorran,54.9,Cagliari,Casa,
130,Abdelhamid Sabiri,54.9,Cremonese,Trasf.,
131,Vasilije Adzic,54.7,Udinese,Trasf.,
132,Faustino Anjorin,54.6,Parma,Casa,
133,Ruslan Malinovskiy,54.5,Verona,Trasf.,
134,Seydou Fini,54.5,Verona,Trasf.,
135,Grigoris Kastanos,54.4,Genoa,Casa,
136,Hernani,54.2,Torino,Trasf.,
137,Jeremy Sarmiento,53.8,Fiorentina,Casa,
138,Alex Sala,53,Napoli,Trasf.,
139,Aster Vranckx,52.3,Bologna,Casa,
140,Olaf Gorter,50.7,Napoli,Trasf.,
141,Nicolae Stanciu,50.5,Verona,Trasf.,
142,Thorir Helgason,50.2,Napoli,Trasf.,
143,Amir Richardson,49.5,Cremonese,Trasf.,
144,Maxwel Cornet,49,Verona,Trasf.,
