Giocatore,Index,Avversario,Campo,Top
Donyell Malen,90.1,atalanta,casa,🔥
Tasos Douvikas,86.0,genoa,trasf.,🔥
Rasmus Højlund,82.4,inter,trasf.,🔥
Domenico Berardi,81.3,bologna,trasf.,🔥
Antonio Raimondo,80.3,venezia,casa,🔥
Marcus Thuram,79.7,napoli,casa,🔥
Paulo Dybala,79.2,atalanta,casa,🔥
Gonçalo Ramos,75.7,juventus,trasf.,🔥
Che Adams,74.0,fiorentina,trasf.,🔥
Alieu Njie,72.8,fiorentina,trasf.,🔥
Giacomo Raspadori,72.8,roma,trasf.,
Gennaro Borrelli,72.2,lecce,casa,
Matìas Soulè Malvano,71.4,atalanta,casa,
Gianluca Scamacca,70.5,roma,trasf.,
Armand Lauriente,69.6,bologna,trasf.,
Giorgi Kvernadze,69.3,venezia,casa,
Keinan Davis,69.1,lazio,casa,
Nicolò Cambiaghi,68.8,sassuolo,casa,
Mateo Pellegrino,68.3,monza,casa,
Roberto Piccoli,68.3,torino,casa,
Dany Mota,68.0,parma,trasf.,
Idrissa Gueye,66.3,lazio,casa,
Lorenzo Lucca,66.0,inter,trasf.,
Assane Diao,66.0,genoa,trasf.,
Francesco Pio Esposito,65.1,napoli,casa,
Ange-Yoan Bonny,65.0,napoli,casa,
Moise Kean,64.9,torino,casa,
Giovanni Simeone,64.9,fiorentina,trasf.,
Daniel Maldini,64.8,udinese,trasf.,
Jesús Rodriguez,64.8,genoa,trasf.,
Simone Lontani,64.1,monza,casa,
Lautaro Martínez,64.0,napoli,casa,
Santiago Castro,62.8,sassuolo,casa,
Noa Lang,62.6,inter,trasf.,
Lorenzo Colombo,62.4,como,casa,
Vitinha,61.9,como,casa,
Nikola Stulic,61.7,cagliari,trasf.,
Patrick Cutrone,61.7,monza,casa,
Pontus Almqvist,61.3,monza,casa,
Charles De Ketelaere,61.3,roma,trasf.,
Kenan Yildiz,60.5,milan,casa,
Konan N’Dri,60.4,cagliari,trasf.,
Amar Ahmed Fatah,59.8,cagliari,trasf.,
Sandro Kulenovic,59.6,fiorentina,trasf.,
Milutin Osmajic,59.2,como,casa,
Tijjani Noslin,59.2,udinese,trasf.,
Artem Dovbyk,59.0,atalanta,casa,
Nikola Krstovic,58.6,roma,trasf.,
Kieron Bowie,58.5,,trasf.,
Duván Zapata,58.2,fiorentina,trasf.,
Willem Geubbels,57.9,cagliari,trasf.,
Zakaria Aboukhlal,57.8,fiorentina,trasf.,
Benjamín Domínguez,57.5,sassuolo,casa,
Jeremie Boga,57.4,milan,casa,
Zé Pedro,57.1,lecce,casa,
Vakoun Bayo,57.0,lazio,casa,
Lameck Banda,56.9,cagliari,trasf.,
Andrea Pinamonti,56.9,bologna,trasf.,
Sebastiano Esposito,56.7,lecce,casa,
Dusan Vlahovic,56.4,milan,casa,
Pedro,56.0,udinese,trasf.,
Jamie Vardy,55.3,,trasf.,
Jeff Ekhator,55.1,como,casa,
Christian Kouamé,54.9,torino,casa,
Pedro Felipe,54.9,bologna,trasf.,
Nikola Moro,54.8,sassuolo,casa,
Evan Ferguson,54.7,atalanta,casa,
Stefano Moreo,54.6,,trasf.,
Isaac,54.6,,trasf.,
Andrias Edmundsson,54.6,,trasf.,
Robinio Vaz,54.5,atalanta,casa,
Arkadiusz Milik,54.4,milan,casa,
Giuseppe Ambrosino,54.3,inter,trasf.,
Caleb Ekuban,54.0,como,casa,
M&#039;Bala Nzola,54.0,,trasf.,
David Okereke,54.0,,trasf.,
Leonardo Pavoletti,54.0,lecce,casa,
Jonathan Christian David,54.0,milan,casa,
Nicolas Kühn,53.9,genoa,trasf.,
Francesco Camarda,53.8,cagliari,trasf.,
Walid Cheddira,53.7,bologna,trasf.,
Dennis Johnsen,53.5,,trasf.,
Petar Ratkov,53.4,udinese,trasf.,
Andrea Belotti,53.2,lecce,casa,
Federico Bonazzoli,53.2,,trasf.,
Romelu Lukaku,53.0,inter,trasf.,
Ali Dembélé,53.0,fiorentina,trasf.,
Sulemana,52.9,lecce,casa,
Daniel Mosquera,52.9,,trasf.,
Manor Solomon,52.7,torino,casa,
Giovane,52.6,,trasf.,
Thijs Dallinga,52.6,sassuolo,casa,
Luca Moro,52.4,bologna,trasf.,
Yael Trepy,52.3,lecce,casa,
Amin Sarr,52.1,,trasf.,
Gift Orban,52.1,,trasf.,
Semih Kiliçsoy,51.9,lecce,casa,
Kamaldeen Sulemana,51.9,roma,trasf.,
Milan Djuric,51.8,monza,casa,
Christopher Nkunku,51.8,juventus,trasf.,
Adrian Benedyczak,51.6,monza,casa,
Antonio Sanabria,51.6,,trasf.,
Nicholas Pierini,51.5,bologna,trasf.,
Jayden Addai,51.2,genoa,trasf.,
Adam Buksa,51.2,lazio,casa,
Faris Moumbagna,51.1,,trasf.,
Niclas Füllkrug,51.1,juventus,trasf.,
Álvaro Morata,51.0,genoa,trasf.,
Iker Bravo,50.8,lazio,casa,
Henrik Meister,50.7,,trasf.,
Loïs Openda,50.6,milan,casa,
Edin Dzeko,50.6,torino,casa,
Rafiu Durosinmi,50.4,,trasf.,
Antonio Caracciolo,49.5,,trasf.,
Santiago Giménez,49.0,juventus,trasf.,
Rafael Leão,48.6,juventus,trasf.,
