Giocatore,Index,Avversario,Campo,Top
hassane kamara,86.3,lazio,casa,🔥
evan ndicka,85.2,atalanta,casa,🔥
gianluca mancini,83.7,atalanta,casa,🔥
nuno tavares,83.4,udinese,trasf.,🔥
gabriele bracaglia,82.6,venezia,casa,🔥
wesley,82.4,atalanta,casa,🔥
emanuele lulli,81.1,atalanta,casa,🔥
yann bisseck,80.2,napoli,casa,🔥
oumar solet,78.4,lazio,casa,🔥
strahinja pavlovic,78.1,juventus,trasf.,🔥
rahim alhassane,76.5,sassuolo,casa,
benjamin pavard,76.5,napoli,casa,
federico dimarco,76.1,napoli,casa,
alex valle,75.9,genoa,trasf.,
pietro comuzzo,75.9,fiorentina,trasf.,
mario gila,75.5,juventus,trasf.,
daniele ghilardi,75.3,atalanta,casa,
mergim vojvoda,73.8,lazio,casa,
marcoliver kempf,73.7,genoa,trasf.,
ilario monterisi,73.2,venezia,casa,
koni de winter,73.1,juventus,trasf.,
adam marusic,73.1,udinese,trasf.,
matteo palma,72.4,lazio,casa,
bremer,72.2,milan,casa,
ridgeciano haps,71.8,frosinone,trasf.,
giorgio scalvini,71.7,roma,trasf.,
danilho doekhi,71.2,udinese,trasf.,
rafael obrador,71.2,bologna,trasf.,
juan miranda,70.3,sassuolo,casa,
juan rodriguez,70.3,lecce,casa,
davide zappacosta,69.8,roma,trasf.,
antoine hainaut,69.6,frosinone,trasf.,
brooke nortoncuffy,69.5,como,casa,
samuele birindelli,69.3,parma,trasf.,
ricardo mangas,68.7,parma,trasf.,
aleksa terzic,68.4,venezia,casa,
leonardo spinazzola,67.9,inter,trasf.,
emil holm,67.9,sassuolo,casa,
sascha britschgi,67.8,monza,casa,
cas odenthal,67.6,bologna,trasf.,
ardian ismajli,67.5,fiorentina,trasf.,
eivind helland,67.1,sassuolo,casa,
alessandro bastoni,67.0,napoli,casa,
estupinan,67.0,juventus,trasf.,
lorenzo bernasconi,66.9,roma,trasf.,
odilon kossounou,66.8,roma,trasf.,
niakhate ndiaye,66.7,monza,casa,
yan couto,66.6,genoa,trasf.,
ivan smolcic,66.4,genoa,trasf.,
konstantinos koulierakis,66.2,atalanta,casa,
john stones,66.2,napoli,casa,
matteo gabbia,66.0,juventus,trasf.,
adam obert,65.8,lecce,casa,
jay idzes,65.8,bologna,trasf.,
niccolo fortini,65.5,fiorentina,trasf.,
antonino gallo,64.9,cagliari,trasf.,
giorgio cittadini,64.9,venezia,casa,
nicolo bertola,64.5,lazio,casa,
josh doig,64.2,bologna,trasf.,
oliver provstgaard,64.0,udinese,trasf.,
bartol franjic,63.4,frosinone,trasf.,
sead kolasinac,63.4,roma,trasf.,
mehmet celik,63.2,milan,casa,
davide bartesaghi,63.1,juventus,trasf.,
emanuele valeri,62.8,monza,casa,
lloyd kelly,62.3,milan,casa,
raphael kofler,62.3,lecce,casa,
giovanni di lorenzo,61.1,inter,trasf.,
jacobo ramon,61.0,genoa,trasf.,
gabriele calvani,61.0,venezia,casa,
simone cinquegrano,60.5,bologna,trasf.,
james abankwah,60.5,lazio,casa,
mario hermoso,60.0,atalanta,casa,
mariano troilo,59.9,monza,casa,
nadir zortea,59.0,sassuolo,casa,
saul coco,58.6,fiorentina,trasf.,
tiago gabriel,58.0,cagliari,trasf.,
joel schingtienne,57.8,frosinone,trasf.,
adam bakoune,57.8,parma,trasf.,
amir rrahmani,57.8,inter,trasf.,
johan vasquez,57.5,como,casa,
sebastian otoa,57.3,como,casa,
eray comert,56.9,fiorentina,trasf.,
jhon lucumi,56.9,milan,casa,
enrico del prato,56.0,monza,casa,
torbjorn heggem,54.5,sassuolo,casa,
manuel akanji,52.9,napoli,casa,
alessandro marcandalli,52.5,como,casa,
leo ostigard,52.2,como,casa,
eddy kouadio,51.9,parma,trasf.,
enzo ebosse,51.8,lazio,casa,
corrie ndaba,50.7,cagliari,trasf.,
viery,50.6,torino,casa,
jamil siebert,50.1,cagliari,trasf.,
dodo,49.3,torino,casa,
mathias olivera,48.8,inter,trasf.,
danilo veiga,48.6,cagliari,trasf.,
andrea cambiaso,48.3,milan,casa,
alejandro jimenez,46.8,torino,casa,
marin pongracic,46.8,torino,casa,
lorenzo lucchesi,46.2,parma,trasf.,
kialonda gaspar,44.4,cagliari,trasf.,
joao mario,44.1,torino,casa,
luca ranieri,42.8,torino,casa,
radu dragusin,42.6,torino,casa,
