Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
reda belahyane,56.2,napoli,trasf.,,s.v.
amir richardson,56.1,lecce,trasf.,,5.0
martin payero,55.6,torino,casa,,6.0
seydou fini,54.2,pisa,trasf.,,6.0
adrien tameze,54.1,cremonese,trasf.,,s.v.
filip kostic,53.7,bologna,casa,,5.5
jeremy sarmiento,53.6,torino,casa,,5.5
hernani,53.2,udinese,trasf.,,5.5
olaf gorter,53.0,fiorentina,casa,,5.5
alex sala,52.3,fiorentina,casa,,s.v.
thorir helgason,52.0,fiorentina,casa,,s.v.
lorran,51.9,genoa,casa,,5.5
grigoris kastanos,51.7,milan,casa,,s.v.
isak vural,51.4,genoa,casa,,5.0
