Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Andrea Pinamonti,89.8,Genoa,Trasf.,🔥,6.0
Che Adams,88.2,Verona,Casa,🔥,6.0
Kenan Yildiz,88.1,Atalanta,Trasf.,🔥,5.0
Federico Bonazzoli,85.4,Cagliari,Trasf.,🔥,6.0
Keinan Davis,83.6,Milan,Trasf.,🔥,7.5
Domenico Berardi,83.1,Genoa,Trasf.,🔥,4.0
Rasmus Hojlund,83.1,Parma,Trasf.,🔥,7.0
Giovanni Simeone,82.6,Verona,Casa,🔥,10.0
Tasos Douvikas,82.1,Inter,Casa,🔥,5.5
Nikola Krstovic,81.4,Juventus,Casa,,5.5
Donyell Malen,81.0,Pisa,Casa,,17.5
Marcus Thuram,80.5,Como,Trasf.,,13.5
Sebastiano Esposito,79.1,Cremonese,Casa,,10.0
Vitinha,78.4,Sassuolo,Casa,,6.0
Giacomo Raspadori,77.9,Juventus,Casa,,6.5
Soule,77.8,Pisa,Casa,,7.5
Gennaro Borrelli,75.2,Cremonese,Casa,,5.5
Santiago Castro,73.6,Lecce,Casa,,6.0
Charles De Ketelaere,73.5,Juventus,Casa,,6.0
Pio Esposito,73.4,Como,Trasf.,,5.0
Armand Lauriente,70.8,Genoa,Trasf.,,6.0
David Okereke,70.4,Cagliari,Trasf.,,6.0
Arkadiusz Milik,70.0,Atalanta,Trasf.,,6.0
Robinio Vaz,70.0,Pisa,Casa,,6.0
Assane Diao,69.9,Inter,Casa,,5.5
Christopher Nkunku,69.8,Udinese,Casa,,5.0
Nicolo Cambiaghi,69.8,Lecce,Casa,,6.0
Tijjani Noslin,69.3,Fiorentina,Trasf.,,5.5
Nikola Moro,69.2,Lecce,Casa,,6.5
Henrik Meister,67.8,Roma,Trasf.,,5.0
Moise Kean,67.8,Lazio,Casa,,5.0
Stefano Moreo,67.5,Roma,Trasf.,,5.5
Jamie Vardy,67.5,Cagliari,Trasf.,,8.0
Dusan Vlahovic,66.9,Atalanta,Trasf.,,6.0
Alvaro Morata,66.8,Inter,Casa,,6.0
Roberto Piccoli,66.6,Lazio,Casa,,5.5
Romelu Lukaku,66.4,Parma,Trasf.,,s.v.
Niclas Fullkrug,66.4,Udinese,Casa,,5.0
Kieron Bowie,66.3,Torino,Trasf.,,9.0
Konan Ndri,66.0,Bologna,Trasf.,,5.5
Milan Djuric,65.8,Napoli,Casa,,5.5
Semih Kilicsoy,65.5,Cremonese,Casa,,6.0
Andrias Edmundsson,65.4,Torino,Trasf.,,4.0
Lameck Banda,65.3,Bologna,Trasf.,,5.0
Lorenzo Colombo,64.9,Sassuolo,Casa,,6.0
Angeyoan Bonny,64.8,Como,Trasf.,,4.5
Caleb Ekuban,64.7,Sassuolo,Casa,,10.0
Gift Orban,64.7,Torino,Trasf.,,6.0
Giovane,64.3,Torino,Trasf.,,5.0
Nicolas Kuhn,63.8,Inter,Casa,,7.0
Jonathan David,63.2,Atalanta,Trasf.,,6.0
Amin Sarr,63.2,Torino,Trasf.,,s.v.
Luca Moro,62.9,Genoa,Trasf.,,s.v.
Walid Cheddira,62.9,Genoa,Trasf.,,5.5
Manor Solomon,62.8,Lazio,Casa,,s.v.
Kamaldeen Sulemana,62.8,Juventus,Casa,,s.v.
Andrea Belotti,62.7,Cremonese,Casa,,s.v.
Antonio Caracciolo,62.4,Roma,Trasf.,,4.5
Jeff Ekhator,62.3,Sassuolo,Casa,,s.v.
Ze Pedro,62.2,Cremonese,Casa,,8.0
Thijs Dallinga,61.7,Lecce,Casa,,5.5
Sulemana,61.5,Cremonese,Casa,,4.5
Matteo Cancellieri,61.3,Fiorentina,Trasf.,,6.0
Rafiu Durosinmi,60.5,Roma,Trasf.,,5.0
Nikola Stulic,60.2,Bologna,Trasf.,,5.0
Idrissa Gueye,60.1,Milan,Trasf.,,6.0
Benjamin Dominguez,59.9,Lecce,Casa,,5.5
Patrick Cutrone,59.8,Napoli,Casa,,6.0
Mbala Nzola,59.7,,Trasf.,,6.0
Christian Kouame,59.7,Lazio,Casa,,6.0
Adrian Benedyczak,59.7,Napoli,Casa,,5.5
Daniel Mosquera,59.6,Torino,Trasf.,,6.0
Pedro,59.1,Fiorentina,Trasf.,,5.5
Giuseppe Ambrosino,58.8,Parma,Trasf.,,s.v.
Santiago Gimenez,58.7,Udinese,Casa,,5.5
Petar Ratkov,58.5,Fiorentina,Trasf.,,6.0
Yael Trepy,58.1,Cremonese,Casa,,s.v.
Isaac,57.6,Torino,Trasf.,,6.0
Ali Dembele,56.2,Verona,Casa,,6.0
Nicholas Pierini,55.3,Genoa,Trasf.,,6.0
Iker Bravo,54.8,Milan,Trasf.,,5.5
Vakoun Bayo,54.5,Milan,Trasf.,,4.5
Lois Openda,54.2,Atalanta,Trasf.,,s.v.
Faris Moumbagna,53.0,Cagliari,Trasf.,,5.0
