Giocatore,Index,Avversario,Campo,Top
Hakan Calhanoglu,87.4,napoli,casa,🔥
Federico Bernardeschi,87.0,sassuolo,casa,🔥
Lucas Da Cunha,86.8,genoa,trasf.,🔥
Martin Baturina,85.4,genoa,trasf.,🔥
Andrea Colpani,82.6,parma,trasf.,🔥
Jurgen Ekkelenkamp,81.2,lazio,casa,🔥
Alessandro Romano,80.7,lecce,casa,🔥
Andy Diouf,78.8,napoli,casa,🔥
Nicolò Barella,78.1,napoli,casa,🔥
Jonathan Rowe,77.8,sassuolo,casa,🔥
Gustav Isaksen,77.2,udinese,trasf.,
Davide Frattesi,76.0,napoli,casa,
Riccardo Orsolini,75.8,sassuolo,casa,
Giacomo Calo,74.1,venezia,casa,
Nico Paz,73.1,genoa,trasf.,
Alieu Njie,72.8,fiorentina,trasf.,
Luis Milla,72.7,genoa,trasf.,
Mattia Liberali,72.7,genoa,trasf.,
Gianluca Busio,72.4,frosinone,trasf.,
Alisson Santos,71.8,inter,trasf.,
Francisco Conceição,71.7,milan,casa,
Rodrigo Mora,71.6,atalanta,casa,
Kouadio Kone,70.9,atalanta,casa,
Lewis Ferguson,70.3,sassuolo,casa,
Antonio Vergara,70.1,inter,trasf.,
Kristian Thorstvedt,69.8,bologna,trasf.,
Samuel Chukwueze,69.8,juventus,trasf.,
Gianluca Gaetano,69.7,lecce,casa,
Lassana Coulibaly,69.4,cagliari,trasf.,
Ndary Adopo,68.9,lecce,casa,
Nicolò Cambiaghi,68.8,sassuolo,casa,
Lazar Samardzic,68.8,roma,trasf.,
Michael Folorunsho,68.8,lecce,casa,
Rolando Mandragora,68.7,torino,casa,
Cristian Volpato,68.6,bologna,trasf.,
Nikola Vlasic,68.4,fiorentina,trasf.,
Piotr Zielinski,67.9,napoli,casa,
Luis Hasa,67.8,venezia,casa,
Kevin De Bruyne,67.8,inter,trasf.,
Jakub Piotrowski,67.7,lazio,casa,
Vasilije Adzic,67.6,milan,casa,
Alieu Fadera,67.4,bologna,trasf.,
Bryan Cristante,67.4,atalanta,casa,
Alexis Saelemaekers,67.4,juventus,trasf.,
Jens Odgaard,67.0,sassuolo,casa,
Franco Mastantuono,66.5,torino,casa,
Mattia Zaccagni,66.3,udinese,trasf.,
Nicolo Zaniolo,65.9,lazio,casa,
Alessio Cacciamani,65.7,fiorentina,trasf.,
Darryl Bakola,65.6,bologna,trasf.,
Santiago Pierotti,64.9,cagliari,trasf.,
Daniel Maldini,64.8,udinese,trasf.,
Emirhan Ilkhan,64.1,fiorentina,trasf.,
Tommaso Baldanzi,64.1,atalanta,casa,
Patrizio Masini,63.3,como,casa,
Niccolò Pisilli,63.1,atalanta,casa,
Petar Sucic,62.8,napoli,casa,
Christian Ordóñez,62.8,monza,casa,
Mandela Keita,62.7,monza,casa,
Morten Frendrup,62.5,como,casa,
Alessandro Deiola,62.1,lecce,casa,
Reda Belahyane,62.1,udinese,trasf.,
Tommaso Pobega,62.0,sassuolo,casa,
Kenneth Taylor,62.0,udinese,trasf.,
Kian Fitz-Jim,61.9,fiorentina,trasf.,
Adrien Rabiot,61.9,juventus,trasf.,
Youssef Maleh,61.5,cagliari,trasf.,
Manuel Locatelli,61.3,milan,casa,
Jesper Karlström,61.3,lazio,casa,
Pontus Almqvist,61.3,monza,casa,
Éderson,61.3,roma,trasf.,
Máximo Perrone,61.2,genoa,trasf.,
Maxence Caqueret,61.2,genoa,trasf.,
Stanislav Lobotka,61.0,inter,trasf.,
Eljif Elmas,60.9,inter,trasf.,
Luka Modric,60.8,juventus,trasf.,
Yunus Musah,60.5,roma,trasf.,
Fisayo Dele-Bashiru,60.4,udinese,trasf.,
Junior Messias,60.1,como,casa,
Matteo Cichella,59.7,venezia,casa,
Cesare Casadei,59.6,fiorentina,trasf.,
Luis Henrique,59.6,napoli,casa,
Teun Koopmeiners,59.5,milan,casa,
Weston McKennie,59.5,milan,casa,
Benjamín Cremaschi,59.4,monza,casa,
Douglas Luiz,59.3,milan,casa,
Nicolo Rovella,59.2,udinese,trasf.,
Nicola Zalewski,59.2,roma,trasf.,
Ivan Ilic,59.1,fiorentina,trasf.,
Cher Ndour,59.1,torino,casa,
Lennon Miller,58.9,lazio,casa,
Mario Pasalic,58.8,roma,trasf.,
Scott McTominay,58.8,inter,trasf.,
Jacopo Fazzini,58.7,torino,casa,
Adrián Bernabé,58.5,monza,casa,
Oier Zarraga,58.5,lazio,casa,
Romano Schmid,58.3,venezia,casa,
Ethan Meichtry,57.9,como,casa,
Seydou Fini,57.9,como,casa,
Zakaria Aboukhlal,57.8,fiorentina,trasf.,
Alessio Zerbin,57.8,,trasf.,
Toma Basic,57.7,udinese,trasf.,
Mattia Felici,57.6,lecce,casa,
David Neres,57.6,inter,trasf.,
Harry Winks,57.5,lecce,casa,
Mathis Mout,57.2,parma,trasf.,
Nemanja Matic,56.8,bologna,trasf.,
Mikael Ellertsson,56.7,como,casa,
Medon Berisha,56.7,cagliari,trasf.,
Neil El Aynaoui,56.6,atalanta,casa,
Arthur Atta,56.2,lazio,casa,
Albert Gudmundsson,56.0,torino,casa,
Unai Gómez,55.7,lazio,casa,
Hans Nicolussi Caviglia,55.3,monza,casa,
Ardon Jashari,55.0,juventus,trasf.,
Oumar Ngom,55.0,cagliari,trasf.,
Matteo Guendouzi,55.0,udinese,trasf.,
Olaf Gorter,54.9,cagliari,trasf.,
Kerim-Sam Alajbegovic,54.8,milan,casa,
Marco Brescianini,54.8,torino,casa,
Stephan El Shaarawy,54.8,atalanta,casa,
Ebenezer Akinsanmiro,54.8,,trasf.,
Gvidas Gineitis,54.5,fiorentina,trasf.,
Nicolo Fagioli,54.5,torino,casa,
Luca Lipani,54.4,bologna,trasf.,
Sergi Roberto,54.3,genoa,trasf.,
Omri Gandelman,53.9,cagliari,trasf.,
Edon Zhegrova,53.8,milan,casa,
Tomás Suslov,53.8,,trasf.,
Alex Amorim,53.7,como,casa,
Simon Sohm,53.6,torino,casa,
Billy Gilmour,53.5,inter,trasf.,
Matteo Politano,53.3,inter,trasf.,
Ruslan Malinovskiy,53.3,como,casa,
Franck Zambo,53.2,inter,trasf.,
Matteo Dagasso,52.9,frosinone,trasf.,
Nahuel Estévez,52.7,monza,casa,
Joseph Liteta,52.7,lecce,casa,
Grigoris Kastanos,52.7,,trasf.,
Riyad Idrissi,52.3,lecce,casa,
Jeremy Sarmiento,52.0,,trasf.,
Filip Kostic,52.0,milan,casa,
Ylber Ramadani,52.0,cagliari,trasf.,
Oliver Sørensen,52.0,monza,casa,
Riccardo Sottil,51.8,cagliari,trasf.,
Remo Freuler,51.7,sassuolo,casa,
Lorenzo Pellegrini,51.7,atalanta,casa,
Kristjan Asllani,51.7,fiorentina,trasf.,
Sandi Lovric,51.6,,trasf.,
Edoardo Iannoni,51.5,bologna,trasf.,
Jack Harrison,51.4,torino,casa,
Hernani,51.2,monza,casa,
Antoine Bernede,51.1,,trasf.,
Danilo Cataldi,50.9,udinese,trasf.,
Faustino Anjorin,50.8,fiorentina,trasf.,
Franco Vázquez,50.7,,trasf.,
Alex Sala,50.5,cagliari,trasf.,
Mikel Amondarain,50.5,sassuolo,casa,
Henrikh Mkhitaryan,50.5,napoli,casa,
Idrissa Touré,50.4,,trasf.,
Matteo Tramoni,50.4,,trasf.,
Roberto Gagliardini,50.3,,trasf.,
Marten de Roon,50.3,roma,trasf.,
Michele Collocolo,50.2,,trasf.,
Lorenzo Venturino,50.2,atalanta,casa,
Kephren Thuram,50.0,milan,casa,
Lorran,49.9,,trasf.,
Isak Vural,49.7,,trasf.,
Ismaël Koné,49.5,bologna,trasf.,
Mehdi Leris,49.5,,trasf.,
Ruben Loftus-Cheek,49.1,juventus,trasf.,
Al Musrati,49.1,,trasf.,
Abdelhamid Sabiri,49.0,torino,casa,
Gaetano Oristanio,49.0,monza,casa,
Jacob Ondrejka,49.0,monza,casa,
Daniel Boloca,49.0,bologna,trasf.,
Calvin Stengs,49.0,,trasf.,
Jari Vandeputte,49.0,,trasf.,
Alberto Grassi,49.0,,trasf.,
Matteo Prati,48.9,fiorentina,trasf.,
Thórir Helgason,48.8,cagliari,trasf.,
Aster Vranckx,48.8,bologna,trasf.,
Luca Mazzitelli,48.6,lecce,casa,
Albert Grønbæk,48.5,como,casa,
Malthe Højholt,48.4,,trasf.,
Christ Inao Oulaï,48.4,torino,casa,
Suat Serdar,48.4,,trasf.,
Martín Payero,48.3,,trasf.,
Abdou Harroui,47.9,,trasf.,
Warren Bondo,47.8,,trasf.,
Romano Floriani,47.4,,trasf.,
Samuele Ricci,47.4,juventus,trasf.,
Morten Thorsby,47.4,como,casa,
Cheikh Niasse,47.2,,trasf.,
Adrien Tameze,47.0,fiorentina,trasf.,
Gabriele Piccinini,47.0,,trasf.,
Nicolae Stanciu,47.0,como,casa,
Fabio Miretti,46.6,milan,casa,
Marius Marin,46.4,,trasf.,
Giovanni Fabbian,46.3,torino,casa,
Christian Pulisic,45.9,juventus,trasf.,
Amir Richardson,45.8,torino,casa,
Youssouf Fofana,45.2,juventus,trasf.,
Michel Aebischer,44.8,,trasf.,
Christian Kabasele,44.3,lazio,casa,
Maxwel Cornet,44.0,como,casa,
