Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Kenan Yildiz,96.1,Genoa,Casa,🔥,6.0
Tasos Douvikas,87.6,Udinese,Trasf.,🔥,5.5
Che Adams,86.2,Pisa,Trasf.,🔥,10.0
Andrea Pinamonti,85.2,Cagliari,Casa,🔥,9.5
Giovanni Simeone,85.1,Pisa,Trasf.,🔥,6.0
Domenico Berardi,82.6,Cagliari,Casa,🔥,6.0
Nikola Krstovic,82.3,Lecce,Trasf.,🔥,10.0
Assane Diao,80.9,Udinese,Trasf.,🔥,5.5
Donyell Malen,80.0,Inter,Trasf.,🔥,6.0
Santiago Castro,79.5,Cremonese,Trasf.,🔥,5.5
Duvan Zapata,78.9,Pisa,Trasf.,,6.0
Armand Lauriente,78.4,Cagliari,Casa,,5.5
Gift Orban,77.3,Fiorentina,Casa,,5.5
Dusan Vlahovic,76.4,Genoa,Casa,,6.0
Charles De Ketelaere,76.3,Lecce,Trasf.,,9.0
Stefano Moreo,75.2,Torino,Casa,,5.0
David Okereke,75.0,Bologna,Casa,,5.5
Tijjani Noslin,74.6,Parma,Casa,,9.0
Rasmus Hojlund,74.2,Milan,Casa,,6.0
Robinio Vaz,72.3,Inter,Trasf.,,10.0
Vitinha,71.7,Juventus,Trasf.,,5.5
Federico Bonazzoli,71.5,Bologna,Casa,,9.5
Sebastiano Esposito,71.2,Sassuolo,Trasf.,,9.5
Pio Esposito,70.5,Roma,Casa,,6.0
Moise Kean,70.0,Verona,Trasf.,,5.0
Antonio Sanabria,69.9,Bologna,Casa,,6.0
Lorenzo Colombo,69.7,Juventus,Trasf.,,5.0
Christopher Nkunku,68.6,Napoli,Trasf.,,5.0
Angeyoan Bonny,68.2,Roma,Casa,,6.0
Antonio Caracciolo,67.9,Torino,Casa,,5.5
Nicolo Cambiaghi,67.8,Cremonese,Trasf.,,5.5
Pedro,67.7,Parma,Casa,,5.0
Giacomo Raspadori,67.5,Lecce,Trasf.,,10.0
Roberto Piccoli,67.5,Verona,Trasf.,,5.5
Matteo Cancellieri,67.2,Parma,Casa,,5.5
Leonardo Pavoletti,67.1,Sassuolo,Trasf.,,9.0
Nicolas Kuhn,66.9,Udinese,Trasf.,,7.0
Kieron Bowie,66.9,Fiorentina,Casa,,5.0
Thijs Dallinga,66.8,Cremonese,Trasf.,,5.5
Nikola Moro,66.4,Cremonese,Trasf.,,6.5
Nikola Stulic,66.4,Atalanta,Casa,,6.0
Mateo Pellegrino,66.3,Lazio,Trasf.,,4.5
Caleb Ekuban,66.3,Juventus,Trasf.,,6.0
Walid Cheddira,66.2,Cagliari,Casa,,4.5
Milan Djuric,65.4,Lazio,Trasf.,,5.0
Henrik Meister,65.2,Torino,Casa,,5.0
Benjamin Dominguez,64.9,Cremonese,Trasf.,,5.5
Romelu Lukaku,64.5,Milan,Casa,,s.v.
Jeff Ekhator,64.5,Juventus,Trasf.,,s.v.
Niclas Fullkrug,64.3,Napoli,Trasf.,,5.0
Semih Kilicsoy,64.3,Sassuolo,Trasf.,,6.0
Konan Ndri,63.9,Atalanta,Casa,,5.0
Andrias Edmundsson,63.8,Fiorentina,Casa,,6.5
Luca Moro,63.8,Cagliari,Casa,,5.5
Jonathan David,63.3,Genoa,Casa,,6.5
Kamaldeen Sulemana,63.3,Lecce,Trasf.,,s.v.
Sulemana,63.0,Sassuolo,Trasf.,,4.5
Alvaro Morata,62.8,Udinese,Trasf.,,6.0
Christian Kouame,62.1,Verona,Trasf.,,6.0
Mbala Nzola,62.1,,Trasf.,,6.0
Giovane,60.9,Fiorentina,Casa,,6.0
Santiago Gimenez,60.9,Napoli,Trasf.,,5.5
Petar Ratkov,60.7,Parma,Casa,,4.5
Adrian Benedyczak,60.0,Lazio,Trasf.,,5.5
Patrick Cutrone,59.1,Lazio,Trasf.,,6.0
Ze Pedro,59.0,Sassuolo,Trasf.,,6.0
Amin Sarr,59.0,Fiorentina,Casa,,5.5
Yael Trepy,58.5,Sassuolo,Trasf.,,s.v.
Giuseppe Ambrosino,57.8,Milan,Casa,,s.v.
Isaac,57.5,Fiorentina,Casa,,6.0
Lois Openda,57.2,Genoa,Casa,,s.v.
Ali Dembele,56.1,Pisa,Trasf.,,6.0
Daniel Mosquera,55.4,Fiorentina,Casa,,s.v.
Vakoun Bayo,55.4,Como,Casa,,4.5
Nicholas Pierini,55.3,Cagliari,Casa,,6.0
Iker Bravo,54.8,Como,Casa,,5.5
Idrissa Gueye,53.9,Como,Casa,,6.0
