Giocatore,Index,Avversario,Campo,Top
Federico Dimarco,84.6,udinese,casa,🔥
Rafik Belghali,82.2,roma,casa,🔥
Federico Gatti,80.7,sassuolo,trasf.,🔥
Gianluca Mancini,80.3,torino,trasf.,🔥
Emanuele Lulli,79.8,torino,trasf.,🔥
Evan Ndicka,79.4,torino,trasf.,🔥
Wesley,79.4,torino,trasf.,🔥
Yann Bisseck,79.0,udinese,casa,🔥
Gabriele Bracaglia,79.0,genoa,trasf.,🔥
Álex Valle,78.5,parma,casa,🔥
Oumar Solet,78.3,inter,trasf.,
Alessandro Bastoni,78.0,udinese,casa,
Marcus Pedersen,76.1,roma,casa,
Nuno Tavares,76.1,milan,casa,
Richie Sagrado,75.7,fiorentina,casa,
Benjamin Pavard,75.5,udinese,casa,
Mario Hermoso,75.0,torino,trasf.,
Mario Gila,74.8,milan,casa,
Leonardo Balerdi,74.1,torino,trasf.,
Bremer,74.1,sassuolo,trasf.,
Koni de Winter,73.8,lazio,trasf.,
Jacobo Ramón,72.5,parma,casa,
Josh Doig,72.0,juventus,casa,
Rafael Obrador,72.0,roma,casa,
Ilario Monterisi,71.8,genoa,trasf.,
Leonardo Spinazzola,71.1,bologna,casa,
Lorenzo Bernasconi,70.5,cagliari,casa,
Ricardo Mangas,69.9,lecce,trasf.,
Marc-Oliver Kempf,69.9,parma,casa,
Yan Couto,69.6,parma,casa,
Carlos Augusto,69.6,udinese,casa,
Danilho Doekhi,69.4,milan,casa,
Strahinja Pavlovic,69.2,lazio,trasf.,
Mergim Vojvoda,69.1,parma,casa,
Manuel Akanji,68.9,udinese,casa,
Samuele Birindelli,68.8,lecce,trasf.,
Hassane Kamara,68.6,inter,trasf.,
Diego Carlos,68.5,parma,casa,
Giorgio Cittadini,68.4,genoa,trasf.,
Antoine Hainaut,68.3,fiorentina,casa,
Kingsley Ehizibue,68.3,inter,trasf.,
Stefano Sabelli,68.1,frosinone,casa,
Simone Cinquegrano,67.5,juventus,casa,
Giorgio Scalvini,67.5,cagliari,casa,
Lloyd Kelly,67.4,sassuolo,trasf.,
Ivan Smolcic,67.3,parma,casa,
Adam Marusic,67.2,milan,casa,
Ardian Ismajli,66.9,roma,casa,
Oliver Provstgaard,66.9,milan,casa,
Mehmet Zeki Çelik,66.8,torino,trasf.,
Aleksa Terzic,66.8,genoa,trasf.,
Davide Zappacosta,66.6,cagliari,casa,
Saúl Coco,66.6,roma,casa,
Juan Miranda,66.5,napoli,trasf.,
Eray Cömert,65.8,roma,casa,
Giovanni Di Lorenzo,65.6,bologna,casa,
Adam Obert,65.6,atalanta,trasf.,
Konstantinos Koulierakis,65.5,torino,trasf.,
Amir Rrahmani,64.9,bologna,casa,
Enrico Del Prato,64.9,como,trasf.,
Eivind Helland,64.5,napoli,trasf.,
Emanuele Valeri,64.5,como,trasf.,
Leo Østigard,64.1,frosinone,casa,
Davide Bartesaghi,64.0,lazio,trasf.,
John Stones,63.8,udinese,casa,
Matteo Gabbia,63.8,lazio,trasf.,
Johan Vásquez,63.6,frosinone,casa,
Niccolò Fortini,63.1,venezia,trasf.,
Antonino Gallo,62.7,monza,casa,
Odilon Kossounou,62.7,cagliari,casa,
Dodô,62.6,venezia,trasf.,
Nathan Patterson,62.6,roma,casa,
Bartol Franjic,62.6,fiorentina,casa,
Cas Odenthal,62.5,juventus,casa,
Ridgeciano Haps,62.4,fiorentina,casa,
Brooke Norton-Cuffy,62.3,frosinone,casa,
Dominik Drobnic,61.9,como,trasf.,
Raphael Kofler,61.9,atalanta,trasf.,
Nicolò Bertola,61.6,inter,trasf.,
Sebastian Otoa,61.4,frosinone,casa,
Gabriele Calvani,60.6,genoa,trasf.,
Pietro Comuzzo,60.6,venezia,trasf.,
Sead Kolasinac,60.5,cagliari,casa,
Alessandro Marcandalli,59.9,frosinone,casa,
Daniele Ghilardi,59.5,torino,trasf.,
Yerry Mina,59.4,atalanta,trasf.,
Matteo Palma,59.4,inter,trasf.,
Jay Idzes,58.9,juventus,casa,
Gabriele Zappa,58.8,atalanta,trasf.,
Lautaro Valenti,58.7,como,trasf.,
Eddy Kouadio,58.4,venezia,trasf.,
Rahim Alhassane,58.1,napoli,trasf.,
Juan Rodríguez,57.9,atalanta,trasf.,
Jhon Lucumí,57.8,napoli,trasf.,
Arthur Theate,57.7,napoli,trasf.,
Torbjørn Heggem,57.5,napoli,trasf.,
James Abankwah,57.5,inter,trasf.,
Emil Holm,57.5,napoli,trasf.,
Jamil Siebert,57.3,monza,casa,
Adam Bakoune,57.1,lecce,trasf.,
Andrea Cambiaso,56.9,sassuolo,trasf.,
