Giocatore,Index,Avversario,Campo,Top
Vasilije Adzic,84.5,sassuolo,trasf.,🔥
Lucas Da Cunha,84.0,parma,casa,🔥
Nico Paz,83.0,parma,casa,🔥
Alisson Santos,81.4,bologna,casa,🔥
Martin Baturina,79.6,parma,casa,🔥
Nicolò Barella,79.5,udinese,casa,🔥
Rodrigo Mora,79.1,torino,trasf.,🔥
Kristian Thorstvedt,77.8,juventus,casa,🔥
Nikola Vlasic,77.7,roma,casa,🔥
Davide Frattesi,76.3,udinese,casa,🔥
Piotr Zielinski,75.5,udinese,casa,
Andrea Colpani,75.2,lecce,trasf.,
Luis Milla,74.5,parma,casa,
Máximo Perrone,74.5,parma,casa,
Alessandro Romano,74.2,atalanta,trasf.,
Jurgen Ekkelenkamp,73.9,inter,trasf.,
Rolando Mandragora,73.8,venezia,trasf.,
Giacomo Calo,73.8,genoa,trasf.,
Andy Diouf,73.3,udinese,casa,
Mandela Keita,73.1,como,trasf.,
Éderson,73.0,cagliari,casa,
Cristian Volpato,72.9,juventus,casa,
Mattia Zaccagni,72.8,milan,casa,
Hakan Calhanoglu,72.3,udinese,casa,
Riccardo Orsolini,71.8,napoli,trasf.,
Luka Modric,71.6,lazio,trasf.,
Mattia Liberali,71.2,parma,casa,
David Neres,71.2,bologna,casa,
Nicolo Zaniolo,71.1,inter,trasf.,
Matteo Politano,70.9,bologna,casa,
Ebenezer Akinsanmiro,70.9,lecce,trasf.,
Jonathan Rowe,70.9,napoli,trasf.,
Samuel Chukwueze,70.1,lazio,trasf.,
Adrien Rabiot,69.8,lazio,trasf.,
Federico Bernardeschi,69.4,napoli,trasf.,
Jesper Karlström,69.2,inter,trasf.,
Nicola Zalewski,68.6,cagliari,casa,
Luis Hasa,68.0,genoa,trasf.,
Teun Koopmeiners,67.8,sassuolo,trasf.,
Francisco Conceição,67.6,sassuolo,trasf.,
Gianluca Busio,67.3,fiorentina,casa,
Alessio Cacciamani,67.1,roma,casa,
Lassana Coulibaly,66.9,monza,casa,
Lewis Ferguson,66.5,napoli,trasf.,
Junior Messias,66.4,frosinone,casa,
Gustav Isaksen,66.4,milan,casa,
Romano Floriani,65.9,milan,casa,
Daniel Bragança,65.9,roma,casa,
Kian Fitz-Jim,65.8,roma,casa,
Nemanja Matic,65.8,juventus,casa,
Harry Winks,65.6,atalanta,trasf.,
Bryan Cristante,65.2,torino,trasf.,
Alexis Saelemaekers,65.2,lazio,trasf.,
Santiago Pierotti,65.2,monza,casa,
Alieu Njie,65.0,roma,casa,
Franco Mastantuono,64.9,venezia,trasf.,
