Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
elseid hysaj,53.7,napoli,trasf.,,s.v.
gaby jean,53.7,fiorentina,casa,,5.5
niakhate ndiaye,53.6,udinese,trasf.,,6.5
francesco coppola,53.6,genoa,casa,,s.v.
cristiano biraghi,52.7,cremonese,trasf.,,6.0
mattia viti,52.5,lecce,trasf.,,5.0
rosen bozhinov,52.2,genoa,casa,,5.0
owen kouassi,52.0,fiorentina,casa,,4.0
matteo palma,51.9,parma,casa,,6.0
pablo mari,51.5,lecce,trasf.,,6.0
alessandro di pardo,51.3,inter,trasf.,,s.v.
mateus lusuardi,51.1,genoa,casa,,5.0
giovanni bonfanti,50.7,genoa,casa,,6.0
matias perez,50.7,fiorentina,casa,,5.5
valentin carboni,50.7,pisa,trasf.,,s.v.
pol lirola,49.6,milan,casa,,5.0
