Giocatore,Index,Avversario,Campo,Top
Aarón Martín,53.6,como,casa,
Kialonda Gaspar,53.6,cagliari,trasf.,
Kingsley Ehizibue,53.5,lazio,casa,
Woyo Coulibaly,53.5,bologna,trasf.,
Alessandro Di Pardo,53.4,lecce,casa,
Enzo Ebosse,53.3,,trasf.,
Domagoj Bradaric,53.1,,trasf.,
Luca Ranieri,52.6,torino,casa,
Francesco Acerbi,52.6,napoli,casa,
Rui Modesto,52.5,lazio,casa,
Stefan de Vrij,52.5,napoli,casa,
Ignace Van der Brempt,52.5,genoa,trasf.,
Victor Nelsson,52.5,,trasf.,
Miguel Gutiérrez,52.4,inter,trasf.,
Alessio Romagnoli,52.2,udinese,trasf.,
Rafik Belghali,51.9,,trasf.,
Berat Gjimshiti,51.9,roma,trasf.,
Tarik Muharemovic,51.8,bologna,trasf.,
Juan Jesus,51.6,inter,trasf.,
Nicolò Casale,51.5,sassuolo,casa,
Jean Onana,51.4,como,casa,
Alessandro Circati,51.4,monza,casa,
Mathias Løvik,51.4,monza,casa,
Jordan Zemura,51.4,lazio,casa,
Federico Baschirotto,51.2,,trasf.,
Tobias Slotsager,51.2,,trasf.,
Zachary Athekame,51.1,juventus,trasf.,
Alberto Moreno,51.0,genoa,trasf.,
Jan Ziólkowski,51.0,atalanta,casa,
Sebastiano Luperto,50.9,,trasf.,
Niels Nkounkou,50.8,fiorentina,trasf.,
Viery,50.6,torino,casa,
Sebastian Walukiewicz,50.4,bologna,trasf.,
Elseid Hysaj,50.3,udinese,trasf.,
Marin Pongracic,50.0,torino,casa,
Luca Marianucci,49.8,fiorentina,trasf.,
Patric,49.8,udinese,trasf.,
Konstantinos Tsimikas,49.8,atalanta,casa,
Robin Gosens,49.7,torino,casa,
Samuele Angori,49.6,,trasf.,
Alessandro Buongiorno,49.5,inter,trasf.,
Corrie Ndaba,49.4,cagliari,trasf.,
Giovanni Bonfanti,49.3,,trasf.,
Honest Ahanor,49.3,roma,trasf.,
Guillermo Maripán,49.3,fiorentina,trasf.,
Mikayil Faye,49.2,,trasf.,
Jean-Daniel Akpa-Akpro,49.2,,trasf.,
Tariq Lamptey,49.0,torino,casa,
Manuel Lazzari,48.8,udinese,trasf.,
Charalampos Lykogiannis,48.8,sassuolo,casa,
Gaby Jean,48.8,cagliari,trasf.,
Fali Candé,48.7,bologna,trasf.,
Daniele Rugani,48.6,milan,casa,
Raoul Bellanova,48.4,roma,trasf.,
Angelino,48.4,atalanta,casa,
Matteo Bianchetti,48.3,,trasf.,
Matías Pérez,48.2,cagliari,trasf.,
Daniel Oyegoke,48.1,,trasf.,
Giuseppe Pezzella,48.0,,trasf.,
Juan Arizala,48.0,lazio,casa,
Juan Cuadrado,47.8,,trasf.,
Francesco Folino,47.6,,trasf.,
Raúl Albiol,47.4,,trasf.,
Fallou Cham,47.4,,trasf.,
Martin Frese,47.3,,trasf.,
Valentino Lazaro,47.3,fiorentina,trasf.,
Filippo Terracciano,47.3,,trasf.,
Adam Masina,47.3,fiorentina,trasf.,
Tommaso Barbieri,47.1,,trasf.,
Pablo Marí,46.9,torino,casa,
Alejandro Jiménez,46.8,torino,casa,
Valentín Carboni,46.7,como,casa,
Simone Canestrelli,46.6,,trasf.,
Federico Ceccherini,46.5,,trasf.,
Lorenzo Lucchesi,46.2,parma,trasf.,
Saba Goglichidze,45.8,lazio,casa,
Owen Kouassi,45.6,cagliari,trasf.,
Fikayo Tomori,45.6,juventus,trasf.,
Arturo Calabresi,45.2,,trasf.,
Mattia Viti,45.2,torino,casa,
Rosen Bozhinov,45.1,,trasf.,
Francesco Coppola,44.9,,trasf.,
Luca Pellegrini,44.3,udinese,trasf.,
Mateus Lusuardi,43.3,,trasf.,
Daniel Denoon,42.8,,trasf.,
Radu Dragusin,42.6,torino,casa,
Pol Lirola,41.7,,trasf.,
