Giocatore,Index,Avversario,Campo,Top
Hassane Kamara,84.2,lazio,casa,🔥
Gabriele Bracaglia,82.6,venezia,casa,🔥
Federico Dimarco,81.9,napoli,casa,🔥
Wesley,81.3,atalanta,casa,🔥
Gianluca Mancini,81.2,atalanta,casa,🔥
Emanuele Lulli,81.1,atalanta,casa,🔥
Yann Bisseck,79.6,napoli,casa,🔥
Marcus Pedersen,79.3,fiorentina,trasf.,🔥
Oumar Solet,78.2,lazio,casa,🔥
Evan Ndicka,76.7,atalanta,casa,🔥
Rahim Alhassane,76.5,sassuolo,casa,
Benjamin Pavard,76.5,napoli,casa,
Davide Zappacosta,75.5,roma,trasf.,
Juan Rodríguez,74.0,lecce,casa,
Ilario Monterisi,73.2,venezia,casa,
Álex Valle,72.6,genoa,trasf.,
Nuno Tavares,72.5,udinese,trasf.,
Ridgeciano Haps,71.8,frosinone,trasf.,
Danilho Doekhi,71.2,udinese,trasf.,
Adam Marusic,70.7,udinese,trasf.,
Emanuele Valeri,70.1,monza,casa,
Jay Idzes,69.6,bologna,trasf.,
Antoine Hainaut,69.6,frosinone,trasf.,
Samuele Birindelli,69.3,parma,trasf.,
Ivan Smolcic,69.3,genoa,trasf.,
Mehmet Zeki Çelik,69.2,atalanta,casa,
Ricardo Mangas,68.7,parma,trasf.,
Brooke Norton-Cuffy,68.6,como,casa,
Strahinja Pavlovic,68.5,juventus,trasf.,
Aleksa Terzic,68.4,venezia,casa,
Daniele Ghilardi,67.9,atalanta,casa,
Lorenzo Bernasconi,67.8,roma,trasf.,
Cas Odenthal,67.6,bologna,trasf.,
Juan Miranda,67.5,sassuolo,casa,
Marc-Oliver Kempf,67.3,genoa,trasf.,
Giovanni Di Lorenzo,67.3,inter,trasf.,
Rafael Obrador,67.0,fiorentina,trasf.,
Alessandro Bastoni,66.6,napoli,casa,
Yan Couto,66.6,genoa,trasf.,
Giorgio Scalvini,66.5,roma,trasf.,
Amir Rrahmani,66.4,inter,trasf.,
Nicolò Bertola,66.4,lazio,casa,
Konstantinos Koulierakis,66.2,atalanta,casa,
John Stones,66.2,napoli,casa,
Adam Obert,65.8,lecce,casa,
Gabriele Zappa,65.8,lecce,casa,
Pietro Comuzzo,65.7,torino,casa,
Lloyd Kelly,65.5,milan,casa,
Mergim Vojvoda,65.5,genoa,trasf.,
Mario Gila,65.5,udinese,trasf.,
Antonino Gallo,65.3,cagliari,trasf.,
Emil Holm,65.2,milan,casa,
Dominik Drobnic,65.1,monza,casa,
Giorgio Cittadini,64.9,venezia,casa,
Niakhate Ndiaye,64.9,monza,casa,
Odilon Kossounou,64.7,roma,trasf.,
Eivind Helland,64.7,sassuolo,casa,
Sead Kolasinac,63.4,roma,trasf.,
Bartol Franjic,63.4,frosinone,trasf.,
Oliver Provstgaard,63.2,udinese,trasf.,
Johan Vásquez,62.6,como,casa,
Mario Hermoso,62.5,atalanta,casa,
Raphael Kofler,62.3,lecce,casa,
Leonardo Spinazzola,62.2,inter,trasf.,
Niccolò Fortini,62.0,torino,casa,
Leo Østigard,61.8,como,casa,
Matteo Palma,61.3,lazio,casa,
Bremer,61.2,milan,casa,
Gabriele Calvani,61.0,venezia,casa,
Torbjørn Heggem,60.8,sassuolo,casa,
Ardian Ismajli,60.6,fiorentina,trasf.,
Simone Cinquegrano,60.5,bologna,trasf.,
James Abankwah,60.5,lazio,casa,
Nadir Zortea,60.5,sassuolo,casa,
Jacobo Ramón,60.3,genoa,trasf.,
Manuel Akanji,59.9,napoli,casa,
Saúl Coco,59.9,fiorentina,trasf.,
Jhon Lucumí,59.9,sassuolo,casa,
Enrico Del Prato,59.6,monza,casa,
Yerry Mina,59.4,lecce,casa,
Devyne Rensch,59.0,atalanta,casa,
Mariano Troilo,58.8,monza,casa,
Estupiñán,58.8,juventus,trasf.,
Koni de Winter,58.7,juventus,trasf.,
Sebastian Otoa,58.7,como,casa,
Federico Gatti,58.2,milan,casa,
Andrea Cambiaso,58.2,milan,casa,
Josh Doig,58.0,bologna,trasf.,
Adam Bakoune,57.8,parma,trasf.,
Joël Schingtienne,57.8,frosinone,trasf.,
Sascha Britschgi,57.7,monza,casa,
Denzel Dumfries,57.7,napoli,casa,
Mathías Olivera,57.2,inter,trasf.,
Davide Bartesaghi,57.1,juventus,trasf.,
Eray Cömert,56.9,fiorentina,trasf.,
Alessandro Marcandalli,56.8,como,casa,
Thomas Thiesson Kristensen,56.5,lazio,casa,
Alessandro Zanoli,56.4,lazio,casa,
Lorenzo De Silvestri,56.2,sassuolo,casa,
Jamil Siebert,56.0,cagliari,trasf.,
Filippo Romagna,55.9,bologna,trasf.,
Marco Palestra,55.9,lecce,casa,
Sam Beukema,55.7,inter,trasf.,
Isak Hien,55.7,roma,trasf.,
Tiago Gabriel,55.6,cagliari,trasf.,
Stefano Sabelli,55.5,como,casa,
João Mário,55.4,milan,casa,
Dodô,55.3,torino,casa,
Eddy Kouadio,55.3,torino,casa,
Matteo Darmian,55.1,napoli,casa,
Fabiano Parisi,54.7,torino,casa,
Pasquale Mazzocchi,54.6,inter,trasf.,
Matteo Gabbia,54.5,juventus,trasf.,
Diego Carlos,54.3,genoa,trasf.,
Martin Vitík,54.2,sassuolo,casa,
Alberto Dossena,54.0,lecce,casa,
Danilo Veiga,54.0,cagliari,trasf.,
Lautaro Valenti,53.9,monza,casa,
Juan Cabal,53.8,milan,casa,
Carlos Augusto,53.8,napoli,casa,
Cristiano Biraghi,53.8,fiorentina,trasf.,
