Giocatore,Index,Avversario,Campo,Top
martin baturina,89.6,genoa,trasf.,🔥
alieu njie,88.3,fiorentina,trasf.,🔥
jurgen ekkelenkamp,87.5,lazio,casa,🔥
davide frattesi,86.3,udinese,trasf.,🔥
hakan calhanoglu,85.8,napoli,casa,🔥
antonio vergara,85.3,inter,trasf.,🔥
federico bernardeschi,85.2,sassuolo,casa,🔥
goncalo ramos,83.6,juventus,trasf.,🔥
lucas da cunha,82.7,genoa,trasf.,🔥
alessandro romano,81.6,lecce,casa,🔥
nicolo zaniolo,81.4,lazio,casa,
andrea colpani,81.1,parma,trasf.,
nicolo barella,80.6,napoli,casa,
alexis saelemaekers,80.6,juventus,trasf.,
andy diouf,80.4,napoli,casa,
cristian volpato,80.0,bologna,trasf.,
francisco conceicao,79.1,milan,casa,
lazar samardzic,76.9,roma,trasf.,
kristian thorstvedt,75.4,bologna,trasf.,
adrien rabiot,75.2,juventus,trasf.,
giacomo calo,74.1,venezia,casa,
nico paz,74.0,genoa,trasf.,
nicolo cambiaghi,73.3,sassuolo,casa,
piotr zielinski,73.3,napoli,casa,
kenneth taylor,73.1,udinese,trasf.,
luis milla,72.7,genoa,trasf.,
alieu fadera,72.7,lecce,casa,
gustav isaksen,72.6,udinese,trasf.,
lewis ferguson,72.5,sassuolo,casa,
reda belahyane,72.4,udinese,trasf.,
gianluca busio,72.3,frosinone,trasf.,
alisson santos,71.4,inter,trasf.,
ebenezer akinsanmiro,71.2,parma,trasf.,
rodrigo mora,70.9,atalanta,casa,
mattia liberali,70.6,genoa,trasf.,
kevin de bruyne,70.1,inter,trasf.,
samuel chukwueze,69.8,juventus,trasf.,
darryl bakola,69.5,bologna,trasf.,
rolando mandragora,69.2,torino,casa,
bryan cristante,68.7,atalanta,casa,
teun koopmeiners,68.5,milan,casa,
mattia zaccagni,68.0,udinese,trasf.,
vasilije adzic,67.9,bologna,trasf.,
lassana coulibaly,67.8,cagliari,trasf.,
luis hasa,67.8,venezia,casa,
michael folorunsho,67.3,parma,trasf.,
yunus musah,67.1,juventus,trasf.,
ndary adopo,67.0,lecce,casa,
kouadio kone,66.2,atalanta,casa,
jakub piotrowski,65.7,lazio,casa,
patrizio masini,65.7,venezia,casa,
niccolo pisilli,65.2,atalanta,casa,
franco mastantuono,65.0,torino,casa,
alessio cacciamani,64.9,fiorentina,trasf.,
jens odgaard,64.9,sassuolo,casa,
alessio zerbin,64.1,venezia,casa,
nikola vlasic,63.6,fiorentina,trasf.,
tommaso pobega,63.6,sassuolo,casa,
christian ordonez,63.6,monza,casa,
morten frendrup,62.8,como,casa,
weston mckennie,62.7,milan,casa,
jonathan rowe,62.3,sassuolo,casa,
stanislav lobotka,62.0,inter,trasf.,
nicolo rovella,62.0,udinese,trasf.,
manuel locatelli,62.0,milan,casa,
luka modric,61.8,juventus,trasf.,
kian fitzjim,61.7,fiorentina,trasf.,
gianluca gaetano,61.6,roma,trasf.,
eljif elmas,61.4,roma,trasf.,
mattia felici,61.3,lecce,casa,
maxence caqueret,61.2,genoa,trasf.,
riccardo orsolini,61.0,sassuolo,casa,
junior messias,61.0,como,casa,
lennon miller,60.7,lazio,casa,
mario pasalic,60.7,roma,trasf.,
nicola zalewski,60.6,roma,trasf.,
ardon jashari,60.5,juventus,trasf.,
jesper karlstrom,60.5,lazio,casa,
santiago pierotti,60.2,cagliari,trasf.,
benjamin cremaschi,60.0,monza,casa,
tommaso baldanzi,59.9,como,casa,
mandela keita,59.9,monza,casa,
emirhan ilkhan,59.8,fiorentina,trasf.,
luis henrique,59.8,napoli,casa,
petar sucic,59.7,napoli,casa,
matteo cichella,59.7,venezia,casa,
oier zarraga,59.4,lazio,casa,
douglas luiz,59.3,milan,casa,
alessandro deiola,59.3,lecce,casa,
maximo perrone,59.2,genoa,trasf.,
toma basic,59.0,frosinone,trasf.,
ederson,58.8,roma,trasf.,
romano schmid,58.3,venezia,casa,
fisayo delebashiru,58.3,udinese,trasf.,
youssef maleh,58.1,cagliari,trasf.,
ethan meichtry,57.8,como,casa,
adrian bernabe,57.7,monza,casa,
harry winks,57.5,lecce,casa,
mathis mout,57.2,parma,trasf.,
seydou fini,56.8,venezia,casa,
pontus almqvist,56.1,monza,casa,
scott mctominay,55.9,inter,trasf.,
mikael ellertsson,55.8,como,casa,
unai gomez,55.7,lazio,casa,
simon sohm,55.6,frosinone,trasf.,
olaf gorter,55.1,cagliari,trasf.,
kerimsam alajbegovic,54.8,milan,casa,
nemanja matic,54.8,bologna,trasf.,
arthur atta,54.7,torino,casa,
ivan ilic,54.5,cagliari,trasf.,
zakaria aboukhlal,54.4,fiorentina,trasf.,
cher ndour,54.2,torino,casa,
gvidas gineitis,53.5,fiorentina,trasf.,
matteo dagasso,52.9,frosinone,trasf.,
marco brescianini,52.9,torino,casa,
zambo anguissa,52.6,inter,trasf.,
alex amorim,52.0,como,casa,
cesare casadei,51.8,fiorentina,trasf.,
jacopo fazzini,51.8,lecce,casa,
nicolo fagioli,51.8,torino,casa,
matteo politano,51.3,inter,trasf.,
edon zhegrova,51.1,milan,casa,
mikel amondarain,50.4,sassuolo,casa,
oumar ngom,49.7,cagliari,trasf.,
albert gudmundsson,49.3,torino,casa,
christ oulai,48.4,torino,casa,
ruben loftuscheek,47.9,juventus,trasf.,
