Giocatore,Index,Avversario,Campo,Top
donyell malen,74.6,atalanta,casa,🔥
paulo dybala,72.9,atalanta,casa,🔥
domenico berardi,68.8,bologna,trasf.,🔥
pio esposito,68.6,napoli,casa,🔥
lorenzo lucca,68.4,inter,trasf.,🔥
giorgi kvernadze,68.3,venezia,casa,🔥
tasos douvikas,67.9,genoa,trasf.,🔥
soule,67.3,atalanta,casa,🔥
antonio raimondo,66.4,venezia,casa,🔥
keinan davis,66.3,lazio,casa,🔥
assane diao,66.2,genoa,trasf.,
david romero,66.1,monza,casa,
rasmus hojlund,65.8,inter,trasf.,
che adams,65.7,fiorentina,trasf.,
dany mota,64.7,parma,trasf.,
marcus thuram,64.3,napoli,casa,
amar fatah,64.0,cagliari,trasf.,
gianluca scamacca,64.0,roma,trasf.,
patrick cutrone,63.9,parma,trasf.,
angeyoan bonny,63.9,napoli,casa,
gennaro borrelli,63.8,lecce,casa,
armand lauriente,63.7,bologna,trasf.,
moise kean,63.6,torino,casa,
giovanni simeone,63.1,fiorentina,trasf.,
konan ndri,63.1,cagliari,trasf.,
santiago castro,62.8,atalanta,casa,
kieron bowie,62.2,bologna,trasf.,
roberto piccoli,62.2,sassuolo,casa,
idrissa gueye,62.1,lazio,casa,
giacomo raspadori,61.6,roma,trasf.,
noa lang,61.6,inter,trasf.,
nikola krstovic,61.5,roma,trasf.,
daniel maldini,61.5,lecce,casa,
lorenzo colombo,61.5,como,casa,
milutin osmajic,61.4,como,casa,
sandro kulenovic,61.4,fiorentina,trasf.,
vitinha,61.4,como,casa,
simone lontani,61.4,monza,casa,
benjamin dominguez,61.3,bologna,trasf.,
lautaro martinez,60.8,napoli,casa,
charles de ketelaere,59.9,roma,trasf.,
nikola stulic,59.8,cagliari,trasf.,
jeremie boga,59.7,milan,casa,
kenan yildiz,59.6,milan,casa,
artem dovbyk,59.0,sassuolo,casa,
ze pedro,58.4,lecce,casa,
willem geubbels,58.1,cagliari,trasf.,
mateo pellegrino,56.1,torino,casa,
vakoun bayo,53.4,lazio,casa,
