Giocatore,Index,Avversario,Campo,Top
Donyell Malen,86.9,torino,trasf.,🔥
Marcus Thuram,84.4,udinese,casa,🔥
Paulo Dybala,84.3,torino,trasf.,🔥
Antonio Raimondo,83.4,genoa,trasf.,🔥
Tasos Douvikas,81.8,parma,casa,🔥
Giorgi Kvernadze,80.0,genoa,trasf.,🔥
Armand Lauriente,79.9,juventus,casa,🔥
Simone Lontani,78.5,como,trasf.,🔥
Rasmus Højlund,78.2,bologna,casa,🔥
Lautaro Martínez,78.0,udinese,casa,🔥
Giacomo Raspadori,77.1,cagliari,casa,
Domenico Berardi,76.5,juventus,casa,
Gianluca Scamacca,75.9,cagliari,casa,
Keinan Davis,75.6,inter,trasf.,
Matìas Soulè Malvano,72.9,torino,trasf.,
Che Adams,72.4,roma,casa,
Mateo Pellegrino,72.2,como,trasf.,
Daniel Maldini,71.5,atalanta,trasf.,
Ange-Yoan Bonny,70.9,udinese,casa,
Assane Diao,70.5,parma,casa,
Lorenzo Colombo,70.4,frosinone,casa,
Kieron Bowie,69.8,juventus,casa,
Gonçalo Ramos,69.7,lazio,trasf.,
Nikola Krstovic,69.0,cagliari,casa,
Roberto Piccoli,68.8,venezia,trasf.,
Kenan Yildiz,68.2,sassuolo,trasf.,
Milutin Osmajic,67.3,frosinone,casa,
Dany Mota,67.1,lecce,trasf.,
Nikola Stulic,66.9,monza,casa,
Jesús Rodriguez,66.5,parma,casa,
Santiago Castro,65.5,napoli,trasf.,
Artem Dovbyk,65.1,torino,trasf.,
Idrissa Gueye,65.0,inter,trasf.,
Alieu Njie,65.0,roma,casa,
Giovanni Simeone,64.8,roma,casa,
Tijjani Noslin,64.5,milan,casa,
Charles De Ketelaere,64.5,cagliari,casa,
Gennaro Borrelli,64.3,atalanta,trasf.,
Konan N’Dri,63.6,monza,casa,
Francesco Pio Esposito,63.5,udinese,casa,
Jeremie Boga,63.3,sassuolo,trasf.,
Lorenzo Lucca,62.3,bologna,casa,
Farès Ghedjemis,62.1,genoa,trasf.,
Noa Lang,61.4,bologna,casa,
Vitinha,61.4,frosinone,casa,
Patrick Cutrone,61.4,como,trasf.,
Moise Kean,61.3,venezia,trasf.,
Andrea Pinamonti,60.7,juventus,casa,
Pontus Almqvist,59.9,como,trasf.,
Nicolò Cambiaghi,59.5,napoli,trasf.,
Nick Woltemade,59.4,sassuolo,trasf.,
Sandro Kulenovic,59.2,roma,casa,
Benjamín Domínguez,59.1,napoli,trasf.,
Vakoun Bayo,58.8,inter,trasf.,
Willem Geubbels,58.7,monza,casa,
Zakaria Aboukhlal,58.6,roma,casa,
Matija Frigan,58.5,como,trasf.,
Sulemana,58.4,juventus,casa,
Amar Ahmed Fatah,58.1,monza,casa,
Nikola Moro,58.0,napoli,trasf.,
Wilfried Gnonto,57.9,venezia,trasf.,
Zé Pedro,56.5,atalanta,trasf.,
Duván Zapata,56.4,roma,casa,
Jonathan Christian David,56.0,sassuolo,trasf.,
Nicolas Kühn,55.3,parma,casa,
Pedro,55.2,milan,casa,
Lion Lauberbach,55.1,fiorentina,casa,
Thijs Dallinga,54.5,napoli,trasf.,
Lameck Banda,54.2,monza,casa,
Dusan Vlahovic,53.9,sassuolo,trasf.,
Evan Ferguson,53.7,torino,trasf.,
Christian Kouamé,53.6,venezia,trasf.,
Pedro Felipe,53.4,juventus,casa,
Arkadiusz Milik,53.0,sassuolo,trasf.,
Giuseppe Ambrosino,52.9,bologna,casa,
Niclas Füllkrug,52.8,lazio,trasf.,
Álvaro Morata,52.5,parma,casa,
Francesco Camarda,52.5,monza,casa,
Christopher Nkunku,52.4,lazio,trasf.,
Robinio Vaz,52.3,torino,trasf.,
Adrian Benedyczak,52.1,como,trasf.,
Leonardo Pavoletti,51.8,atalanta,trasf.,
Adam Buksa,51.8,inter,trasf.,
Semih Kiliçsoy,51.8,atalanta,trasf.,
Petar Ratkov,51.8,milan,casa,
Ali Dembélé,51.7,roma,casa,
Andrea Belotti,51.5,atalanta,trasf.,
Romelu Lukaku,51.3,bologna,casa,
Luca Moro,51.3,juventus,casa,
Sebastiano Esposito,51.2,atalanta,trasf.,
Yael Trepy,51.0,atalanta,trasf.,
Jeff Ekhator,50.9,frosinone,casa,
Kamaldeen Sulemana,50.9,cagliari,casa,
Caleb Ekuban,50.3,frosinone,casa,
Nicholas Pierini,50.2,juventus,casa,
Manor Solomon,50.0,venezia,trasf.,
Jayden Addai,49.9,parma,casa,
Edin Dzeko,49.8,venezia,trasf.,
Santiago Giménez,49.5,lazio,trasf.,
Iker Bravo,49.4,inter,trasf.,
Loïs Openda,48.6,sassuolo,trasf.,
Rafael Leão,48.0,lazio,trasf.,
