Giocatore,Index,Avversario,Campo,Top
federico dimarco,85.9,cagliari,casa,🔥
leonardo spinazzola,84.6,lazio,casa,🔥
alex valle,84.4,sassuolo,trasf.,🔥
denzel dumfries,84.1,cagliari,casa,🔥
robin gosens,84.0,lecce,trasf.,🔥
alessandro buongiorno,81.0,lazio,casa,🔥
alessandro bastoni,80.9,cagliari,casa,🔥
hassane kamara,80.3,parma,casa,🔥
giorgio scalvini,80.3,roma,trasf.,🔥
mergim vojvoda,80.2,sassuolo,trasf.,🔥
leo ostigard,80.0,pisa,trasf.,
manuel akanji,79.1,cagliari,casa,
davide bartesaghi,78.2,verona,trasf.,
marcoliver kempf,78.0,sassuolo,trasf.,
davide zappacosta,77.7,roma,trasf.,
marcus pedersen,76.0,cremonese,trasf.,
miguel gutierrez,75.9,lazio,casa,
strahinja pavlovic,75.5,verona,trasf.,
martin frese,75.3,milan,casa,
alberto moreno,74.9,sassuolo,trasf.,
jacobo ramon,74.8,sassuolo,trasf.,
zachary athekame,74.5,verona,trasf.,
patric,74.4,napoli,trasf.,
adam obert,74.2,inter,trasf.,
dodo,74.2,lecce,trasf.,
rafael obrador,74.1,cremonese,trasf.,
diego carlos,73.2,sassuolo,trasf.,
oumar solet,72.8,parma,casa,
victor nelsson,72.8,milan,casa,
thomas kristensen,72.5,parma,casa,
aaron martin,72.4,pisa,trasf.,
evan ndicka,72.0,atalanta,casa,
simone canestrelli,71.6,genoa,casa,
emil holm,71.3,bologna,casa,
francesco acerbi,71.3,cagliari,casa,
sebastiano luperto,71.2,torino,casa,
lorenzo bernasconi,71.0,roma,trasf.,
koni de winter,71.0,verona,trasf.,
filippo terracciano,71.0,torino,casa,
johan vasquez,70.8,pisa,trasf.,
mehmet celik,70.6,atalanta,casa,
rafik belghali,70.6,milan,casa,
joao mario,70.5,bologna,casa,
luca marianucci,70.1,cremonese,trasf.,
devyne rensch,69.6,atalanta,casa,
juan jesus,68.9,lazio,casa,
antonino gallo,68.3,fiorentina,casa,
carlos augusto,68.1,cagliari,casa,
marco palestra,67.9,inter,trasf.,
ignace van der brempt,67.9,sassuolo,trasf.,
yerry mina,67.6,inter,trasf.,
sam beukema,67.5,lazio,casa,
pietro comuzzo,67.5,lecce,trasf.,
matteo darmian,67.4,cagliari,casa,
federico baschirotto,67.3,torino,casa,
lloyd kelly,67.0,bologna,casa,
