round,date,time,home,away,match_id
4,2026-09-11,18:45:00,Venezia,Fiorentina,5749679
4,2026-09-12,13:00:00,Genoa,Frosinone,5749672
4,2026-09-12,16:00:00,Lazio,Milan,5749674
4,2026-09-12,18:45:00,Atalanta,Cagliari,5749670
4,2026-09-13,13:00:00,Lecce,Monza,5749675
4,2026-09-13,16:00:00,Napoli,Bologna,5749676
4,2026-09-13,18:45:00,Sassuolo,Juventus,5749677
4,2026-09-14,16:30:00,Como,Parma,5749671
4,2026-09-14,16:30:00,Torino,Roma,5749678
4,2026-09-14,18:45:00,Inter,Udinese,5749673
