Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,season,diff_XG_GOL,diff_xGA_GOLAG,XGA_90min,XG_90min
Napoli,38,24,10,4,59,27,82,57.05,53.24,31.55,28.37,24.87,11.76,14.04,264,167,70.98,2024,-1.95,4.55,0.83,1.5013157894736842
Inter,38,24,9,5,79,35,81,76.74,69.89,42.43,39.24,30.65,10.59,19.95,354,165,75.42,2024,-2.26,7.43,1.12,2.019473684210526
Atalanta,38,22,8,8,78,37,74,79.87,74.54,42.32,40.8,33.74,11.28,14.44,314,152,75.23,2024,1.87,5.32,1.11,2.101842105263158
Juventus,38,18,16,4,58,35,70,58.12,53.55,35.36,31.55,22.0,9.71,15.58,241,159,69.51,2024,0.12,0.36,0.93,1.5294736842105263
Roma,38,20,9,9,56,35,69,62.07,55.98,48.06,45.02,10.96,12.14,14.38,274,183,61.75,2024,6.07,13.06,1.26,1.6334210526315789
Fiorentina,38,19,8,11,60,41,65,54.11,48.02,46.76,44.48,3.54,13.28,10.7,190,200,55.61,2024,-5.89,5.76,1.23,1.4239473684210526
Lazio,38,18,11,9,61,49,65,65.32,59.9,43.49,40.44,19.46,11.41,13.08,224,167,66.78,2024,4.32,-5.51,1.14,1.7189473684210526
AC Milan,38,18,9,11,61,43,63,69.51,63.42,47.27,45.75,17.67,12.27,13.63,289,202,68.4,2024,8.51,4.27,1.24,1.8292105263157896
Bologna,38,16,14,8,57,47,62,57.18,51.77,41.38,39.09,12.67,7.54,11.87,184,152,61.82,2024,0.18,-5.62,1.09,1.5047368421052632
Como,38,13,10,15,49,52,49,49.76,48.23,50.11,44.78,3.45,10.41,10.77,240,172,51.39,2024,0.76,-1.89,1.32,1.3094736842105263
Torino,38,10,14,14,39,45,44,37.29,34.25,56.8,51.38,-17.13,13.2,12.79,169,218,39.0,2024,-1.71,11.8,1.49,0.9813157894736841
Udinese,38,12,8,18,41,56,44,44.51,41.33,58.93,52.84,-11.51,11.89,11.29,166,202,42.93,2024,3.51,2.93,1.55,1.171315789473684
Genoa,38,10,13,15,37,49,43,40.02,38.35,53.43,47.34,-8.99,10.99,10.54,129,257,43.46,2024,3.02,4.43,1.41,1.0531578947368423
Verona,38,10,7,21,34,66,37,37.32,35.8,60.54,57.49,-21.69,13.68,9.37,142,252,36.63,2024,3.32,-5.46,1.59,0.9821052631578947
Parma Calcio 1913,38,7,15,16,44,58,36,47.95,42.62,66.01,62.2,-19.58,16.32,11.32,176,241,42.92,2024,3.95,8.01,1.74,1.2618421052631579
Cagliari,38,9,9,20,40,56,36,48.73,46.45,62.61,58.04,-11.59,14.4,10.81,160,235,43.05,2024,8.73,6.61,1.65,1.2823684210526316
Lecce,38,8,10,20,27,58,34,36.99,33.94,64.64,57.02,-23.08,12.21,9.46,139,251,34.88,2024,9.99,6.64,1.7,0.973421052631579
Empoli,38,6,13,19,33,59,31,38.32,36.04,52.79,50.42,-14.38,11.64,8.28,141,219,41.67,2024,5.32,-6.21,1.39,1.0084210526315789
Venezia,38,5,14,19,32,56,29,41.63,37.82,64.92,56.54,-18.72,11.87,7.89,189,256,38.11,2024,9.63,8.92,1.71,1.0955263157894737
Monza,38,3,9,26,28,69,18,32.12,29.84,65.23,62.18,-32.34,13.35,10.29,121,256,30.81,2024,4.12,-3.77,1.72,0.8452631578947368
Inter,36,27,4,5,85,31,85,83.02,78.45,33.34,30.29,48.16,9.57,16.6,421,123,79.07,2025,-1.98,2.34,0.93,2.306111111111111
Napoli,36,21,7,8,54,36,70,54.78,50.98,40.39,32.65,18.33,11.69,16.33,249,143,59.23,2025,0.78,4.39,1.12,1.5216666666666667
Juventus,36,19,11,6,59,30,68,69.66,65.72,34.66,32.37,33.35,10.69,15.94,362,166,70.68,2025,10.66,4.66,0.96,1.9349999999999998
Roma,36,21,4,11,55,31,67,57.76,53.19,41.22,40.46,12.73,8.62,12.97,299,164,61.96,2025,2.76,10.22,1.14,1.6044444444444443
AC Milan,36,19,10,7,50,32,67,61.5,55.41,41.01,34.92,20.48,14.55,14.95,279,191,62.75,2025,11.5,9.01,1.14,1.7083333333333333
Como,36,18,11,7,60,28,65,62.56,57.23,38.08,34.27,22.95,7.79,14.79,226,145,63.45,2025,2.56,10.08,1.06,1.7377777777777779
Atalanta,36,15,13,8,50,34,58,66.19,63.9,49.49,46.32,17.58,10.84,13.62,342,229,61.34,2025,16.19,15.49,1.37,1.838611111111111
Bologna,36,15,7,14,45,43,52,47.38,42.05,48.85,45.8,-3.75,9.64,12.06,193,167,49.14,2025,2.38,5.85,1.36,1.3161111111111112
Lazio,36,13,12,11,39,37,51,44.39,40.46,46.51,42.71,-2.25,16.58,13.0,165,204,46.14,2025,5.39,9.51,1.29,1.2330555555555556
Udinese,36,14,8,14,45,46,50,46.5,42.69,54.79,49.46,-6.77,11.34,8.99,190,197,45.24,2025,1.5,8.79,1.52,1.2916666666666667
Sassuolo,36,14,7,15,44,46,49,43.91,40.54,58.26,53.69,-13.16,15.48,10.4,195,266,42.97,2025,-0.09,12.26,1.62,1.2197222222222222
Torino,36,12,8,16,41,59,44,49.27,43.82,56.07,53.02,-9.2,13.09,11.28,160,250,46.04,2025,8.27,-2.93,1.56,1.3686111111111112
Parma Calcio 1913,36,10,12,14,27,45,42,34.16,32.63,58.02,53.45,-20.81,13.54,9.56,134,291,35.78,2025,7.16,13.02,1.61,0.9488888888888888
Genoa,36,10,11,15,40,48,41,45.68,38.83,51.94,47.37,-8.54,10.1,9.59,138,227,44.48,2025,5.68,3.94,1.44,1.268888888888889
Fiorentina,36,8,14,14,38,49,38,50.51,45.94,53.92,49.35,-3.4,12.34,11.13,183,210,46.93,2025,12.51,4.92,1.5,1.4030555555555555
Cagliari,36,9,10,17,36,51,37,38.53,37.01,57.27,55.74,-18.73,14.66,9.96,128,219,37.92,2025,2.53,6.27,1.59,1.0702777777777779
Lecce,36,8,8,20,24,48,32,33.72,32.2,60.97,56.4,-24.2,11.6,7.46,123,257,33.21,2025,9.72,12.97,1.69,0.9366666666666666
Cremonese,36,7,10,19,30,53,31,35.84,33.56,63.55,59.6,-26.05,13.23,10.96,107,255,34.36,2025,5.84,10.55,1.77,0.9955555555555556
Verona,36,3,11,22,24,58,20,35.88,33.6,49.18,45.81,-12.21,11.88,9.68,146,213,40.64,2025,11.88,-8.82,1.37,0.9966666666666667
Pisa,36,2,12,22,25,66,18,40.27,34.94,64.02,59.45,-24.51,13.25,9.04,159,282,36.91,2025,15.27,-1.98,1.78,1.1186111111111112
