player,match_id,sum_xG,goals,npgoals_perMatch,shots_perMatch,npxG_perMatch,xGChain_perMatch,xGBuildUp_perMatch,key_passes_perMatch,season,date,minutes_played,league,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,opponent_team_strength,shots_per90,xG_per90,goals_per90,is_goals,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form,xg_per_shot,goals_per_shot,shot_quality_raw,shot_quality_roll,shot_quality_shrunk,shot_quality_index,xG_last5,shots_last5,goals_last5,goals_last5_sum,xG_cummean,minutes_played_last5,sum_xG_ewm_7,shots_perMatch_ewm_7,minutes_played_ewm_7,goals_ewm_7,finishing_form_ewm_7,npgoals_perMatch_ewm_7,xGChain_perMatch_ewm_7,team_xG_90min,opponent_xGA_90min
abdousalam konate,31562,0.0114925447851419,0.0,0,1,0.0114925447851419,0.0241969749331474,0.0241969749331474,0,2026,2026-08-22,87,Serie A,2,93.0,0,0.0114925447851419,0,0.0,1.0,0,M S,Parma Calcio 1913,0,0.0114925447851419,0.0241969749331474,0.0241969749331474,Cagliari,weak,0.97,0.01,0.0,0,0.0,0.1581052346055152,0.0,0.02655877262781417,0.4518024202560746,0.011492533292608608,0.0,-0.011492533292608608,-0.011492533292608608,-0.008666477109727204,0.4491471561587528,,,,,,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.75
abdousalam konate,31574,0.0,0.0,0,0,0.0,0.0,0.0,0,2026,2026-08-29,6,Serie A,2,93.0,0,0.0114925447851419,0,0.0,1.0,0,M S,Parma Calcio 1913,0,0.0114925447851419,0.0241969749331474,0.0241969749331474,Juventus,top,0.97,0.01,0.0,0,0.0,0.1581052346055152,1.0,0.02700365975470957,0.33273731600625817,0.0,0.0,0.0,0.0,-0.007878615554297457,0.4577312794175049,0.0114925447851419,1.0,0.0,0.0,0.0114925447851419,59.4,0.0114925447851419,1.0,87.0,0.0,0.4518024202560746,0.0,0.0241969749331474,0.85,0.42
adam bakoune,31560,0.0,0.0,0,0,0.0,0.0691863894462585,0.0691863894462585,0,2026,2026-08-22,71,Serie A,4,151.0,0,0.0480223894119262,0,0.0264405254274606,1.0,1,D S,Monza,0,0.0480223894119262,0.1610147729516029,0.1129923835396766,Inter,top,0.6,0.03,0.0,0,0.0,0.1581052346055152,1.0,0.02700365975470957,0.33273731600625817,0.0,0.0,0.0,0.0,-0.008666477109727204,0.4491471561587528,,,,,,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.49
adam bakoune,31585,0.0,0.0,0,0,0.0,0.0,0.0,0,2026,2026-09-06,6,Serie A,4,151.0,0,0.0480223894119262,0,0.0264405254274606,1.0,1,D S,Monza,0,0.0480223894119262,0.1610147729516029,0.1129923835396766,Parma Calcio 1913,weak,0.6,0.03,0.0,0,0.0,0.1581052346055152,0.0,0.02655877262781417,0.32602413870174657,0.0,0.0,0.0,0.0,-0.008666477109727204,0.4491471561587528,0.0,0.0,0.0,0.0,0.0,59.8,0.0,0.0,71.0,0.0,0.33273731600625817,0.0,0.0691863894462585,1.98,1.96
adam bakoune,31595,0.0480223894119262,0.0,0,1,0.0480223894119262,0.0480223894119262,0.0,0,2026,2026-09-13,42,Serie A,4,151.0,0,0.0480223894119262,0,0.0264405254274606,1.0,1,D S,Monza,0,0.0480223894119262,0.1610147729516029,0.1129923835396766,Lecce,weak,0.6,0.03,0.0,0,0.0,0.1581052346055152,0.0,0.02655877262781417,0.5198761135413008,0.04802234138958481,0.0,-0.04802234138958481,-0.04802234138958481,-0.008666477109727204,0.4491471561587528,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,54.75,0.0,0.3310590216801303,0.0,0.05188979208469388,1.98,2.96
adam bakoune,31600,0.0,0.0,0,0,0.0,0.0438059940934181,0.0438059940934181,1,2026,2026-09-18,32,Serie A,4,151.0,0,0.0480223894119262,0,0.0264405254274606,1.0,1,D S,Monza,0,0.0480223894119262,0.1610147729516029,0.1129923835396766,Sassuolo,mid,0.6,0.03,0.0,0,0.0,0.0,1.0,0.0,0.1787173919984674,0.0,0.0,0.0,-0.016007447129861605,-0.009333838020648513,0.44187594425871685,0.016007463137308733,0.3333333333333333,0.0,0.0,0.016007463137308733,57.2,0.01200559735298155,0.25,51.5625,0.0,0.3782632946454229,0.0,0.05092294141650196,1.98,1.65
adam marusic,7504,0.0363500006496906,0.0,0,1,0.0363500006496906,0.0972084999084472,0.0,2,2017,2017-08-20,22,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,SPAL 2013,weak,1.39,0.12,0.11,0,0.0,0.1581052346055152,1.0,0.02700365975470957,0.508325617037581,0.036349964299726305,0.0,-0.036349964299726305,-0.036349964299726305,-0.008666477109727204,0.4491471561587528,,,,,,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.58
adam marusic,7516,0.0,0.0,0,0,0.0,0.0,0.0,0,2017,2017-08-27,8,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Chievo,weak,1.39,0.12,0.11,0,0.0,0.1581052346055152,1.0,0.02700365975470957,0.33273731600625817,0.0,0.0,0.0,0.0,-0.007878615554297457,0.4577312794175049,0.0363500006496906,1.0,0.0,0.0,0.0363500006496906,66.6,0.0363500006496906,1.0,22.0,0.0,0.508325617037581,0.0,0.0972084999084472,1.75,1.45
adam marusic,7532,0.0,0.0,0,0,0.0,0.3659929931163788,0.0,1,2017,2017-09-17,22,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Genoa,weak,1.39,0.12,0.11,0,0.0,0.1581052346055152,1.0,0.02700365975470957,0.33273731600625817,0.0,0.0,0.0,0.0,-0.007878615554297457,0.4577312794175049,0.0181750003248453,0.5,0.0,0.0,0.0181750003248453,30.6,0.02726250048726795,0.75,18.5,0.0,0.46442854177975024,0.0,0.0729063749313354,1.75,1.13
adam marusic,7546,0.0192779004573822,0.0,0,1,0.0192779004573822,0.0280395001173019,0.0,1,2017,2017-09-20,66,Serie A,32,2534.0,3,3.434332263655961,5,3.1956538688391447,39.0,36,D S,Lazio,3,3.434332263655961,12.8241282440722,7.420293778181076,Napoli,top,1.39,0.12,0.11,0,0.0,0.0,1.0,0.0,0.3238289855997956,0.019277881179501022,0.0,-0.019277881179501022,-0.012116654766575434,-0.008980129623986133,0.44572976407474946,0.0121166668832302,0.3333333333333333,0.0,0.0,0.0121166668832302,58.0,0.020446875365450964,0.5625,19.375,0.0,0.4315057353363772,0.0,0.14617802947759623,1.75,0.66
