id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
1513,Mauro Icardi,36,2897,22,20.040542796254158,6,4.607649822719395,121,34,4,0,F S,Inter,18,16.23405071347952,23.242992505431175,4.910615417174995,2014
1955,Luca Toni,38,3228,22,21.204779289662838,2,2.914252175949514,125,27,3,0,F S,Verona,18,16.636978156864643,18.81055624037981,3.106043342500925,2014
3848,Carlos Tévez,32,2594,20,13.372143227607012,7,5.016579000279307,114,61,6,0,F M S,Juventus,18,10.327029217034578,20.00764187425375,8.907538089901209,2014
1293,Gonzalo Higuaín,37,2786,18,21.097405649721622,7,4.082174202427268,113,49,5,0,F S,Napoli,15,15.768323302268982,22.71159227192402,4.917352854274213,2014
2014,Jérémy Menez,33,2713,16,10.936866567470133,4,4.379691304638982,78,46,3,1,F M S,AC Milan,8,4.846598451025784,13.755920260213315,6.88968809787184,2014
1383,Manolo Gabbiadini,33,1837,15,6.8005421962589025,3,4.417000730521977,87,32,5,0,F M S,"Napoli,Sampdoria",15,6.8005421962589025,10.32979589048773,3.1925900196656585,2014
1612,Domenico Berardi,32,2700,15,12.3686048919335,10,5.605741148814559,95,48,13,1,F,Sassuolo,9,7.039556062780321,14.382551290094852,5.761788988485932,2014
1888,Antonio Di Natale,33,2388,14,7.981885898858309,7,5.763603864237666,76,58,4,0,F S,Udinese,13,7.220591861754656,10.204473227262497,0.9013023171573877,2014
1185,Iago Falque,32,2369,13,9.25128051918,3,4.478685561567545,62,48,6,0,F M S,Genoa,11,7.728682520799339,15.056411395780742,5.329732967540622,2014
1230,Fabio Quagliarella,34,2810,13,12.637390909716487,4,5.061527641490102,124,37,3,0,F M S,Torino,10,10.35349884442985,14.621725354343653,1.977236513979733,2014
1294,Paulo Dybala,34,2972,13,16.08828773908317,10,5.279360801912844,117,58,3,0,F,Palermo,10,13.804468719288707,21.396773502230644,7.618318185210228,2014
1878,Miroslav Klose,34,1828,13,11.33358334377408,6,4.19574118591845,38,22,5,0,F S,Lazio,13,11.33358334377408,16.79562074318528,3.6978938542306423,2014
1382,José Callejón,38,2974,11,10.127574145793915,3,6.018204759806395,84,58,1,0,M S,Napoli,11,10.127574145793915,23.40730392932892,10.030321275815368,2014
1642,Simone Zaza,31,2597,11,10.174191014841199,2,1.856889957562089,77,14,11,0,F S,Sassuolo,10,8.651592062786222,11.206031959503889,1.6126217059791088,2014
1147,Cyril Théréau,37,2476,10,6.998361434787512,0,1.658774091862142,50,24,3,0,F M S,Udinese,10,6.998361434787512,11.675085235387087,4.88595524802804,2014
1207,Marco Parolo,34,3009,10,5.637844417244196,2,1.7709353845566511,65,30,9,1,M,Lazio,10,5.637844417244196,12.886942479759455,7.551660786382854,2014
1208,Felipe Anderson,32,2095,10,6.354086707346141,7,8.058049659244716,65,35,5,0,F M S,Lazio,10,6.354086707346141,20.190941440872848,8.095050036907196,2014
1315,Massimo Maccarone,34,2507,10,8.975993259809911,7,7.552497444674373,87,50,4,0,F S,Empoli,9,8.21469424571842,14.702127551659942,3.1062757279723883,2014
1517,Antonio Candreva,34,2656,10,10.514121558517218,9,8.076550832018256,117,58,6,0,F M S,Lazio,8,8.230271022766829,18.707102028653026,7.2503051571547985,2014
1836,Franco Vázquez,37,3231,10,9.11793259344995,10,9.239039355888963,99,68,7,0,F M,Palermo,9,7.5953348856419325,24.59312302991748,13.665070115588605,2014
716,Alberto Paloschi,37,2642,9,9.923600787296891,3,2.1521521750837564,79,26,2,0,F S,Chievo,9,9.1623027715832,9.964204790070653,1.4591962033882737,2014
1101,Luca Rigoni,31,2704,9,5.997138403356075,1,1.8997532706707716,30,23,11,0,M,Palermo,9,5.997138403356075,10.24775566905737,4.148250003345311,2014
1188,Maxi López,31,1573,9,9.392869564704597,2,1.8227794505655766,52,20,3,0,F S,"Chievo,Torino",9,9.392869564704597,10.834514673799276,1.9675158020108938,2014
1468,Gregoire Defrel,34,2708,9,4.011270671151578,5,3.6241967417299747,56,41,7,0,D F M S,Cesena,9,4.011270671151578,9.588392364792526,2.8573166746646166,2014
1494,Mauricio Pinilla,26,1648,9,8.122712756507099,2,1.7165912864729762,65,13,8,1,F S,"Atalanta,Genoa",8,6.600109840743244,7.15805022418499,1.951383002102375,2014
1514,Éder,30,2373,9,7.370074087753892,4,4.413827503100038,83,34,5,0,F M S,Sampdoria,8,6.608775058761239,10.31398493796587,2.996403867378831,2014
1879,Stefano Mauri,29,1898,9,7.055959656834602,2,1.9690096266567707,43,23,5,0,F M S,Lazio,9,7.055959656834602,11.463562012650073,4.800601105205715,2014
1187,Adem Ljajic,32,2024,8,6.610192026942968,2,3.239166802726686,50,44,2,0,F M S,Roma,7,5.087599065154791,10.488565158098936,4.28185220900923,2014
1213,Filip Djordjevic,24,1485,8,5.864983664825559,2,1.5614877892658114,34,16,2,0,F S,Lazio,8,5.864983664825559,7.369787648320198,0.4915444767102599,2014
1255,Francesco Totti,27,1765,8,6.941791886463761,6,3.9552309177815914,52,47,5,0,F S,Roma,4,3.896595863625407,9.901218935847282,5.06736655626446,2014
1426,Josip Ilicic,25,1528,8,4.87260228022933,3,4.165326259098947,72,44,6,0,F M S,Fiorentina,7,4.111299272626638,8.425396792590618,3.952689064666629,2014
1518,Rodrigo Palacio,35,2645,8,11.220726815983653,5,5.549901963211596,58,62,3,0,F M S,Inter,8,10.459428815171123,17.956290071830153,6.527193196117878,2014
1580,Mattia Destro,31,1663,8,8.238389149308205,0,0.32275799382478,41,7,5,0,F S,"AC Milan,Roma",8,8.238389149308205,9.835570883005857,2.7634821459650993,2014
1611,Franco Brienza,30,2513,8,6.419285425916314,4,5.0287671545520425,53,52,2,0,F M S,Cesena,5,4.135392377153039,10.53807738237083,4.629649639129639,2014
1740,Paul Pogba,26,2110,8,4.4959582556039095,3,3.842504220083356,56,37,4,0,M S,Juventus,8,4.4959582556039095,13.784526530653238,7.027707213535905,2014
1804,Álvaro Morata,29,1309,8,5.009028779342771,5,1.811707716435194,51,19,6,1,F S,Juventus,8,5.009028779342771,8.70246903039515,2.454907864332199,2014
1984,Germán Denis,32,2325,8,8.56756885163486,0,1.8327219001948833,54,37,4,0,F S,Atalanta,5,5.522376848384738,8.19935711286962,1.9152586227282882,2014
222,Arturo Vidal,28,2094,7,6.332520196214318,4,3.8445535972714424,53,37,7,0,M S,Juventus,5,4.048618191853166,12.663051422685385,7.8545381017029285,2014
1104,Leonardo Pavoletti,19,633,7,5.5976190734654665,3,0.5380691979080439,26,9,4,0,F S,"Genoa,Sassuolo",7,5.5976190734654665,5.821293259039521,1.1754423007369041,2014
1121,Giacomo Bonaventura,34,2664,7,5.904546446166933,4,4.090719171799719,61,44,3,1,F M S,"AC Milan,Atalanta",7,5.904546446166933,11.338077242486179,2.8566307183355093,2014
1313,Riccardo Saponara,18,1329,7,5.48122130241245,3,2.481465794146061,52,23,2,1,M,"AC Milan,Empoli",6,4.719923331402242,9.235042745247483,3.5929705444723368,2014
1347,Sergio Pellissier,27,1110,7,4.924368932843208,1,1.308314137160778,29,13,0,0,F S,Chievo,6,4.163069903850555,5.108892326243222,0.44832779094576836,2014
1381,Marek Hamsik,35,2319,7,7.8297347240149975,10,8.202063843607903,82,69,1,0,M S,Napoli,7,7.8297347240149975,23.073135271668434,9.98936927691102,2014
1406,Marco Sau,28,1812,7,4.055318271741271,5,3.267392188310623,37,33,3,0,F M S,Cagliari,7,4.055318271741271,9.078778609633446,2.413597023114562,2014
1418,Gonzalo Rodríguez,30,2685,7,5.2285911701619625,0,0.6455856151878834,20,5,9,1,D,Fiorentina,6,2.944692101329565,7.647630291990936,7.009214247576892,2014
1434,Khouma Babacar,20,1151,7,6.16301965713501,2,1.9176650485023856,40,11,2,0,F S,Fiorentina,7,5.4017206728458405,7.652665577828884,0.9927626065909863,2014
1472,Alessandro Matri,21,1359,7,6.604936428368092,5,4.031935773789883,36,26,2,0,F S,"Genoa,Juventus",7,5.8436374142766,8.717934560030699,1.695213507860899,2014
1728,Fernando Llorente,31,1969,7,7.351268015801907,1,1.1787968082353473,49,23,0,0,F S,Juventus,7,7.351268015801907,11.054901625961065,5.162522615864873,2014
1800,Kamil Glik,32,2794,7,3.033988580107689,0,0.2245237659662962,18,5,7,1,D S,Torino,7,3.033988580107689,5.990689135156572,5.962523168884218,2014
1124,Keisuke Honda,29,2175,6,4.681835252791643,4,3.0067800860852003,43,32,3,0,F M S,AC Milan,6,4.681835252791643,9.858671939000487,4.404649114236236,2014
1148,Duván Zapata,21,607,6,2.9253213312476873,1,0.5083681959658861,29,7,2,0,F S,Napoli,6,2.9253213312476873,3.445470718666911,0.31051590479910374,2014
1186,Andrea Belotti,38,1318,6,7.977405413985252,1,3.2978075072169304,44,21,3,0,F S,Palermo,5,6.45480801910162,9.537263128906488,1.8273725407198071,2014
1250,Mohamed Salah,16,909,6,3.8148649409413338,3,1.9356195852160454,29,30,0,0,F M S,Fiorentina,6,3.8148649409413338,7.40461228787899,2.6280220448970795,2014
1384,Dries Mertens,31,1688,6,5.402928996831179,7,5.846262691542506,60,56,4,1,M S,Napoli,5,4.641629694029689,13.967056520283222,7.341346728615463,2014
1605,Diego Farias,29,1778,6,8.734516946598887,3,2.008143180049956,57,30,7,0,F S,Cagliari,6,8.734516946598887,11.178607637062669,3.9942268757149577,2014
1641,Andrea Bertolacci,34,2679,6,5.237551218830049,8,3.681856954470277,62,46,10,0,M S,Genoa,6,5.237551218830049,15.186044972389936,10.73116638045758,2014
1851,Juanito Gómez,26,1793,6,3.884834822267294,3,2.6546929851174355,41,22,7,0,F M S,Verona,6,3.884834822267294,8.933722039684653,4.162611920386553,2014
1949,Fredy Guarín,28,2213,6,3.2519387332722545,6,4.755228541791439,79,45,5,0,M S,Inter,6,3.2519387332722545,10.337828166782856,5.4580417880788445,2014
411,Albin Ekdal,33,2702,5,3.6291957069188356,1,2.5691276164725423,41,31,7,0,F M S,Cagliari,5,3.6291957069188356,11.061061183921993,6.933290231972933,2014
1126,M&#039;Baye Niang,19,1065,5,4.128023408353329,2,2.764614200219512,39,14,3,0,F M S,"AC Milan,Genoa",5,4.128023408353329,7.985737314447761,1.969543805345893,2014
1251,Radja Nainggolan,35,2777,5,2.909551932476461,2,2.927887358702719,81,36,10,0,M S,Roma,5,2.909551932476461,17.975773500278592,13.438067769631743,2014
1254,Alessandro Florenzi,35,2288,5,5.233358376659453,4,6.243405626155436,54,38,9,0,D F M S,Roma,4,4.472059392370284,13.89915750361979,5.844774730503559,2014
1290,Miralem Pjanic,34,2533,5,4.483261242508888,10,3.8772129844874144,44,69,9,0,M S,Roma,5,4.483261242508888,16.91129788197577,12.606495702639222,2014
1291,Hernanes,26,1624,5,3.8653637170791626,4,4.253651468083262,65,50,6,0,M S,Inter,5,3.8653637170791626,11.107771176844835,5.70561608672142,2014
1318,Manuel Pucciarelli,34,2275,5,8.530198397114873,2,2.220868341624737,50,29,2,0,F S,Empoli,5,8.530198397114873,11.188456357456744,2.524868951179087,2014
1394,Lorenzo Tonelli,28,2296,5,2.546981494873762,0,0.11896010115742683,14,2,4,2,D S,Empoli,5,2.546981494873762,5.629274012520909,5.6131970304995775,2014
1592,João Pedro,29,1502,5,4.360117948614061,2,1.8218049993738532,40,20,5,0,F M S,Cagliari,5,3.5988239413127303,4.239428447559476,1.5758214201778173,2014
1812,Alejandro Rodriguez,25,801,5,5.126615408807993,0,0.49837639555335045,27,5,3,0,F S,Cesena,4,4.365316424518824,5.382503416389227,1.2836434040218592,2014
1826,Nicola Sansone,35,2528,5,3.6330376248806715,4,4.2906233090907335,46,44,3,1,D F S,Sassuolo,5,3.6330376248806715,9.38899295963347,3.60027046687901,2014
1939,Antonio Cassano,19,1637,5,2.7963769137859344,2,2.9125957246869802,23,39,1,0,F S,Parma,4,2.035077929496765,7.724015163257718,4.029964970424771,2014
2029,Maximiliano Moralez,30,2255,5,5.082915425300598,4,5.162678683176637,53,59,3,0,F M S,Atalanta,5,5.082915425300598,10.940617080777884,2.3700291737914085,2014
2254,Mateo Kovacic,35,2462,5,3.3099303506314754,3,4.301944169215858,41,62,3,1,F M S,Inter,5,3.3099303506314754,14.824430655688047,9.52429131232202,2014
2579,Nicolás López,24,971,5,2.63314104732126,2,3.267446516081691,34,17,3,0,F M S,Verona,5,2.63314104732126,6.424638508819044,1.6316440179944038,2014
4005,Pablo Daniel Osvaldo,12,573,5,3.1147398501634598,2,0.8521084319800138,20,10,1,0,F S,Inter,5,3.1147398501634598,3.4074977710843086,0.43942659720778465,2014
1089,Juan Cuadrado,17,1455,4,6.048461738973856,4,2.1888802787289023,53,36,5,0,D F M,Fiorentina,4,6.048461738973856,10.780365705490112,4.311772972345352,2014
1193,Lorenzo De Silvestri,33,2937,4,2.338578501716256,3,1.689562702551484,16,19,8,0,D,Sampdoria,4,2.338578501716256,8.227752117440104,7.310719886794686,2014
1229,Luis Muriel,27,1378,4,4.464192410930991,5,4.090577879920602,49,35,3,0,F M S,"Sampdoria,Udinese",4,4.464192410930991,10.591040350496769,3.8675998570397496,2014
1319,Levan Mchedlidze,25,737,4,3.5449015256017447,0,0.9282646449282765,28,12,3,0,F S,Empoli,4,3.5449015256017447,5.19771570712328,1.6942173950374126,2014
1337,Riccardo Meggiorini,30,1902,4,4.161398404277861,4,2.1650291550904512,66,22,8,0,F S,Chievo,4,4.161398404277861,7.528512641787529,1.844233114272356,2014
1361,Raffaele Palladino,22,1461,4,3.943671979010105,1,0.8003137763589621,28,12,1,0,F S,Parma,4,3.943671979010105,5.522097542881966,1.8109637890011072,2014
1539,Diego Perotti,27,2312,4,4.791043372824788,5,6.987835299223661,41,54,5,0,F M,Genoa,2,3.2684453446418047,13.531611498445272,8.074306268244982,2014
1552,Alberto Gilardino,14,790,4,3.320848233997822,2,0.5125115923583508,16,11,0,0,F S,Fiorentina,4,3.320848233997822,4.68992462195456,1.7040396854281425,2014
1590,Luca Antonelli,31,2698,4,3.1337791830301285,1,2.3534322809427977,18,26,6,0,D M S,"AC Milan,Genoa",4,3.1337791830301285,5.891201799735427,4.226662015542388,2014
1603,Simone Missiroli,33,2660,4,1.8992838682606816,4,3.0158281102776527,18,38,5,1,M S,Sassuolo,4,1.8992838682606816,8.258434979245067,4.810633776709437,2014
1723,Roberto Pereyra,35,2282,4,3.520745510235429,3,3.6437277672812343,31,43,2,0,D M S,Juventus,4,3.520745510235429,12.15328486636281,6.745550435036421,2014
1763,Stefano Okaka,32,2384,4,8.046724789775908,2,2.6388105861842632,50,28,6,0,F S,Sampdoria,4,8.046724789775908,11.333884761668742,2.9742345474660397,2014
1810,Roberto Soriano,33,2532,4,4.486288320273161,2,3.177461912855506,56,49,11,0,M S,Sampdoria,4,4.486288320273161,10.673487551510334,5.471826482564211,2014
1847,Giampaolo Pazzini,26,786,4,5.832086963579059,0,0.22239600121974945,25,4,2,0,F S,AC Milan,1,3.5481906216591597,4.173717448487878,0.8189510256052017,2014
1933,Danilo Avelar,31,2640,4,4.7304759211838245,3,5.1523613054305315,36,44,10,1,D M S,Cagliari,1,1.6852797865867615,8.948937361128628,5.861737973056734,2014
2340,Duje Cop,16,806,4,5.226106196641922,0,0.9494251161813736,26,12,1,0,F S,Cagliari,4,5.226106196641922,7.180727932602167,1.5223668804392219,2014
3847,Andrea Pirlo,20,1619,4,1.237643899396062,5,5.392398431897163,25,44,0,0,M S,Juventus,4,1.237643899396062,7.740312233567238,6.09190034866333,2014
3887,Mario Gomez,20,1403,4,7.442638073116541,2,1.4119585286825895,40,12,3,0,F S,Fiorentina,4,6.681337986141443,6.963613405823708,0.48096379823982716,2014
542,Pedro Obiang,34,2772,3,3.932111413218081,1,2.6871618079021573,30,30,12,0,M S,Sampdoria,3,3.932111413218081,9.535520805045962,4.873804118484259,2014
1178,Davide Zappacosta,29,2270,3,1.612362197600305,1,1.9366779122501612,25,17,4,0,D M S,Atalanta,3,1.612362197600305,5.560820523649454,2.9115426186472178,2014
1180,Luca Rossettini,32,2837,3,2.939155526459217,3,3.856691539287567,20,11,12,0,D,Cagliari,3,2.939155526459217,6.249139020219445,5.162736969068646,2014
1183,Marco Benassi,25,1360,3,1.9658765904605389,2,1.4900409923866391,32,23,8,0,M S,Torino,3,1.9658765904605389,6.819186108186841,4.331791121512651,2014
1198,Josef Martínez,26,1566,3,5.535407543182373,1,0.7948944959789515,49,18,0,0,F S,Torino,3,5.535407543182373,7.8450218588113785,1.9121166951954365,2014
1205,Senad Lulic,25,1851,3,3.103746447712183,7,3.6641013622283936,25,33,8,0,D F M S,Lazio,3,3.103746447712183,11.459052743390203,5.564491093158722,2014
1228,Bruno Fernandes,31,1605,3,2.634341513738036,2,2.331952504813671,41,22,5,0,M S,Udinese,3,2.634341513738036,5.787391685880721,2.2256615795195103,2014
1252,Stephan El Shaarawy,18,1204,3,1.8678977768868208,3,1.404291127808392,25,15,3,0,F M S,AC Milan,3,1.8678977768868208,4.92837474308908,2.0363430604338646,2014
