Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Romano Floriani,61.7,Lecce,Trasf.,,s.v.
Lorenzo Venturino,61.5,,Trasf.,,5.0
Reda Belahyane,61.5,Sassuolo,Casa,,5.0
Daniel Maldini,61.4,,Trasf.,,9.5
Jacob Ondrejka,61.4,Fiorentina,Trasf.,,6.0
Martin Payero,61.4,Lecce,Trasf.,,6.5
Cher Ndour,61.3,Parma,Casa,,5.0
Al Musrati,61.3,Bologna,Trasf.,,s.v.
Alex Sala,61.0,Cremonese,Casa,,6.0
Lorran,61.0,Juventus,Trasf.,,5.5
Idrissa Toure,61.0,Juventus,Trasf.,,5.0
Oier Zarraga,61.0,Atalanta,Trasf.,,6.0
Gvidas Gineitis,60.7,Napoli,Trasf.,,5.0
Christian Pulisic,60.6,Inter,Casa,,6.0
Petar Sucic,60.6,Milan,Trasf.,,5.5
Christian Ordonez,60.6,Fiorentina,Trasf.,,6.0
Malthe Hojholt,60.6,Juventus,Trasf.,,5.5
Nicolo Barella,60.1,Milan,Trasf.,,5.5
Aster Vranckx,59.9,Lazio,Trasf.,,5.0
Matteo Prati,59.9,,Trasf.,,6.0
Fisayo Delebashiru,59.8,Sassuolo,Casa,,6.0
Jacopo Fazzini,59.8,Parma,Casa,,s.v.
Marco Brescianini,59.6,,Trasf.,,s.v.
Warren Bondo,59.4,Lecce,Trasf.,,5.5
Jack Harrison,59.4,Parma,Casa,,4.5
Patrizio Masini,59.3,Roma,Casa,,7.5
Cheikh Niasse,59.0,Bologna,Trasf.,,6.0
Rolando Mandragora,59.0,Parma,Casa,,4.5
Faustino Anjorin,58.9,Napoli,Trasf.,,6.0
Giovanni Fabbian,58.8,,Trasf.,,5.0
Benjamin Cremaschi,58.2,Fiorentina,Trasf.,,6.0
Olaf Gorter,58.1,Cremonese,Casa,,5.5
Tomas Suslov,57.8,Bologna,Trasf.,,6.0
Youssef Maleh,57.7,,Trasf.,,6.0
Thorir Helgason,57.5,Cremonese,Casa,,5.5
Nicolae Stanciu,57.1,Roma,Casa,,1.5
Simon Sohm,56.9,,Trasf.,,5.5
Neil El Aynaoui,56.7,Genoa,Trasf.,,6.0
Amir Richardson,55.9,Parma,Casa,,5.0
Oumar Ngom,55.9,Cremonese,Casa,,6.5
Adrien Tameze,55.5,Napoli,Trasf.,,5.5
Joseph Liteta,54.6,Como,Casa,,7.0
Maxwel Cornet,51.6,Roma,Casa,,4.0
