Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Hakan Calhanoglu,90.7,Como,Trasf.,🔥,7.0
Nikola Vlasic,89.9,Verona,Casa,🔥,6.0
Lorenzo Pellegrini,87.9,Pisa,Casa,🔥,6.5
Jonathan Rowe,87.7,Lecce,Casa,🔥,6.0
Matteo Politano,86.6,Parma,Trasf.,🔥,5.0
Martin Baturina,85.9,Inter,Casa,🔥,6.0
Francisco Conceicao,85.0,Atalanta,Trasf.,🔥,6.5
Cristian Volpato,83.1,Genoa,Trasf.,🔥,5.5
Lucas Da Cunha,83.1,Inter,Casa,🔥,9.0
Scott Mctominay,81.5,Parma,Trasf.,🔥,9.5
Alisson Santos,81.4,Parma,Trasf.,,6.5
Cesare Casadei,81.3,Verona,Casa,,10.0
Gianluca Gaetano,81.0,Cremonese,Casa,,6.0
Ismael Kone,80.7,Genoa,Trasf.,,9.5
Nicolo Barella,80.6,Como,Trasf.,,8.0
Kristian Thorstvedt,79.7,Genoa,Trasf.,,6.0
Nico Paz,79.1,Inter,Casa,,11.0
Kevin De Bruyne,78.5,Parma,Trasf.,,6.0
Luka Modric,77.7,Udinese,Casa,,5.5
Ederson,77.5,Juventus,Casa,,6.0
Michael Folorunsho,77.5,Cremonese,Casa,,5.5
Gustav Isaksen,77.3,Fiorentina,Trasf.,,5.0
Maximo Perrone,77.2,Inter,Casa,,6.0
Tommaso Baldanzi,76.7,Pisa,Casa,,8.0
Bryan Cristante,75.9,Pisa,Casa,,6.0
Adrien Rabiot,75.6,Udinese,Casa,,4.0
Jari Vandeputte,74.9,Cagliari,Trasf.,,5.0
Piotr Zielinski,74.7,Como,Trasf.,,5.5
Nicolo Zaniolo,74.5,Milan,Trasf.,,8.5
Daniel Maldini,74.3,Fiorentina,Trasf.,,6.0
Zambo Anguissa,73.9,Parma,Trasf.,,5.5
Kephren Thuram,72.7,Atalanta,Trasf.,,5.0
Gvidas Gineitis,72.2,Verona,Casa,,6.0
Maxence Caqueret,72.0,Inter,Casa,,5.5
Arthur Atta,71.8,Milan,Trasf.,,10.5
Stephan El Shaarawy,71.7,Pisa,Casa,,6.5
Santiago Pierotti,71.0,Bologna,Trasf.,,5.5
Federico Bernardeschi,70.4,Lecce,Casa,,7.5
Nicola Zalewski,70.2,Juventus,Casa,,5.5
Alberto Grassi,69.5,Cagliari,Trasf.,,5.5
Jesper Karlstrom,69.2,Milan,Trasf.,,6.5
Remo Freuler,69.1,Lecce,Casa,,10.0
Riccardo Orsolini,68.8,Lecce,Casa,,10.5
Samuele Ricci,68.5,Udinese,Casa,,4.5
Christian Pulisic,68.4,Udinese,Casa,,6.0
Stanislav Lobotka,67.9,Parma,Trasf.,,5.5
Matteo Tramoni,67.7,Roma,Trasf.,,6.0
Emirhan Ilkhan,67.6,Verona,Casa,,6.0
Kenneth Taylor,67.6,Fiorentina,Trasf.,,5.5
Kouadio Kone,66.2,Pisa,Casa,,5.0
Alessandro Deiola,65.5,Cremonese,Casa,,6.5
Omri Gandelman,65.5,Bologna,Trasf.,,5.5
Junior Messias,65.5,Sassuolo,Casa,,7.5
Jakub Piotrowski,65.4,Milan,Trasf.,,6.0
Manuel Locatelli,65.4,Atalanta,Trasf.,,7.0
Ylber Ramadani,65.2,Bologna,Trasf.,,5.0
Niccolo Pisilli,65.1,Pisa,Casa,,6.5
Alessio Zerbin,65.0,Cagliari,Trasf.,,5.5
Youssouf Fofana,64.9,Udinese,Casa,,5.0
Cher Ndour,64.7,Lazio,Casa,,6.5
Luca Lipani,64.7,Genoa,Trasf.,,s.v.
Alexis Saelemaekers,64.4,Udinese,Casa,,4.5
Eljif Elmas,64.3,Parma,Trasf.,,5.0
Jurgen Ekkelenkamp,64.2,Milan,Trasf.,,11.5
Mario Pasalic,64.2,Juventus,Casa,,5.5
Billy Gilmour,64.1,Parma,Trasf.,,5.5
Marten De Roon,64.1,Juventus,Casa,,6.0
Mehdi Leris,64.1,Roma,Trasf.,,5.5
Antoine Bernede,63.8,Torino,Trasf.,,5.5
Sergi Roberto,63.8,Inter,Casa,,6.5
Hans Caviglia,63.7,Napoli,Casa,,6.0
Michel Aebischer,63.7,Roma,Trasf.,,6.0
Ndary Adopo,63.6,Cremonese,Casa,,5.5
Youssef Maleh,63.5,Bologna,Trasf.,,3.0
Luca Mazzitelli,63.4,Cremonese,Casa,,5.5
Marco Brescianini,63.4,Lazio,Casa,,s.v.
Morten Frendrup,63.4,Sassuolo,Casa,,5.5
Mikael Ellertsson,62.8,Sassuolo,Casa,,4.0
Matteo Prati,62.8,Verona,Casa,,5.5
Henrikh Mkhitaryan,62.6,Como,Trasf.,,6.0
Edoardo Iannoni,62.2,Genoa,Trasf.,,s.v.
Nemanja Matic,61.8,Genoa,Trasf.,,6.0
Faustino Anjorin,61.4,Verona,Casa,,6.0
Christian Kabasele,61.4,Milan,Trasf.,,6.5
Mandela Keita,61.3,Napoli,Casa,,5.5
Malthe Hojholt,61.2,Roma,Trasf.,,5.5
