Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Adrien Rabiot,88.8,Napoli,Trasf.,🔥,5.5
Martin Baturina,87.7,Udinese,Trasf.,🔥,6.0
Francisco Conceicao,87.0,Genoa,Casa,🔥,7.5
Maximo Perrone,87.0,Udinese,Trasf.,🔥,5.0
Nico Paz,86.1,Udinese,Trasf.,🔥,5.5
Youssouf Fofana,84.4,Napoli,Trasf.,🔥,5.5
Nikola Vlasic,83.1,Pisa,Trasf.,🔥,6.5
Luka Modric,82.8,Napoli,Trasf.,🔥,6.0
Lucas Da Cunha,82.3,Udinese,Trasf.,🔥,6.0
Cristian Volpato,81.8,Cagliari,Casa,🔥,5.5
Federico Bernardeschi,80.7,Cremonese,Trasf.,,6.0
Manuel Locatelli,79.2,Genoa,Casa,,6.0
Nicolo Fagioli,78.7,Verona,Trasf.,,9.5
Albert Gudmundsson,78.1,Verona,Trasf.,,3.5
Marco Brescianini,77.6,Verona,Trasf.,,s.v.
Alisson Santos,77.1,Milan,Casa,,7.0
Matteo Politano,77.0,Milan,Casa,,9.5
Alexis Saelemaekers,76.1,Napoli,Trasf.,,5.5
Mario Pasalic,76.0,Lecce,Trasf.,,7.5
Matteo Tramoni,75.4,Torino,Casa,,5.0
Kristian Thorstvedt,75.4,Cagliari,Casa,,6.5
Christian Pulisic,75.3,Napoli,Trasf.,,5.5
Piotr Zielinski,75.2,Roma,Casa,,7.5
Jonathan Rowe,74.6,Cremonese,Trasf.,,10.0
Daniel Maldini,74.6,Parma,Casa,,6.0
Jari Vandeputte,74.2,Bologna,Casa,,5.5
Michael Folorunsho,73.9,Sassuolo,Trasf.,,5.5
Scott Mctominay,73.8,Milan,Casa,,6.0
Riccardo Orsolini,73.4,Cremonese,Trasf.,,5.5
Marten De Roon,72.8,Lecce,Trasf.,,6.5
Emirhan Ilkhan,72.5,Pisa,Trasf.,,6.0
Cesare Casadei,72.3,Pisa,Trasf.,,6.5
Weston Mckennie,72.0,Genoa,Casa,,9.5
Ederson,71.8,Lecce,Trasf.,,7.0
Gustav Isaksen,71.8,Parma,Casa,,5.0
Bryan Cristante,71.7,Inter,Trasf.,,5.0
Youssef Maleh,71.3,Atalanta,Casa,,3.0
Nicola Zalewski,71.3,Lecce,Trasf.,,6.0
Santiago Pierotti,71.2,Atalanta,Casa,,5.0
Gianluca Gaetano,70.7,Sassuolo,Trasf.,,6.0
Alessandro Deiola,70.4,Sassuolo,Trasf.,,5.5
Ismael Kone,70.3,Cagliari,Casa,,5.5
Kevin De Bruyne,70.3,Milan,Casa,,6.0
Mehdi Leris,70.2,Torino,Casa,,6.0
Kenneth Taylor,69.7,Parma,Casa,,7.5
Lorenzo Pellegrini,69.4,Inter,Trasf.,,8.5
Maxence Caqueret,69.1,Udinese,Trasf.,,5.5
Samuele Ricci,69.1,Napoli,Trasf.,,6.5
Nicolo Barella,69.0,Roma,Casa,,10.0
Nicolo Zaniolo,68.2,Como,Casa,,6.0
Cher Ndour,67.9,Verona,Trasf.,,5.0
Hakan Calhanoglu,67.6,Roma,Casa,,11.5
Ebenezer Akinsanmiro,67.5,Torino,Casa,,6.0
Fisayo Delebashiru,67.4,Parma,Casa,,5.5
Lazar Samardzic,66.9,Lecce,Trasf.,,s.v.
Junior Messias,66.8,Juventus,Trasf.,,5.5
Billy Gilmour,66.2,Milan,Casa,,5.5
Edon Zhegrova,66.2,Genoa,Casa,,5.0
Christian Kabasele,65.3,Como,Casa,,7.0
Edoardo Iannoni,65.2,Cagliari,Casa,,6.0
Zambo Anguissa,65.2,Milan,Casa,,5.5
Luca Mazzitelli,65.0,Sassuolo,Trasf.,,5.5
Michel Aebischer,65.0,Torino,Casa,,6.0
Morten Frendrup,64.9,Juventus,Trasf.,,5.5
Fabio Miretti,64.4,Genoa,Casa,,s.v.
Niccolo Pisilli,64.4,Inter,Trasf.,,5.0
Tommaso Baldanzi,64.4,Inter,Trasf.,,6.5
Arthur Atta,64.1,Como,Casa,,6.0
Oliver Sorensen,64.1,Lazio,Trasf.,,s.v.
Alessio Zerbin,64.1,Bologna,Casa,,5.0
Mandela Keita,64.0,Lazio,Trasf.,,6.5
Nemanja Matic,63.8,Cagliari,Casa,,6.5
Teun Koopmeiners,63.4,Genoa,Casa,,5.0
Jack Harrison,62.9,Verona,Trasf.,,6.5
Eljif Elmas,62.6,Milan,Casa,,s.v.
Malthe Hojholt,62.5,Torino,Casa,,6.0
Kouadio Kone,62.5,Inter,Trasf.,,5.0
Hans Caviglia,62.3,Lazio,Trasf.,,6.0
Jurgen Ekkelenkamp,62.3,Como,Casa,,5.5
Omri Gandelman,62.2,Atalanta,Casa,,5.5
Stephan El Shaarawy,61.8,Inter,Trasf.,,5.5
Petar Sucic,61.8,Roma,Casa,,6.0
