Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Alisson Santos,94.2,Lecce,Casa,🔥,6.0
Luka Modric,89.1,Lazio,Trasf.,🔥,6.0
Martin Baturina,87.8,Roma,Casa,🔥,6.5
Nikola Vlasic,87.6,Parma,Casa,🔥,7.5
Kristian Thorstvedt,87.0,Bologna,Casa,🔥,5.5
Francisco Conceicao,85.3,Udinese,Trasf.,🔥,7.0
Lucas Da Cunha,83.1,Roma,Casa,🔥,7.5
Alexis Saelemaekers,82.7,Lazio,Trasf.,🔥,5.5
Nico Paz,82.7,Roma,Casa,🔥,6.0
Mario Pasalic,81.4,Inter,Trasf.,🔥,5.5
Daniel Maldini,81.3,Milan,Casa,,6.5
Eljif Elmas,80.9,Lecce,Casa,,4.5
Zambo Anguissa,80.3,Lecce,Casa,,4.5
Maxence Caqueret,79.7,Roma,Casa,,5.5
Niccolo Pisilli,79.5,Como,Trasf.,,5.5
Nicolo Zaniolo,79.1,Juventus,Casa,,5.5
Cesare Casadei,79.1,Parma,Casa,,9.5
Kephren Thuram,78.7,Udinese,Trasf.,,5.5
Gaetano Oristanio,78.7,Torino,Trasf.,,5.0
Omri Gandelman,78.0,Napoli,Trasf.,,5.5
Bryan Cristante,77.9,Como,Trasf.,,5.5
Michael Folorunsho,77.7,Pisa,Trasf.,,5.0
Youssouf Fofana,77.5,Lazio,Trasf.,,5.0
Piotr Zielinski,77.2,Atalanta,Casa,,5.5
Nicola Zalewski,76.5,Inter,Trasf.,,6.5
Jens Odgaard,76.1,Sassuolo,Trasf.,,6.5
Federico Bernardeschi,76.1,Sassuolo,Trasf.,,6.0
Nemanja Matic,75.5,Bologna,Casa,,5.5
Weston Mckennie,75.2,Udinese,Trasf.,,5.5
Christian Pulisic,75.2,Lazio,Trasf.,,5.5
Jonathan Rowe,74.7,Sassuolo,Trasf.,,9.5
Nicolo Fagioli,74.5,Cremonese,Trasf.,,7.0
Kouadio Kone,74.2,Como,Trasf.,,5.0
Gustav Isaksen,74.1,Milan,Casa,,10.0
Ismael Kone,73.4,Bologna,Casa,,5.5
Jesper Karlstrom,72.9,Juventus,Casa,,5.5
Riccardo Sottil,71.3,Napoli,Trasf.,,6.0
Matteo Tramoni,70.3,Cagliari,Casa,,6.5
Junior Messias,70.2,Verona,Trasf.,,6.5
Manuel Locatelli,70.1,Udinese,Trasf.,,7.0
Morten Thorsby,69.7,Verona,Trasf.,,4.5
Samuele Ricci,68.8,Lazio,Trasf.,,s.v.
Matteo Politano,68.8,Lecce,Casa,,11.0
Lassana Coulibaly,68.6,Napoli,Trasf.,,6.5
Lorenzo Pellegrini,68.4,Como,Trasf.,,5.0
Ndary Adopo,68.3,Pisa,Trasf.,,5.0
Edon Zhegrova,68.2,Udinese,Trasf.,,6.5
Santiago Pierotti,67.9,Napoli,Trasf.,,7.0
Jakub Piotrowski,67.4,Juventus,Casa,,5.5
Sergi Roberto,67.3,Roma,Casa,,5.0
Alessio Zerbin,67.2,Fiorentina,Casa,,5.0
Jari Vandeputte,67.1,Fiorentina,Casa,,5.0
Michel Aebischer,66.2,Cagliari,Casa,,6.0
Riccardo Orsolini,66.1,Sassuolo,Trasf.,,6.0
Morten Frendrup,65.8,Verona,Trasf.,,7.0
Lennon Miller,65.8,Juventus,Casa,,5.5
Ylber Ramadani,65.5,Napoli,Trasf.,,6.0
Luis Henrique,65.4,Atalanta,Casa,,6.0
Christian Kabasele,65.4,Juventus,Casa,,4.5
Lazar Samardzic,65.3,Inter,Trasf.,,5.0
Marco Brescianini,65.3,Cremonese,Trasf.,,7.0
Mattia Zaccagni,65.1,Milan,Casa,,6.5
Henrikh Mkhitaryan,65.1,Atalanta,Casa,,6.0
