Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Oumar Solet,84.8,Milan,Trasf.,🔥,7.0
Gianluca Mancini,83.6,Pisa,Casa,🔥,9.0
Federico Dimarco,82.5,Como,Trasf.,🔥,5.5
Evan Ndicka,81.9,Pisa,Casa,🔥,6.5
Marcoliver Kempf,81.9,Inter,Casa,🔥,4.5
Giorgio Scalvini,81.0,Juventus,Casa,🔥,5.5
Mergim Vojvoda,80.1,Inter,Casa,🔥,5.0
Strahinja Pavlovic,80.0,Udinese,Casa,🔥,5.0
Davide Bartesaghi,79.8,Udinese,Casa,🔥,3.0
Rafael Obrador,79.6,Verona,Casa,🔥,7.5
Davide Zappacosta,79.5,Juventus,Casa,,6.5
Marcus Pedersen,79.0,Verona,Casa,,7.5
Alex Valle,78.4,Inter,Casa,,8.5
Joao Mario,78.4,Atalanta,Trasf.,,6.0
Mario Hermoso,78.2,Pisa,Casa,,6.0
Lorenzo Bernasconi,77.5,Juventus,Casa,,6.0
Leo Ostigard,77.3,Sassuolo,Casa,,6.0
Saul Coco,77.0,Verona,Casa,,6.0
Jhon Lucumi,76.8,Lecce,Casa,,6.5
Leonardo Spinazzola,76.8,Parma,Trasf.,,6.0
Lloyd Kelly,75.2,Atalanta,Trasf.,,6.0
Enrico Del Prato,74.3,Napoli,Casa,,7.0
Manuel Akanji,74.0,Como,Trasf.,,6.0
Andrea Cambiaso,72.9,Atalanta,Trasf.,,5.5
Alessandro Bastoni,72.9,Como,Trasf.,,5.0
Alessandro Buongiorno,72.4,Parma,Trasf.,,5.5
Ivan Smolcic,72.4,Inter,Casa,,6.0
Adam Obert,71.6,Cremonese,Casa,,6.0
Zachary Athekame,71.3,Udinese,Casa,,5.0
Marco Palestra,70.8,Cremonese,Casa,,6.0
Mariano Troilo,70.0,Napoli,Casa,,7.0
Sam Beukema,69.7,Parma,Trasf.,,6.0
Brooke Nortoncuffy,69.7,Sassuolo,Casa,,5.5
Miguel Gutierrez,69.7,Parma,Trasf.,,5.5
Bremer,69.2,Atalanta,Trasf.,,6.0
Sebastiano Luperto,69.0,Cagliari,Trasf.,,6.5
Emanuele Valeri,68.9,Napoli,Casa,,7.0
Mathias Olivera,68.8,Parma,Trasf.,,6.0
Diego Carlos,68.7,Inter,Casa,,6.5
Jay Idzes,68.7,Genoa,Trasf.,,5.5
Rafik Belghali,68.6,Torino,Trasf.,,6.0
Filippo Terracciano,68.5,Cagliari,Trasf.,,5.0
Oliver Provstgaard,68.2,Fiorentina,Trasf.,,5.0
Francesco Acerbi,68.1,Como,Trasf.,,5.0
Ardian Ismajli,67.6,Verona,Casa,,5.5
Matteo Darmian,67.5,Como,Trasf.,,6.0
Ignace Van Der Brempt,67.2,Inter,Casa,,4.5
Alberto Moreno,67.1,Inter,Casa,,6.0
Denzel Dumfries,65.5,Como,Trasf.,,14.0
Sebastian Walukiewicz,65.5,Genoa,Trasf.,,5.0
Filippo Romagna,65.0,Genoa,Trasf.,,6.5
