Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
donyell malen,90.4,bologna,trasf.,🔥,11.5
marcus thuram,85.3,torino,trasf.,🔥,10.0
nikola krstovic,85.2,cagliari,trasf.,🔥,6.0
soule,82.7,bologna,trasf.,🔥,6.0
vitinha,82.1,como,casa,🔥,5.0
gianluca scamacca,81.4,cagliari,trasf.,🔥,13.0
kenan yildiz,79.7,milan,trasf.,🔥,6.0
tijjani noslin,79.6,udinese,casa,🔥,6.0
federico bonazzoli,78.8,napoli,trasf.,🔥,5.0
andrea pinamonti,77.7,fiorentina,trasf.,🔥,5.5
matteo cancellieri,77.7,udinese,casa,,4.5
tasos douvikas,75.6,genoa,trasf.,,10.0
giacomo raspadori,75.4,cagliari,trasf.,,5.5
giovanni simeone,74.8,inter,casa,,10.5
kieron bowie,74.4,lecce,casa,,5.5
pio esposito,74.4,torino,trasf.,,5.5
charles de ketelaere,73.3,cagliari,trasf.,,4.5
armand lauriente,72.5,fiorentina,trasf.,,6.0
rasmus hojlund,72.2,cremonese,casa,,7.0
stefano moreo,72.1,parma,trasf.,,6.0
mateo pellegrino,71.8,pisa,casa,,5.5
jesus rodriguez,71.4,genoa,trasf.,,5.5
david okereke,70.8,napoli,trasf.,,4.5
santiago castro,70.7,roma,casa,,5.0
lameck banda,70.5,verona,trasf.,,6.5
sebastiano esposito,70.3,atalanta,casa,,6.0
che adams,70.2,inter,casa,,5.5
nikola stulic,69.8,verona,trasf.,,4.5
lorenzo colombo,69.6,como,casa,,6.0
jeff ekhator,69.4,como,casa,,6.0
nicolo cambiaghi,69.1,roma,casa,,6.0
jonathan david,68.9,milan,trasf.,,6.0
caleb ekuban,68.4,como,casa,,6.0
domenico berardi,67.9,fiorentina,trasf.,,4.0
nikola moro,67.9,roma,casa,,6.0
nicolas kuhn,67.4,genoa,trasf.,,s.v.
mbala nzola,67.1,,trasf.,,6.0
gift orban,66.8,lecce,casa,,5.0
alieu njie,66.8,inter,casa,,6.0
manor solomon,66.7,sassuolo,casa,,5.0
assane diao,66.7,genoa,trasf.,,9.5
adam buksa,66.7,lazio,trasf.,,5.5
milan djuric,66.2,pisa,casa,,s.v.
rafael leao,65.8,juventus,casa,,5.5
christopher nkunku,65.7,juventus,casa,,6.0
roberto piccoli,65.6,sassuolo,casa,,5.5
antonio caracciolo,65.4,parma,trasf.,,6.0
robinio vaz,65.4,bologna,trasf.,,6.0
petar ratkov,65.4,udinese,casa,,6.0
angeyoan bonny,65.2,torino,trasf.,,5.5
amin sarr,64.8,lecce,casa,,5.0
henrik meister,64.5,parma,trasf.,,5.0
gennaro borrelli,64.4,atalanta,casa,,9.5
konan ndri,64.3,verona,trasf.,,5.5
pedro,64.2,udinese,casa,,10.5
niclas fullkrug,63.6,juventus,casa,,5.0
antonio sanabria,63.2,napoli,trasf.,,4.5
ze pedro,63.1,atalanta,casa,,6.5
walid cheddira,62.6,fiorentina,trasf.,,5.5
idrissa gueye,62.3,lazio,trasf.,,5.0
patrick cutrone,62.1,pisa,casa,,6.0
adrian benedyczak,61.8,pisa,casa,,5.5
giovane,61.6,lecce,casa,,6.5
christian kouame,60.7,sassuolo,casa,,6.0
andrias edmundsson,60.7,lecce,casa,,6.5
sulemana,59.9,atalanta,casa,,6.0
alvaro morata,59.9,genoa,trasf.,,6.0
kamaldeen sulemana,59.8,cagliari,trasf.,,s.v.
semih kilicsoy,59.7,atalanta,casa,,6.0
andrea belotti,59.0,atalanta,casa,,5.0
rafiu durosinmi,58.5,parma,trasf.,,5.0
giuseppe ambrosino,58.4,cremonese,casa,,s.v.
francesco camarda,58.4,verona,trasf.,,s.v.
luca moro,58.4,fiorentina,trasf.,,s.v.
santiago gimenez,57.9,juventus,casa,,5.0
pontus almqvist,57.7,pisa,casa,,5.5
isaac,57.6,lecce,casa,,s.v.
daniel mosquera,57.4,lecce,casa,,6.0
yael trepy,56.7,atalanta,casa,,s.v.
ali dembele,55.7,inter,casa,,6.0
iker bravo,54.9,lazio,trasf.,,5.5
nicholas pierini,54.8,fiorentina,trasf.,,6.0
vakoun bayo,54.6,lazio,trasf.,,7.5
lois openda,52.3,milan,trasf.,,s.v.
