Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Gianluca Scamacca,93.6,Genoa,Casa,🔥,5.5
Marcus Thuram,91.6,Parma,Casa,🔥,10.5
Kenan Yildiz,90.6,Verona,Casa,🔥,5.0
Rasmus Hojlund,88.4,Como,Trasf.,🔥,5.5
Donyell Malen,87.5,Fiorentina,Casa,🔥,9.0
Nikola Krstovic,81.7,Genoa,Casa,🔥,4.5
Tasos Douvikas,81.5,Napoli,Casa,🔥,5.5
Jonathan David,79.7,Verona,Casa,🔥,4.5
Nicolo Cambiaghi,78.3,Cagliari,Casa,🔥,6.0
Tijjani Noslin,78.1,Cremonese,Trasf.,🔥,11.5
Giovanni Simeone,77.9,Udinese,Trasf.,,6.5
Duvan Zapata,77.8,Udinese,Trasf.,,7.0
Manor Solomon,77.3,Roma,Trasf.,,4.0
Che Adams,76.6,Udinese,Trasf.,,5.5
Lameck Banda,76.0,Pisa,Trasf.,,10.0
Soule,75.3,Fiorentina,Casa,,6.0
Stefano Moreo,74.4,Lecce,Casa,,6.0
Angeyoan Bonny,74.2,Parma,Casa,,6.0
Jesus Rodriguez,74.2,Napoli,Casa,,6.0
Jeff Ekhator,74.0,Atalanta,Trasf.,,6.5
Santiago Castro,73.8,Cagliari,Casa,,5.5
Vakoun Bayo,73.7,Torino,Casa,,7.5
Andrea Belotti,72.5,Bologna,Trasf.,,5.0
Antonio Sanabria,72.4,Lazio,Casa,,4.5
Vitinha,72.4,Atalanta,Trasf.,,6.5
Kieron Bowie,71.9,Juventus,Trasf.,,10.0
David Okereke,71.9,Lazio,Casa,,4.5
Adam Buksa,71.8,Torino,Casa,,6.0
Mateo Pellegrino,71.5,Inter,Trasf.,,5.0
Giacomo Raspadori,71.5,Genoa,Casa,,5.0
Armand Lauriente,71.5,Milan,Casa,,12.0
Gennaro Borrelli,71.2,Bologna,Trasf.,,9.5
Charles De Ketelaere,70.7,Genoa,Casa,,5.0
Sebastiano Esposito,70.6,Bologna,Trasf.,,6.0
Nikola Stulic,70.5,Pisa,Trasf.,,4.5
Andrea Pinamonti,69.8,Milan,Casa,,s.v.
Assane Diao,69.0,Napoli,Casa,,6.0
Nikola Moro,68.3,Cagliari,Casa,,6.0
Federico Bonazzoli,68.2,Lazio,Casa,,9.5
Niclas Fullkrug,67.9,Sassuolo,Trasf.,,5.0
Antonio Caracciolo,67.5,Lecce,Casa,,5.0
Pio Esposito,67.4,Parma,Casa,,6.0
Dusan Vlahovic,67.3,Verona,Casa,,9.5
Idrissa Gueye,67.3,Torino,Casa,,6.0
Domenico Berardi,66.9,Milan,Casa,,10.0
Nicolas Kuhn,66.9,Napoli,Casa,,s.v.
Rafael Leao,66.9,Sassuolo,Trasf.,,4.5
Lorenzo Colombo,66.8,Atalanta,Trasf.,,6.0
Alvaro Morata,66.6,Napoli,Casa,,6.0
Gift Orban,66.4,Juventus,Trasf.,,5.0
Alieu Njie,65.4,Udinese,Trasf.,,6.0
Christopher Nkunku,65.4,Sassuolo,Trasf.,,5.0
Petar Ratkov,64.9,Cremonese,Trasf.,,6.0
Santiago Gimenez,64.5,Sassuolo,Trasf.,,5.0
Henrik Meister,64.4,Lecce,Casa,,5.0
Konan Ndri,64.4,Pisa,Trasf.,,5.5
Pontus Almqvist,64.4,Inter,Trasf.,,6.0
Caleb Ekuban,64.2,Atalanta,Trasf.,,6.0
Milan Djuric,64.1,Inter,Trasf.,,s.v.
Robinio Vaz,63.9,Fiorentina,Casa,,s.v.
Giovane,63.9,Juventus,Trasf.,,6.5
Mbala Nzola,63.8,,Trasf.,,6.5
Walid Cheddira,63.6,Milan,Casa,,10.5
Paulo Dybala,62.5,Fiorentina,Casa,,6.0
Adrian Benedyczak,62.1,Inter,Trasf.,,5.5
Pedro,62.0,Cremonese,Trasf.,,6.0
Sulemana,61.8,Bologna,Trasf.,,6.0
Amin Sarr,61.5,Juventus,Trasf.,,5.0
Francesco Camarda,61.5,Pisa,Trasf.,,6.0
Andrias Edmundsson,61.0,Juventus,Trasf.,,7.0
Semih Kilicsoy,60.9,Bologna,Trasf.,,6.0
Christian Kouame,60.7,Roma,Trasf.,,6.0
Ze Pedro,60.1,Bologna,Trasf.,,6.0
Patrick Cutrone,59.6,Inter,Trasf.,,6.0
Kamaldeen Sulemana,58.4,Genoa,Casa,,s.v.
Benjamin Dominguez,58.2,Cagliari,Casa,,5.5
Iker Bravo,57.1,Torino,Casa,,5.5
Giuseppe Ambrosino,57.0,Como,Trasf.,,s.v.
Isaac,56.6,Juventus,Trasf.,,s.v.
Lois Openda,56.3,Verona,Casa,,s.v.
Ali Dembele,56.1,Udinese,Trasf.,,6.0
Luca Moro,56.1,Milan,Casa,,s.v.
Yael Trepy,56.0,Bologna,Trasf.,,s.v.
Nicholas Pierini,54.0,Milan,Casa,,6.0
