Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Marcus Thuram,92.2,Lazio,Trasf.,🔥,7.5
Donyell Malen,91.1,Parma,Trasf.,🔥,13.5
Lautaro Martinez,88.7,Lazio,Trasf.,🔥,11.5
Dusan Vlahovic,87.3,Lecce,Trasf.,🔥,10.0
Federico Bonazzoli,85.5,Pisa,Casa,🔥,9.5
Domenico Berardi,83.9,Torino,Trasf.,🔥,5.0
Paulo Dybala,83.8,Parma,Trasf.,🔥,8.0
Kenan Yildiz,82.7,Lecce,Trasf.,🔥,6.0
Tijjani Noslin,82.6,Inter,Casa,🔥,5.5
Gianluca Scamacca,81.0,Milan,Trasf.,🔥,5.5
Andrea Pinamonti,79.7,Torino,Trasf.,,5.5
Armand Lauriente,79.4,Torino,Trasf.,,5.0
Sebastiano Esposito,78.8,Udinese,Casa,,6.0
Adam Buksa,77.4,Cagliari,Trasf.,,9.5
Soule,77.3,Parma,Trasf.,,5.5
Stefano Moreo,76.9,Cremonese,Trasf.,,5.0
Vakoun Bayo,76.7,Cagliari,Trasf.,,7.5
Kieron Bowie,76.6,Como,Casa,,6.0
Giovanni Simeone,74.8,Sassuolo,Casa,,10.0
Manor Solomon,74.5,Genoa,Casa,,5.0
Tasos Douvikas,74.0,Verona,Trasf.,,9.5
David Okereke,72.1,Pisa,Casa,,10.0
Vitinha,71.5,Fiorentina,Trasf.,,5.5
Nikola Krstovic,71.5,Milan,Trasf.,,7.5
Andrea Belotti,71.4,Udinese,Casa,,s.v.
Rasmus Hojlund,71.0,Bologna,Casa,,7.5
Lameck Banda,70.7,Juventus,Casa,,6.0
Walid Cheddira,70.7,Torino,Trasf.,,5.0
Giacomo Raspadori,70.2,Milan,Trasf.,,10.0
Charles De Ketelaere,70.2,Milan,Trasf.,,6.0
Angeyoan Bonny,70.1,Lazio,Trasf.,,7.5
Mateo Pellegrino,69.7,Roma,Casa,,6.5
Jonathan David,69.4,Lecce,Trasf.,,s.v.
Idrissa Gueye,69.1,Cagliari,Trasf.,,9.5
Caleb Ekuban,68.9,Fiorentina,Trasf.,,5.5
Gift Orban,68.7,Como,Casa,,5.0
Pio Esposito,68.6,Lazio,Trasf.,,6.0
Francesco Camarda,68.5,Juventus,Casa,,6.0
Nikola Stulic,68.4,Juventus,Casa,,4.5
Antonio Sanabria,68.2,Pisa,Casa,,5.5
Rafael Leao,67.9,Atalanta,Casa,,3.5
Jeff Ekhator,67.7,Fiorentina,Trasf.,,6.0
Pedro,67.5,Inter,Casa,,5.5
Amin Sarr,66.9,Como,Casa,,5.0
Antonio Caracciolo,66.6,Cremonese,Trasf.,,5.5
Henrik Meister,66.6,Cremonese,Trasf.,,5.0
Jesus Rodriguez,66.4,Verona,Trasf.,,6.0
Nicolas Kuhn,66.0,Verona,Trasf.,,s.v.
Alieu Njie,65.5,Sassuolo,Casa,,6.0
Niclas Fullkrug,65.2,Atalanta,Casa,,6.0
Lorenzo Colombo,65.2,Fiorentina,Trasf.,,5.5
Christopher Nkunku,65.1,Atalanta,Casa,,9.5
Sulemana,64.9,Udinese,Casa,,5.5
Assane Diao,64.7,Verona,Trasf.,,5.5
Mbala Nzola,64.6,,Trasf.,,6.0
Robinio Vaz,64.5,Parma,Trasf.,,s.v.
Andrias Edmundsson,64.3,Como,Casa,,5.0
Giovane,64.1,Como,Casa,,5.0
Benjamin Dominguez,63.8,Napoli,Trasf.,,5.5
Ze Pedro,63.6,Udinese,Casa,,5.0
Santiago Castro,63.2,Napoli,Trasf.,,6.5
Pontus Almqvist,63.0,Roma,Casa,,6.0
Nikola Moro,63.0,Napoli,Trasf.,,s.v.
Milan Djuric,63.0,Roma,Casa,,s.v.
Petar Ratkov,62.6,Inter,Casa,,6.0
Semih Kilicsoy,62.0,Udinese,Casa,,6.0
Christian Kouame,61.5,Genoa,Casa,,6.0
Patrick Cutrone,60.9,Roma,Casa,,6.0
Adrian Benedyczak,60.3,Roma,Casa,,5.5
Rafiu Durosinmi,60.1,Cremonese,Trasf.,,5.5
Santiago Gimenez,59.7,Atalanta,Casa,,4.5
Alvaro Morata,59.6,Verona,Trasf.,,6.0
Konan Ndri,57.8,Juventus,Casa,,5.5
Giuseppe Ambrosino,57.1,Bologna,Casa,,s.v.
Iker Bravo,57.0,Cagliari,Trasf.,,5.5
Isaac,56.9,Como,Casa,,s.v.
Kamaldeen Sulemana,56.8,Milan,Trasf.,,s.v.
Luca Moro,56.7,Torino,Trasf.,,s.v.
Ali Dembele,56.0,Sassuolo,Casa,,6.0
Nicholas Pierini,54.8,Torino,Trasf.,,6.0
Yael Trepy,54.8,Udinese,Casa,,s.v.
Lois Openda,53.2,Lecce,Trasf.,,s.v.
