Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Wesley,91.6,Lazio,Casa,🔥,4.0
Federico Dimarco,89.0,Verona,Casa,🔥,6.0
Davide Zappacosta,88.7,Bologna,Casa,🔥,6.0
Devyne Rensch,87.8,Lazio,Casa,🔥,6.0
Marcus Pedersen,86.2,Cagliari,Trasf.,🔥,6.0
Mario Hermoso,82.8,Lazio,Casa,🔥,6.0
Gianluca Mancini,82.6,Lazio,Casa,🔥,14.0
Evan Ndicka,82.0,Lazio,Casa,🔥,6.0
Thomas Kristensen,81.8,Cremonese,Casa,🔥,6.5
Alessandro Bastoni,81.4,Verona,Casa,🔥,6.5
Oumar Solet,81.1,Cremonese,Casa,,7.0
Yann Bisseck,80.7,Verona,Casa,,6.5
Manuel Akanji,80.7,Verona,Casa,,7.0
Mehmet Celik,79.6,Lazio,Casa,,6.0
Denzel Dumfries,79.1,Verona,Casa,,6.0
Hassane Kamara,78.2,Cremonese,Casa,,5.5
Marcoliver Kempf,77.7,Parma,Casa,,6.0
Jacobo Ramon,77.6,Parma,Casa,,6.0
Amir Rrahmani,77.5,Pisa,Trasf.,,10.0
Giovanni Di Lorenzo,77.1,Pisa,Trasf.,,6.0
Leo Ostigard,76.6,Milan,Casa,,7.0
Strahinja Pavlovic,75.0,Genoa,Trasf.,,6.5
Diego Carlos,75.0,Parma,Casa,,6.0
Stefano Sabelli,74.9,Milan,Casa,,6.5
Dodo,74.3,Juventus,Trasf.,,6.5
Mergim Vojvoda,73.8,Parma,Casa,,5.0
Francesco Acerbi,73.8,Verona,Casa,,5.5
Leonardo Spinazzola,73.5,Pisa,Trasf.,,6.0
Rafik Belghali,72.7,Inter,Trasf.,,5.0
Enrico Del Prato,72.4,Como,Trasf.,,6.5
Bremer,72.3,Fiorentina,Casa,,4.5
Sebastiano Luperto,72.1,Udinese,Trasf.,,6.5
Zachary Athekame,71.7,Genoa,Trasf.,,9.5
Nicolo Bertola,71.4,Cremonese,Casa,,6.0
Daniele Ghilardi,71.3,Lazio,Casa,,6.0
Ivan Smolcic,71.3,Parma,Casa,,6.0
Emanuele Valeri,71.3,Como,Trasf.,,6.5
Matteo Gabbia,71.0,Genoa,Trasf.,,5.5
Adam Obert,70.9,Torino,Casa,,6.0
Sam Beukema,70.8,Pisa,Trasf.,,6.5
Johan Vasquez,70.8,Milan,Casa,,9.5
Aaron Martin,70.4,Milan,Casa,,s.v.
Victor Nelsson,70.3,Inter,Trasf.,,6.0
Emil Holm,69.9,Fiorentina,Casa,,6.0
Alberto Moreno,69.6,Parma,Casa,,9.5
Giuseppe Pezzella,69.6,Udinese,Trasf.,,6.0
Berat Gjimshiti,69.2,Bologna,Casa,,6.0
Carlos Augusto,69.2,Verona,Casa,,5.5
Lloyd Kelly,68.8,Fiorentina,Casa,,5.0
Alessandro Buongiorno,68.1,Pisa,Trasf.,,5.5
Filippo Terracciano,67.6,Udinese,Trasf.,,6.0
Rafael Obrador,66.9,Cagliari,Trasf.,,10.0
Juan Miranda,66.5,Atalanta,Trasf.,,6.5
Matteo Bianchetti,66.5,Udinese,Trasf.,,6.0
Andrea Cambiaso,66.2,Fiorentina,Casa,,4.5
Honest Ahanor,65.9,Bologna,Casa,,6.0
