Giocatore,Index,Avversario,Campo,Top
nico paz,94.1,sassuolo,trasf.,🔥
martin baturina,89.8,sassuolo,trasf.,🔥
christian pulisic,86.9,verona,trasf.,🔥
gustav isaksen,83.1,napoli,trasf.,🔥
adrien rabiot,82.9,verona,trasf.,🔥
matteo politano,82.8,lazio,casa,🔥
cristian volpato,82.5,como,casa,🔥
youssouf fofana,81.5,verona,trasf.,🔥
lucas da cunha,81.2,sassuolo,trasf.,🔥
alexis saelemaekers,79.9,verona,trasf.,🔥
francisco conceicao,79.7,bologna,casa,
kephren thuram,79.6,bologna,casa,
arthur atta,79.6,parma,casa,
eljif elmas,79.4,lazio,casa,
scott mctominay,79.3,lazio,casa,
santiago pierotti,79.0,fiorentina,casa,
piotr zielinski,77.7,cagliari,casa,
nicolo barella,77.1,cagliari,casa,
cesare casadei,76.5,cremonese,trasf.,
jari vandeputte,76.4,torino,casa,
matteo tramoni,76.4,genoa,casa,
abdou harroui,76.3,milan,casa,
ruben loftuscheek,75.9,verona,trasf.,
riccardo orsolini,75.8,juventus,trasf.,
adrian bernabe,75.8,udinese,trasf.,
alessandro deiola,75.3,inter,trasf.,
lazar samardzic,75.2,roma,trasf.,
jacopo fazzini,74.9,lecce,trasf.,
tommaso baldanzi,74.8,atalanta,casa,
kristian thorstvedt,74.8,como,casa,
ismael kone,74.4,como,casa,
malthe hojholt,73.6,genoa,casa,
luka modric,73.5,verona,trasf.,
antoine bernede,72.7,milan,casa,
jurgen ekkelenkamp,72.7,parma,casa,
toma basic,72.7,napoli,trasf.,
nikola vlasic,72.0,cremonese,trasf.,
michael folorunsho,71.9,inter,trasf.,
hakan calhanoglu,71.3,cagliari,casa,
bryan cristante,71.1,atalanta,casa,
samuele ricci,70.7,verona,trasf.,
romano floriani,70.7,torino,casa,
maximo perrone,70.7,sassuolo,trasf.,
henrikh mkhitaryan,70.6,cagliari,casa,
alisson santos,70.5,lazio,casa,
mario pasalic,70.3,roma,trasf.,
ardon jashari,69.6,verona,trasf.,
lassana coulibaly,69.6,fiorentina,casa,
nicola zalewski,69.5,roma,trasf.,
ylber ramadani,69.3,fiorentina,casa,
mehdi leris,69.1,genoa,casa,
alessio zerbin,69.1,torino,casa,
junior messias,68.8,pisa,trasf.,
youssef maleh,68.6,fiorentina,casa,
nicolo zaniolo,68.4,parma,casa,
petar sucic,67.8,cagliari,casa,
ebenezer akinsanmiro,67.7,genoa,casa,
cher ndour,67.5,lecce,trasf.,
stephan el shaarawy,67.2,atalanta,casa,
christian kabasele,67.1,parma,casa,
rolando mandragora,66.8,lecce,trasf.,
mikael ellertsson,66.6,pisa,trasf.,
jonathan rowe,66.2,juventus,trasf.,
michel aebischer,66.2,genoa,casa,
marten de roon,66.2,roma,trasf.,
luis henrique,65.9,cagliari,casa,
stanislav lobotka,65.8,lazio,casa,
federico bernardeschi,65.7,juventus,trasf.,
maxence caqueret,65.7,sassuolo,trasf.,
gvidas gineitis,65.7,cremonese,trasf.,
remo freuler,65.6,juventus,trasf.,
emirhan ilkhan,65.6,cremonese,trasf.,
omri gandelman,65.4,fiorentina,casa,
nemanja matic,65.4,como,casa,
idrissa toure,65.2,genoa,casa,
zambo anguissa,65.1,lazio,casa,
gianluca gaetano,65.1,inter,trasf.,
ederson,65.1,roma,trasf.,
ndary adopo,65.0,inter,trasf.,
kouadio kone,65.0,atalanta,casa,
mattia zaccagni,64.9,napoli,trasf.,
alberto grassi,64.7,torino,casa,
manuel locatelli,64.7,bologna,casa,
gaetano oristanio,64.6,udinese,trasf.,
