Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Yann Bisseck,88.9,Bologna,Trasf.,🔥,6.0
Rafael Obrador,84.7,Juventus,Casa,🔥,6.5
Oumar Solet,84.3,Napoli,Trasf.,🔥,6.5
Alberto Moreno,82.7,Cremonese,Trasf.,🔥,5.5
Gianluca Mancini,81.3,Verona,Trasf.,🔥,6.5
Marcus Pedersen,80.7,Juventus,Casa,🔥,6.5
Johan Vasquez,79.8,Lecce,Trasf.,🔥,9.5
Evan Ndicka,79.3,Verona,Trasf.,🔥,6.0
Enrico Del Prato,79.3,Sassuolo,Casa,🔥,6.5
Wesley,78.1,Verona,Trasf.,🔥,4.0
Thomas Kristensen,78.1,Napoli,Trasf.,,6.0
Lloyd Kelly,77.8,Torino,Trasf.,,6.0
Adam Marusic,77.7,Pisa,Casa,,6.0
Bremer,77.6,Torino,Trasf.,,4.5
Davide Zappacosta,77.5,Fiorentina,Trasf.,,6.5
Devyne Rensch,76.7,Verona,Trasf.,,6.5
Dodo,76.6,Atalanta,Casa,,5.5
Diego Carlos,75.8,Cremonese,Trasf.,,6.0
Amir Rrahmani,75.5,Udinese,Casa,,6.5
Sebastiano Luperto,75.3,Como,Casa,,5.5
Andrea Cambiaso,75.3,Torino,Trasf.,,5.5
Fabiano Parisi,74.4,Atalanta,Casa,,6.0
Leonardo Spinazzola,74.3,Udinese,Casa,,6.0
Joao Mario,74.0,Torino,Trasf.,,6.5
Emanuele Valeri,74.0,Sassuolo,Casa,,6.5
Giovanni Di Lorenzo,73.8,Udinese,Casa,,6.0
Kingsley Ehizibue,73.6,Napoli,Trasf.,,6.0
Strahinja Pavlovic,73.2,Cagliari,Casa,,4.0
Zachary Athekame,73.1,Cagliari,Casa,,4.5
Mario Gila,73.1,Pisa,Casa,,5.0
Nuno Tavares,73.1,Pisa,Casa,,5.0
Federico Dimarco,72.8,Bologna,Trasf.,,10.0
Marcoliver Kempf,72.8,Cremonese,Trasf.,,6.5
Mario Hermoso,71.3,Verona,Trasf.,,6.5
Oliver Provstgaard,71.3,Pisa,Casa,,6.0
Isak Hien,71.0,Fiorentina,Trasf.,,6.5
Marco Palestra,71.0,Milan,Trasf.,,7.0
Alessandro Bastoni,71.0,Bologna,Trasf.,,6.5
Denzel Dumfries,70.8,Bologna,Trasf.,,6.0
Jhon Lucumi,70.7,Inter,Casa,,6.0
Mehmet Celik,70.6,Verona,Trasf.,,6.0
Leo Ostigard,70.5,Lecce,Trasf.,,7.0
Emil Holm,69.7,Torino,Trasf.,,6.0
Jacobo Ramon,69.6,Cremonese,Trasf.,,6.5
Aaron Martin,69.3,Lecce,Trasf.,,6.5
Robin Gosens,69.3,Atalanta,Casa,,5.5
Stefan De Vrij,69.2,Bologna,Trasf.,,5.5
Filippo Terracciano,69.0,Como,Casa,,5.0
Federico Gatti,68.7,Torino,Trasf.,,7.0
Miguel Gutierrez,68.4,Udinese,Casa,,6.0
Alessandro Marcandalli,67.9,Lecce,Trasf.,,5.5
Manuel Akanji,67.8,Bologna,Trasf.,,7.0
Antonino Gallo,67.5,Genoa,Casa,,6.5
Ignace Van Der Brempt,67.4,Cremonese,Trasf.,,6.0
Patric,67.0,Pisa,Casa,,5.5
Pasquale Mazzocchi,67.0,Udinese,Casa,,s.v.
Carlos Augusto,66.9,Bologna,Trasf.,,6.0
Domagoj Bradaric,66.7,Roma,Casa,,6.0
Enzo Ebosse,66.2,Roma,Casa,,5.5
Ivan Smolcic,66.1,Cremonese,Trasf.,,6.5
Davide Bartesaghi,66.1,Cagliari,Casa,,4.0
Berat Gjimshiti,65.7,Fiorentina,Trasf.,,6.0
Adam Obert,65.6,Milan,Trasf.,,6.0
Nicolo Bertola,65.5,Napoli,Trasf.,,6.0
Luca Ranieri,65.1,Atalanta,Casa,,5.5
Alessandro Buongiorno,64.8,Udinese,Casa,,5.5
Rafik Belghali,64.8,Roma,Casa,,6.0
Manuel Lazzari,64.6,Pisa,Casa,,s.v.
Matteo Gabbia,64.1,Cagliari,Casa,,4.0
Matteo Darmian,63.9,Bologna,Trasf.,,6.0
Martin Frese,63.9,Roma,Casa,,5.5
Mergim Vojvoda,63.6,Cremonese,Trasf.,,s.v.
Alessio Romagnoli,63.6,Pisa,Casa,,6.0
Honest Ahanor,63.2,Fiorentina,Trasf.,,4.5
Victor Nelsson,63.1,Roma,Casa,,6.0
Jamil Siebert,62.8,Genoa,Casa,,6.5
Juan Miranda,62.8,Inter,Casa,,5.0
Francesco Acerbi,62.5,Bologna,Trasf.,,5.5
Gabriele Zappa,62.5,Milan,Trasf.,,6.5
Juan Cuadrado,62.4,Lazio,Trasf.,,5.5
Samuele Angori,62.3,Lazio,Trasf.,,5.5
Sebastian Walukiewicz,62.3,Parma,Trasf.,,5.5
Saul Coco,62.2,Juventus,Casa,,6.0
Sam Beukema,62.1,Udinese,Casa,,6.5
Mariano Troilo,61.7,Sassuolo,Casa,,6.5
Matteo Bianchetti,61.7,Como,Casa,,5.0
Sebastian Otoa,61.5,Lecce,Trasf.,,6.0
Mathias Olivera,61.5,Udinese,Casa,,6.0
Brooke Nortoncuffy,61.4,Lecce,Trasf.,,6.0
Hassane Kamara,61.3,Napoli,Trasf.,,5.5
Stefano Sabelli,61.2,Lecce,Trasf.,,6.0
Giuseppe Pezzella,60.7,Como,Casa,,5.0
Alessandro Circati,60.7,Sassuolo,Casa,,6.0
Nadir Zortea,60.5,Inter,Casa,,6.0
Marin Pongracic,60.0,Atalanta,Casa,,6.0
Tommaso Barbieri,59.8,Como,Casa,,5.5
Torbjorn Heggem,59.6,Inter,Casa,,s.v.
Tobias Slotsager,59.5,Roma,Casa,,6.0
Tiago Gabriel,59.5,Genoa,Casa,,5.5
Danilo Veiga,59.4,Genoa,Casa,,6.5
Lautaro Valenti,59.0,Sassuolo,Casa,,6.0
Koni De Winter,59.0,Cagliari,Casa,,5.5
Estupinan,58.9,Cagliari,Casa,,5.5
Daniele Ghilardi,58.9,Verona,Trasf.,,5.5
Eivind Helland,58.8,Inter,Casa,,6.5
Gaby Jean,58.7,Genoa,Casa,,s.v.
Francesco Folino,58.3,Como,Casa,,s.v.
Sead Kolasinac,58.2,Fiorentina,Trasf.,,s.v.
Guillermo Maripan,58.2,Juventus,Casa,,5.5
Alberto Dossena,58.1,Milan,Trasf.,,6.5
Fikayo Tomori,58.0,Cagliari,Casa,,4.0
Sascha Britschgi,57.8,Sassuolo,Casa,,5.0
Valentino Lazaro,57.7,Juventus,Casa,,4.5
Juan Arizala,57.7,Napoli,Trasf.,,5.0
Luca Marianucci,57.6,Juventus,Casa,,5.0
Daniele Rugani,57.6,Torino,Trasf.,,6.0
Tarik Muharemovic,57.3,Parma,Trasf.,,5.0
Lorenzo De Silvestri,57.2,Inter,Casa,,6.5
Jeandaniel Akpaakpro,57.1,Roma,Casa,,6.0
Cristiano Biraghi,56.9,Juventus,Casa,,6.0
Pietro Comuzzo,56.8,Atalanta,Casa,,3.0
Angelino,56.7,Verona,Trasf.,,6.0
Simone Canestrelli,56.1,Lazio,Trasf.,,5.0
Juan Jesus,55.9,Udinese,Casa,,6.0
Filippo Romagna,55.9,Parma,Trasf.,,6.5
Konstantinos Tsimikas,55.9,Verona,Trasf.,,6.0
Jean Onana,55.9,Lecce,Trasf.,,6.0
Arturo Calabresi,55.2,Lazio,Trasf.,,6.0
Woyo Coulibaly,55.2,Parma,Trasf.,,6.0
Rui Modesto,54.6,Napoli,Trasf.,,7.0
Eddy Kouadio,54.6,Atalanta,Casa,,s.v.
Raoul Bellanova,54.4,Fiorentina,Trasf.,,5.5
Mikayil Faye,54.3,Como,Casa,,5.5
Raul Albiol,53.2,Lazio,Trasf.,,5.0
Alessandro Di Pardo,53.2,Milan,Trasf.,,s.v.
Rosen Bozhinov,53.1,Lazio,Trasf.,,5.5
Josh Doig,52.6,Parma,Trasf.,,4.5
