Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
Alisson Santos,89.1,Pisa,Trasf.,🔥,5.5
Nico Paz,88.8,Parma,Casa,🔥,6.0
Arthur Atta,85.6,Cremonese,Casa,🔥,5.5
Scott Mctominay,85.0,Pisa,Trasf.,🔥,10.0
Federico Bernardeschi,84.9,Atalanta,Trasf.,🔥,6.5
Nicolo Barella,84.9,Verona,Casa,🔥,6.5
Nikola Vlasic,84.0,Cagliari,Trasf.,🔥,6.0
Martin Baturina,83.8,Parma,Casa,🔥,6.0
Lucas Da Cunha,81.9,Parma,Casa,🔥,7.0
Kevin De Bruyne,80.7,Pisa,Trasf.,🔥,6.5
Riccardo Orsolini,79.3,Atalanta,Trasf.,,10.0
Kristian Thorstvedt,79.0,Lecce,Casa,,6.5
Piotr Zielinski,78.7,Verona,Casa,,6.0
Petar Sucic,78.5,Verona,Casa,,5.5
Henrikh Mkhitaryan,78.4,Verona,Casa,,5.5
Niccolo Pisilli,78.4,Lazio,Casa,,7.0
Francisco Conceicao,78.0,Fiorentina,Casa,,6.0
Jonathan Rowe,77.8,Atalanta,Trasf.,,8.0
Kouadio Kone,76.8,Lazio,Casa,,6.0
Ederson,76.5,Bologna,Casa,,6.0
Mandela Keita,76.2,Como,Trasf.,,5.5
Gustav Isaksen,76.1,Roma,Trasf.,,5.0
Maximo Perrone,75.9,Parma,Casa,,7.0
Cristian Volpato,75.6,Lecce,Casa,,5.0
Adrien Rabiot,75.5,Genoa,Trasf.,,6.0
Daniel Maldini,74.5,Roma,Trasf.,,5.5
Michael Folorunsho,74.0,Torino,Casa,,6.0
Lassana Coulibaly,73.5,Sassuolo,Trasf.,,7.0
Jari Vandeputte,71.8,Udinese,Trasf.,,s.v.
Maxence Caqueret,71.3,Parma,Casa,,5.5
Weston Mckennie,71.0,Fiorentina,Casa,,5.0
Nicolo Zaniolo,70.8,Cremonese,Casa,,6.0
Bryan Cristante,70.8,Lazio,Casa,,7.0
Emirhan Ilkhan,70.7,Cagliari,Trasf.,,6.5
Billy Gilmour,70.6,Pisa,Trasf.,,5.5
Hans Caviglia,70.4,Como,Trasf.,,5.5
Matteo Politano,70.2,Pisa,Trasf.,,4.5
Nicola Zalewski,70.2,Bologna,Casa,,5.5
Gianluca Gaetano,69.0,Torino,Casa,,7.5
Ruben Loftuscheek,69.0,Genoa,Trasf.,,6.0
Jens Odgaard,68.9,Atalanta,Trasf.,,5.0
Stanislav Lobotka,68.8,Pisa,Trasf.,,6.5
Jakub Piotrowski,67.6,Cremonese,Casa,,6.0
Toma Basic,67.6,Roma,Trasf.,,5.0
Andy Diouf,67.0,Verona,Casa,,6.5
Marten De Roon,66.9,Bologna,Casa,,6.0
Santiago Pierotti,66.9,Sassuolo,Trasf.,,6.5
Eljif Elmas,66.6,Pisa,Trasf.,,7.0
Jesper Karlstrom,66.4,Cremonese,Casa,,6.0
Alberto Grassi,65.7,Udinese,Trasf.,,6.0
Neil El Aynaoui,65.6,Lazio,Casa,,6.5
Youssef Maleh,65.6,Sassuolo,Trasf.,,7.0
Alexis Saelemaekers,65.4,Genoa,Trasf.,,4.0
Ismael Kone,65.3,Lecce,Casa,,5.0
Nemanja Matic,65.2,Lecce,Casa,,6.0
Idrissa Toure,65.2,Napoli,Casa,,5.5
Lazar Samardzic,65.2,Bologna,Casa,,5.0
Kenneth Taylor,65.0,Roma,Trasf.,,5.0
Zambo Anguissa,65.0,Pisa,Trasf.,,5.5
Davide Frattesi,64.9,Verona,Casa,,6.0
Tomas Suslov,64.8,Inter,Trasf.,,5.5
Mario Pasalic,64.7,Bologna,Casa,,4.5
Rolando Mandragora,64.7,Juventus,Trasf.,,10.5
Antoine Bernede,64.7,Inter,Trasf.,,6.5
Morten Frendrup,64.6,Milan,Casa,,6.5
Luis Henrique,64.4,Verona,Casa,,5.5
Ndary Adopo,64.4,Torino,Casa,,6.0
Alieu Fadera,64.4,Lecce,Casa,,5.5
Cesare Casadei,64.3,Cagliari,Trasf.,,5.5
Remo Freuler,64.3,Atalanta,Trasf.,,6.0
Christian Kabasele,64.2,Cremonese,Casa,,5.0
Lennon Miller,64.1,Cremonese,Casa,,5.0
Mehdi Leris,63.9,Napoli,Casa,,5.5
Oliver Sorensen,63.9,Como,Trasf.,,6.0
Alessio Zerbin,63.8,Udinese,Trasf.,,7.0
Ylber Ramadani,63.8,Sassuolo,Trasf.,,6.0
Nahuel Estevez,63.6,Como,Trasf.,,6.0
Roberto Gagliardini,63.3,Inter,Trasf.,,6.0
Samuele Ricci,63.1,Genoa,Trasf.,,5.5
Oier Zarraga,63.0,Cremonese,Casa,,6.0
Ebenezer Akinsanmiro,62.5,Napoli,Casa,,5.0
Jack Harrison,62.3,Juventus,Trasf.,,7.0
Nicolo Fagioli,62.2,Juventus,Trasf.,,7.0
Christian Ordonez,62.1,Como,Trasf.,,5.0
Albert Gudmundsson,61.8,Juventus,Trasf.,,5.0
Luca Lipani,61.8,Lecce,Casa,,6.0
Isak Vural,61.8,Napoli,Casa,,5.5
Martin Payero,61.8,Udinese,Trasf.,,5.5
Edon Zhegrova,61.7,Fiorentina,Casa,,5.0
Jacopo Fazzini,61.5,Juventus,Trasf.,,6.0
Manuel Locatelli,61.5,Fiorentina,Casa,,5.0
Mikael Ellertsson,61.5,Milan,Casa,,6.0
Malthe Hojholt,61.4,Napoli,Casa,,5.0
Nicolo Rovella,61.1,Roma,Trasf.,,3.0
Tommaso Pobega,61.0,Atalanta,Trasf.,,5.5
Morten Thorsby,61.0,Milan,Casa,,6.5
Michel Aebischer,60.8,Napoli,Casa,,5.0
Matteo Prati,60.7,Cagliari,Trasf.,,6.5
Gvidas Gineitis,60.6,Cagliari,Trasf.,,5.5
Patrizio Masini,60.1,Milan,Casa,,s.v.
Fabio Miretti,60.0,Fiorentina,Casa,,s.v.
Omri Gandelman,59.5,Sassuolo,Trasf.,,7.5
Sergi Roberto,59.5,Parma,Casa,,6.0
Romano Floriani,59.1,Udinese,Trasf.,,6.0
Teun Koopmeiners,59.1,Fiorentina,Casa,,4.5
Warren Bondo,59.0,Udinese,Trasf.,,5.5
Ardon Jashari,58.6,Genoa,Trasf.,,6.0
Thorir Helgason,58.1,Sassuolo,Trasf.,,5.5
Gabriele Piccinini,58.0,Napoli,Casa,,5.5
Sandi Lovric,57.8,Inter,Trasf.,,6.5
Marco Brescianini,57.5,Juventus,Trasf.,,6.5
Antonio Vergara,57.2,Pisa,Trasf.,,6.0
Cher Ndour,56.9,Juventus,Trasf.,,10.0
Al Musrati,56.4,Inter,Trasf.,,5.0
Ruslan Malinovskiy,56.3,Milan,Casa,,s.v.
Oumar Ngom,56.3,Sassuolo,Trasf.,,6.0
Lorran,56.2,Napoli,Casa,,5.0
Giovanni Fabbian,56.2,Juventus,Trasf.,,5.0
Lorenzo Venturino,56.1,Lazio,Casa,,6.0
Abdou Harroui,56.0,Inter,Trasf.,,6.5
