Giocatore,Index,Avversario,Campo,Top,Fantavoto preso
nico paz,91.2,roma,casa,🔥,6.0
martin baturina,89.1,roma,casa,🔥,6.5
nikola vlasic,88.7,parma,casa,🔥,7.5
alisson santos,88.6,lecce,casa,🔥,6.0
alexis saelemaekers,87.1,lazio,trasf.,🔥,5.5
kristian thorstvedt,84.8,bologna,casa,🔥,5.5
gaetano oristanio,84.5,torino,trasf.,🔥,5.0
daniel maldini,84.3,milan,casa,🔥,6.5
luka modric,82.5,lazio,trasf.,🔥,6.0
bryan cristante,82.3,como,trasf.,🔥,5.5
mario pasalic,82.3,inter,trasf.,,5.5
michael folorunsho,82.2,pisa,trasf.,,5.0
francisco conceicao,81.8,udinese,trasf.,,7.0
eljif elmas,81.2,lecce,casa,,4.5
omri gandelman,80.3,napoli,trasf.,,5.5
zambo anguissa,80.3,lecce,casa,,4.5
niccolo pisilli,79.6,como,trasf.,,5.5
matteo politano,79.3,lecce,casa,,11.0
matteo tramoni,79.3,cagliari,casa,,6.5
christian pulisic,79.1,lazio,trasf.,,5.5
nicolo fagioli,79.0,cremonese,trasf.,,7.0
nicola zalewski,78.9,inter,trasf.,,6.5
kephren thuram,78.8,udinese,trasf.,,5.5
weston mckennie,78.3,udinese,trasf.,,5.5
federico bernardeschi,76.8,sassuolo,trasf.,,6.0
riccardo orsolini,76.6,sassuolo,trasf.,,6.0
jonathan rowe,76.2,sassuolo,trasf.,,9.5
kouadio kone,76.1,como,trasf.,,5.0
lucas da cunha,76.0,roma,casa,,7.5
cesare casadei,75.9,parma,casa,,9.5
riccardo sottil,75.9,napoli,trasf.,,6.0
jari vandeputte,75.7,fiorentina,casa,,5.0
jesper karlstrom,75.4,juventus,casa,,5.5
albert gudmundsson,75.2,cremonese,trasf.,,11.0
gustav isaksen,74.9,milan,casa,,10.0
lorenzo pellegrini,74.9,como,trasf.,,5.0
nicolo zaniolo,74.7,juventus,casa,,5.5
manuel locatelli,74.0,udinese,trasf.,,7.0
youssouf fofana,74.0,lazio,trasf.,,5.0
mattia zaccagni,73.6,milan,casa,,6.5
morten thorsby,73.5,verona,trasf.,,4.5
jens odgaard,73.4,sassuolo,trasf.,,6.5
nemanja matic,72.8,bologna,casa,,5.5
