id,isResult,side,h,a,goals,xG,datetime,forecast,result
29857,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '0.751112', 'a': '1.19727'}",2025-08-30 16:30:00,"{'w': 0.2318031666502242, 'd': 0.302514269818365, 'l': 0.46568256352769033}",d
29869,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '4', 'a': '1'}","{'h': '2.62415', 'a': '0.532382'}",2025-09-14 13:00:00,"{'w': 0.8199189090319988, 'd': 0.1263454133165338, 'l': 0.053735550143798196}",w
29874,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '3'}","{'h': '1.31336', 'a': '1.67723'}",2025-09-21 13:00:00,"{'w': 0.30072937937253147, 'd': 0.2391022416329749, 'l': 0.4601683786081137}",w
29887,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '1.84242', 'a': '0.885278'}",2025-09-27 16:00:00,"{'w': 0.5993537425038402, 'd': 0.22420441319033038, 'l': 0.17644184299693014}",d
29894,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '1', 'a': '1'}","{'h': '1.74169', 'a': '0.959121'}",2025-10-04 18:45:00,"{'w': 0.5578713124910872, 'd': 0.23583987108452317, 'l': 0.20628881580572475}",d
29904,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '2.38095', 'a': '0.220276'}",2025-10-19 16:00:00,"{'w': 0.858191033026752, 'd': 0.11849729804037455, 'l': 0.023311631784063865}",d
29916,True,a,"{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '0.967146', 'a': '1.62371'}",2025-10-25 18:45:00,"{'w': 0.22485016458005236, 'd': 0.2477814696620084, 'l': 0.5273683655166973}",d
29924,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '1'}","{'h': '1.28167', 'a': '0.626418'}",2025-10-28 18:45:00,"{'w': 0.5243918193076422, 'd': 0.2936309343601117, 'l': 0.18197724632270498}",d
29942,False,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-02 12:00:00,,
29944,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-09 12:00:00,,
29960,False,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-23 12:00:00,,
29964,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-30 12:00:00,,
29983,False,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-07 12:00:00,,
29984,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-14 12:00:00,,
29997,False,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-21 12:00:00,,
30013,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-28 12:00:00,,
30014,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-03 12:00:00,,
30024,False,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-06 17:45:00,,
30034,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-11 12:00:00,,
30049,False,a,"{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-18 12:00:00,,
30054,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-25 12:00:00,,
30066,False,a,"{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-01 12:00:00,,
30077,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '272', 'title': 'Cremonese', 'short_title': 'CRE'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-08 12:00:00,,
30088,False,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-15 12:00:00,,
30094,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-22 12:00:00,,
30112,False,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-01 12:00:00,,
30115,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-08 12:00:00,,
30126,False,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-15 12:00:00,,
30134,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-22 12:00:00,,
30148,False,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-04 12:00:00,,
30154,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-12 12:00:00,,
30169,False,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-19 12:00:00,,
30175,False,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-26 12:00:00,,
30184,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-03 12:00:00,,
30200,False,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-10 12:00:00,,
30204,False,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-17 12:00:00,,
30216,False,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-24 12:00:00,,
29848,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '1.51736', 'a': '1.14261'}",2025-08-24 16:30:00,"{'w': 0.45886701742530017, 'd': 0.25509588619905943, 'l': 0.2860370962773513}",d
29861,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '0', 'a': '0'}","{'h': '1.05012', 'a': '1.18859'}",2025-08-31 16:30:00,"{'w': 0.32173731745686673, 'd': 0.28739171164270355, 'l': 0.39087097089647493}",d
29866,True,h,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '1.39098', 'a': '3.55376'}",2025-09-13 18:45:00,"{'w': 0.10678213040444662, 'd': 0.11877489427189955, 'l': 0.7744378751595955}",l
29879,True,h,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '1', 'a': '2'}","{'h': '0.424904', 'a': '2.09507'}",2025-09-21 16:00:00,"{'w': 0.06293303049380566, 'd': 0.16969736226812476, 'l': 0.7673696001260587}",l
29891,True,a,"{'id': '291', 'title': 'Pisa', 'short_title': 'PIS'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '0', 'a': '0'}","{'h': '0.580471', 'a': '0.840093'}",2025-09-28 13:00:00,"{'w': 0.23534728539924435, 'd': 0.3745473059977678, 'l': 0.3901054086029621}",d
29896,True,h,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'h': '1', 'a': '2'}","{'h': '1.11719', 'a': '1.22512'}",2025-10-05 13:00:00,"{'w': 0.33350253820676784, 'd': 0.2801166496662738, 'l': 0.3863808121204298}",l
