player,match_id,sum_xG,goals,season,date,minutes_played,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,shots_per90,xG_per90,goals_per90,is_goals,xG_last5,shots_last5,goals_last5,xG_cummean,minutes_played_last5,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form
aaron martin,1847,0.0,0.0,2016,2016-10-02,22,,,,,,,,,,,,,,,,,,,0,,,,,73.0,0.0,0.2394328071575764,0.0,0.0,0.22771533004500166
aaron martin,1849,0.0,0.0,2016,2016-10-14,90,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,0.0,72.0,0.0,0.2394328071575764,0.0,0.0,0.22771533004500166
aaron martin,1860,0.0,0.0,2016,2016-10-22,44,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,0.0,64.4,0.0,0.2394328071575764,0.0,0.0,0.22771533004500166
aaron martin,3315,0.0438987985253334,0.0,2016,2016-10-30,90,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,0.0,87.8,0.0,0.0,0.0,0.0,0.41602963428773554
aaron martin,2782,0.0,0.0,2016,2016-11-06,90,,,,,,,,,,,,,,,,,,,0,0.01097469963133335,,0.0,0.01097469963133335,72.4,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,2791,0.0,0.0,2016,2016-11-20,90,,,,,,,,,,,,,,,,,,,0,0.00877975970506668,,0.0,0.00877975970506668,50.6,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,2799,0.0,0.0,2016,2016-11-26,90,,,,,,,,,,,,,,,,,,,0,0.00877975970506668,,0.0,0.0073164664208889,58.2,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,3166,0.0,0.0,2016,2016-12-03,90,,,,,,,,,,,,,,,,,,,0,0.00877975970506668,,0.0,0.006271256932190486,83.8,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,3180,0.0,0.0,2016,2016-12-11,90,,,,,,,,,,,,,,,,,,,0,0.00877975970506668,,0.0,0.005487349815666675,89.2,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,3190,0.0,0.0,2016,2016-12-18,90,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,0.0048776442805926,90.0,0.0,0.0,0.0,0.0,0.22771533004500166
aaron martin,3884,0.0,0.0,2016,2017-01-06,90,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,0.00438987985253334,90.0,0.0,0.0,0.0,0.0,0.22771533004500166
